Table A-251: Total 2014 N2O Emissions (Direct and Indirect) from Agricultural Soil Management by State (MMT CO2 Eq.),,,,,
State,Croplandsa,Grasslandsb,Total,Lower Bound,Upper Bound
AL,1.45,1.46,2.94,2.34,4.16
AR,5.53,2.88,8.48,6.8,11.62
AZ,1,1,2.07,1.6,3.44
CA,7.12,0.84,8.41,5.88,17.07
CO,4.37,2.96,7.37,6.09,9.86
CT,0.09,0.04,0.13,0.09,0.21
DE,0.26,0.02,0.29,0.21,0.43
FL,2.45,2.98,5.52,4.29,9.63
GA,1.98,1,3.01,2.42,4.43
HIc4,0.02,0.15,0.17,0.06,0.33
IA,22.77,3.05,25.93,19.94,37.32
ID,2.9,0.71,3.67,2.91,5.63
IL,14.98,1.17,16.17,12.84,21.28
IN,8.08,0.77,8.93,7.27,11.78
KS,13.39,4.15,17.61,14.42,23.72
KY,2.63,2.97,5.64,4.49,7.93
LA,3.24,1.46,4.77,3.91,6.16
MA,0.12,1.24,0.19,0.15,0.28
MD,0.83,0.19,1.04,0.8,1.53
ME,0.2,0.26,0.32,0.23,0.54
MI,4.91,0.95,6.01,4.89,8.58
MN,14.61,1.88,17.1,13.83,23.42
MO,9.21,6.43,15.69,12.52,22.12
MS,3.42,1.14,4.53,3.72,6.05
MT,4.54,4.98,9.55,7.94,12.1
NC,2.05,0.64,2.79,1.95,5.02
ND,9.14,1.53,10.62,8.61,13.49
NE,16.4,3.63,20.11,15.93,28.48
NH,0.06,0.04,0.11,0.08,0.25
NJ,0.24,0.07,0.32,0.25,0.45
NM,1.08,2.61,3.61,2.86,5.21
NV,0.37,0.95,0.76,0.56,1.25
NY,3.2,1.39,4.65,3.73,6.75
OH,7.75,0.93,8.89,7.09,12.93
OK,3.99,5.54,9.52,7.65,13.22
OR,1.37,1.13,2.51,2.08,3.35
PA,2.92,0.93,3.89,3.09,5.81
RI,0.02,0.01,0.02,0.02,0.05
SC,0.91,0.32,1.25,1.01,1.83
SD,9.59,3.93,13.51,11.17,17.3
TN,2.15,2.5,4.69,3.69,6.77
TX,13.55,14.02,27.68,23.39,35.4
UT,0.78,0.73,1.53,1.22,2.22
VA,1.06,1.55,2.61,2.1,3.61
VT,0.54,0.34,0.89,0.7,1.37
WA,2.44,0.66,3.19,2.62,4.56
WI,9.5,1.91,11.81,9.1,18.4
WV,0.28,0.7,0.98,0.71,1.56
WY,1.49,2.6,4.13,3.37,5.47
a Emissions from non-manure organic N inputs for crops not simulated by DAYCENT were not estimated (NE) at the state level.,,,,,
b Emissions from sewage sludge applied to grasslands and were not estimated (NE) at the state level,,,,,
c N2O emissions are not reported for Hawaii except from cropland organic soils.,,,,,
