"Table A-252: Annual Soil C Stock Change in Cropland Remaining Cropland (CRC), Land Converted to Cropland (LCC), Grassland Remaining Grassland (GRG), and Land Converted to Grassland  (LCG), in U.S. Agricultural Soils (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Net emissions based on Tier 3 Century-based analysis (Step 2),,,,,,,,,,,,,,,,,,,,,,,,,
   CRC,-56.2,-57,-58.3,-37.1,-48.5,-43,-50.6,-47.1,-33.5,-46.5,-51.1,-50.9,-42.2,-33,-38.1,-37.2,-37.7,-37.8,-29.7,-22.3,-22,-36.7,-36.7,-36.7,-36.7
   GCC,12.9,12.8,13.6,11.6,6.5,13.6,11.2,13.1,7.6,8.5,8.4,8.2,8.6,7.7,6.9,7.9,7.9,5.8,6.8,5.8,6.6,4.5,4.5,4.5,4.5
   GRG,-17.9,-8.4,-9.3,-8.7,-24.2,-7.4,-16.5,-9.9,-13.1,-3.8,-19.2,-8.5,-6.8,-5.1,-7.4,-5.3,-14.4,1.3,-8.4,-10.8,-9,1.1,1.1,1.1,1.1
   CCG,-3.8,-4.7,-4.7,-5.1,-5.4,-5.6,-6,-6.6,-6.8,-6.9,-7.1,-7.6,-8.2,-7.3,-8,-7.2,-8,-7.9,-8.1,-8,-7.7,-7.2,-7.2,-7.2,-7.2
Net emissions based on the IPCC Tier 2 analysis (Step 3),,,,,,,,,,,,,,,,,,,,,,,,,
Mineral Soils,,,,,,,,,,,,,,,,,,,,,,,,,
CRC,-6.2,-6.7,-7.4,-7.1,-7,-6.5,-6.1,-7.7,-7.3,-6.6,-7.1,-6.9,-6.8,-6.1,-5.5,-5.6,-4.7,-4.6,-4,-3.9,-4,-3.7,-3.3,-3.1,-3.2
GCC,1.3,1.2,1.3,1.4,1.4,1.5,1.8,1.5,1.6,1.6,1.5,1.4,1.2,1.1,1.2,1.2,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3
FCC,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0
OCC,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
SCC,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
WCC,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
GRG,-0.5,-0.6,-0.9,-1.4,-1.7,-1.7,-1,-0.9,-1.6,-1.3,-1.5,-1.5,-2.5,-2.6,-1.2,-1.3,-1.5,-1.5,-1.5,-1.3,-1.4,-1,-0.5,-0.3,-0.3
CCG,-3.1,-3.1,-3,-3.3,-3.4,-3.3,-3.1,-2.9,-3.2,-2.9,-3.1,-2.9,-2.7,-2.4,-2.7,-2.5,-2.1,-1.7,-1.6,-1.5,-1.4,-1.4,-1.4,-1.4,-1.4
FCG,-0.5,-0.5,-0.4,-0.5,-0.4,-0.5,-0.4,-0.4,-1.1,-1.1,-1.1,-1,-1,-1,-1,-1,-1,-0.9,-0.9,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8
OCG,-0.6,-0.6,-0.7,-0.8,-1,-1,-0.9,-1,-1.1,-1.1,-1.2,-1.2,-1.2,-1.1,-1.1,-1.1,-1,-0.9,-0.9,-0.9,-0.8,-0.8,-0.8,-0.8,-0.8
SCG,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.1,-0.2,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
WCG,-0.5,-0.6,-0.6,-0.6,-0.7,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.5,-0.5,-0.4,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2
Organic Soils,,,,,,,,,,,,,,,,,,,,,,,,,
CRC,28,27.5,27.5,27.2,27.2,27.1,27,26.9,27.1,26.4,26.3,27.1,27.4,27.6,28.8,28.7,28.5,27.6,27.2,27.7,27.8,27.8,27.8,27.8,27.8
