Table A-260: Harvested Wood Products Sectoral Background Data for LULUCF—U.S. (Production Approach),,,
,1A,1B,2
Inventory year,Annual Change in stock of HWP in use produced from domestic harvest,Annual Change in stock of HWP in SWDS produced from domestic harvest,HWP Contribution to AFOLU CO2 emissions/ removals
,delta C HWP IU DH,delta C HWP SWDS DH,kt CO2/yr
1990,"-15,162","-18,845","-124,692"
1991,"-16,393","-17,446","-124,076"
1992,"-15,059","-17,971","-121,110"
1993,"-16,001","-17,500","-122,836"
1994,"-15,361","-17,269","-119,644"
1995,"-14,339","-16,552","-113,267"
1996,"-14,864","-17,294","-117,911"
1997,"-13,456","-17,765","-114,476"
1998,"-14,176","-18,384","-119,389"
1999,"-12,946","-18,001","-113,469"
2000,"-8,877","-16,817","-94,213"
2001,"-9,527","-17,236","-98,131"
2002,"-9,414","-16,198","-93,910"
2003,"-12,042","-16,297","-103,910"
2004,"-11,674","-16,315","-102,626"
2005,"-12,059","-17,289","-107,609"
2006,"-10,604","-17,408","-102,711"
2007,"-3,830","-17,110","-76,779"
2008,"1,888","-16,663","-54,175"
2009,"-7,968","-17,222","-92,364"
2010,"-8,286","-17,578","-94,835"
2011,"-9,034","-17,937","-98,894"
2012,"-9,919","-18,289","-103,431"
2013,"-10,790","-18,630","-107,873"
2014,"-11,650","-18,965","-112,254"
