Table A-263: Net CO2 Flux from Forest Pools in Forest Land Remaining Forest Land and Harvested Wood Pools (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,
Carbon Pool,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Forest,-598.8,-605.4,-605,-605.1,-598.8,-594.1,-576,-572.5,-567.5,-573.5,-563.6,-560.8,-564.4,-568.6,-570.7,-584.3,-596,-605.5,-613.2,-619.9,-647.2,-637.8,-632.4,-631.2,-630.1
Aboveground Biomass,-312.4,-312.3,-312.1,-312,-307.5,-311.3,-286.5,-282.4,-278.2,-279.4,-259.1,-264.5,-267.1,-269.5,-272.1,-310.3,-310.4,-316.4,-321,-324.5,-331.2,-329.4,-324.6,-323.5,-322.5
Belowground Biomass,-66.6,-66.6,-66.5,-66.4,-65.5,-66.5,-60.7,-59.8,-58.9,-59.1,-54.3,-55.6,-56,-56.5,-57,-65.7,-65.4,-66.7,-67.6,-68.2,-69.6,-69.3,-68.2,-67.9,-67.6
Dead Wood,-34.8,-36.3,-36.7,-37,-37.2,-39.9,-49.3,-49.7,-49.7,-51,-47.9,-37.7,-38,-38.6,-37.6,-44,-46.2,-46.7,-47.4,-48.2,-50.2,-52.9,-53.7,-53.9,-54.2
Litter,-35.9,-35.3,-35.2,-35.1,-34.8,-34.4,-29.1,-28.9,-28.7,-28.9,-24.5,-26.2,-26.5,-26.8,-27.1,-28.5,-28,-28.6,-29.2,-29,-34.5,-33.9,-33.1,-32.9,-32.7
Soil Organic Carbon,-149.2,-154.8,-154.5,-154.6,-153.8,-142.1,-150.3,-151.7,-152.1,-155.1,-177.8,-176.8,-176.8,-177.3,-176.8,-135.8,-145.9,-147.1,-148.1,-150,-161.7,-152.4,-152.8,-152.9,-153.1
Harvested Wood,-124.7,-124.1,-121.1,-122.8,-119.6,-113.3,-117.9,-114.5,-119.4,-113.5,-94.2,-98.1,-93.9,-103.9,-102.6,-107.6,-102.7,-76.8,-54.2,-92.4,-94.8,-98.9,-103.4,-107.9,-112.3
Products in Use,-55.6,-60.1,-55.2,-58.7,-56.3,-52.6,-54.5,-49.3,-52,-47.5,-32.6,-34.9,-34.5,-44.2,-42.8,-44.2,-38.9,-14,6.9,-29.2,-30.4,-33.1,-36.4,-39.6,-42.7
SWDS,-69.1,-64,-65.9,-64.2,-63.3,-60.7,-63.4,-65.1,-67.4,-66,-61.7,-63.2,-59.4,-59.8,-59.8,-63.4,-63.8,-62.7,-61.1,-63.1,-64.5,-65.8,-67.1,-68.3,-69.5
Total Net Flux,-723.5,-729.4,-726.1,-728,-718.5,-707.4,-693.9,-686.9,-686.9,-686.9,-657.8,-658.9,-658.3,-672.5,-673.3,-691.9,-698.7,-682.2,-667.4,-712.3,-742,-736.7,-735.8,-739.1,-742.3
