Table A-266: Annual change in Mineral Soil C stocks from U.S. agricultural soils that were estimated using a Tier 2 method (Tg C/yr),,,,,,,,,,
,,,,,,,,,,
Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Cropland Converted to Forest Land,0.04,0.05,0.04,0.05,0.05,0.06,0.06,0.06,0.06,0.07
,(0.02 to 0.07),(0.02 to 0.08),(0.01 to 0.08),(0.02 to 0.09),(0.02 to 0.09),(0.02 to 0.1),(0.02 to 0.1),(0.02 to 0.1),(0.02 to 0.11),(0.02 to 0.12)
Grassland Converted to Forest Land,0.12,0.13,0.12,0.14,0.15,0.17,0.16,0.17,0.17,0.18
,(0.06 to 0.19),(0.05 to 0.22),(0.03 to 0.21),(0.05 to 0.25),(0.05 to 0.26),(0.07 to 0.28),(0.06 to 0.27),(0.07 to 0.29),(0.05 to 0.29),(0.06 to 0.32)
,,,,,,,,,,
Other Lands Converted to Forest Land,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03
,(0.01 to 0.03),(0.01 to 0.03),(0.01 to 0.03),(0.01 to 0.04),(0.01 to 0.04),(0.01 to 0.04),(0.01 to 0.04),(0.01 to 0.04),(0.01 to 0.05),(0.01 to 0.05)
Settlements Converted to Forest Land,0,0,0,0,0,0,0,0,0,0
,(0 to 0),(0 to 0.01),(0 to 0.01),(0 to 0.01),(0 to 0.01),(0 to 0.01),(0 to 0.01),(0 to 0.01),(0 to 0.01),(0 to 0.01)
Wetlands Converted to Forest Land,0,0,0,0,0,0,0.01,0.01,0.01,0.01
,(0 to 0),(0 to 0.01),(0 to 0.01),(0 to 0.01),(0 to 0.01),(0 to 0.01),(0 to 0.01),(0 to 0.01),(0 to 0.01),(0 to 0.01)
Total Lands Converted to Forest Lands,0.18,0.2,0.19,0.22,0.23,0.26,0.25,0.27,0.27,0.29
"Note: The range is a 95% confidence interval from 50,000 simulations (Ogle et al. 2003, 2006).",,,,,,,,,,
Category,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Cropland Converted to Forest Land,0.06,0.06,0.05,0.05,0.05,0.05,0.02,0.02,0.02,0.02
,(0.02 to 0.11),(0.02 to 0.11),(0.02 to 0.09),(0.01 to 0.1),(0.01 to 0.1),(0.01 to 0.09),(0 to 0.05),(0.01 to 0.05),(0 to 0.04),(0 to 0.04)
Grassland Converted to Forest Land,0.17,0.17,0.15,0.15,0.14,0.14,0.07,0.07,0.07,0.07
,(0.05 to 0.31),(0.05 to 0.31),(0.04 to 0.27),(0.04 to 0.28),(0.03 to 0.26),(0.03 to 0.26),(0.01 to 0.13),(0.02 to 0.14),(0.01 to 0.13),(0.01 to 0.13)
Other Lands Converted to Forest Land,0.03,0.03,0.03,0.03,0.02,0.03,0.01,0.01,0.01,0.01
,(0.01 to 0.05),(0.01 to 0.05),(0.01 to 0.05),(0.01 to 0.05),(0.01 to 0.05),(0.01 to 0.05),(0 to 0.02),(0 to 0.02),(0 to 0.02),(0 to 0.02)
Settlements Converted to Forest Land,0,0,0,0,0,0,0,0,0,0
,(0 to 0.01),(0 to 0.01),(0 to 0.01),(0 to 0.01),(0 to 0.01),(0 to 0.01),(0 to 0),(0 to 0),(0 to 0),(0 to 0)
Wetlands Converted to Forest Land,0.01,0.01,0,0,0,0,0,0,0,0
,(0 to 0.01),(0 to 0.01),(0 to 0.01),(0 to 0.01),(0 to 0.01),(0 to 0.01),(0 to 0),(0 to 0),(0 to 0),(0 to 0)
Total Lands Converted to Forest Lands,0.27,0.27,0.24,0.24,0.23,0.22,0.11,0.11,0.1,0.1
"Note: The range is a 95% confidence interval from 50,000 simulations (Ogle et al. 2003, 2006).",,,,,,,,,,
Category,2010,2011,2012,2013,2014,,,,,
Cropland Converted to Forest Land,0.02,0.02,0.02,0.02,0.02,,,,,
,(0 to 0.04),(0 to 0.04),(0 to 0.04),(0 to 0.04),(0 to 0.04),,,,,
Grassland Converted to Forest Land,0.07,0.07,0.06,0.06,0.06,,,,,
,(0.01 to 0.13),(0.01 to 0.13),(0 to 0.13),(0 to 0.13),(0 to 0.13),,,,,
Other Lands Converted to Forest Land,0.01,0.01,0.01,0.01,0.01,,,,,
,(0 to 0.01),(0 to 0.01),(0 to 0.01),(0 to 0.01),(0 to 0.01),,,,,
Settlements Converted to Forest Land,0,0,0,0,0,,,,,
,(0 to 0),(0 to 0),(0 to 0),(0 to 0),(0 to 0),,,,,
Wetlands Converted to Forest Land,0,0,0,0,0,,,,,
,(0 to 0),(0 to 0),(0 to 0),(0 to 0),(0 to 0),,,,,
Total Lands Converted to Forest Lands,0.1,0.1,0.1,0.1,0.1,,,,,
"Note: The range is a 95 percent confidence interval from 50,000 simulations (Ogle et al. 2003, 2006).",,,,,,,,,,
