"Table A-270: Estimated C emissions (MMT/yr) for fire based on the AKFED, and partitioned to managed forest land in Alaska",,,,,,,
,,Forest land based on Ruefenacht et al. (2008),,,Forest land based on Homer et al. (2015),,
Yeara,Managed forest land (Table A-14)b,Managed forest land,Unmanaged forest land ,Non-forest land,Managed forest land,Unmanaged forest land ,Non-forest land
,,C emitted (MMT/year),,,,,
2001,0.7,0.8,0.3,0,0.1,0,1.1
2002,11.2,12.7,3.3,0.8,1.5,0.4,14.8
2003,2.8,4,1.4,0,0.6,0.2,4.7
2004,34.4,51.8,16.6,1,7,2.5,59.9
2005,22,29.8,14.1,1.7,4.1,1.9,39.6
2006,1.4,0.7,0.1,0,0.1,0,0.7
2007,1.5,1.4,1,2.9,0.3,0.1,4.9
2008,0.3,0.4,0.4,0.1,0.1,0,0.8
2009,12,16.3,9.8,0.2,1.5,0.7,24.1
2010,4.7,4.6,1.1,0.3,0.7,0.1,5.1
2011,1,1.5,0.3,0.1,0.8,0.2,0.9
2012,0.8,0.8,0.2,0.2,0.4,0.2,0.6
2013,6.1,7.4,2.5,0.3,4.7,1.7,3.7
a The AKFED data include the years 2001-2013 (Veraverbeke et al. 2015b).,,,,,,,
b Values include both wildland and prescribed fires in Alaska.  ,,,,,,,
