Table A-271: Estimated C Released and Estimates of Non-CO2 Emissions (MMT/yr) for U.S. forests,,,
Year,C emitted,CH4 emitted,N2O
,(MMT/yr),(MMT/yr),(MMT/yr)
1990,11.2,0.13,0.007
1991,12.6,0.15,0.008
1992,5.7,0.07,0.004
1993,3.2,0.04,0.002
1994,20.4,0.23,0.013
1995,2.7,0.03,0.002
1996,13.2,0.15,0.008
1997,1.7,0.02,0.001
1998,7.4,0.09,0.005
1999,16.8,0.2,0.011
2000,29.1,0.33,0.018
2001,14.7,0.17,0.01
2002,40.5,0.48,0.026
2003,23.2,0.26,0.015
2004,41.2,0.48,0.027
2005,34.1,0.4,0.022
2006,28.5,0.33,0.018
2007,42.4,0.49,0.027
2008,25.8,0.32,0.018
2009,23.7,0.28,0.016
2010,11.4,0.13,0.007
2011,22.7,0.27,0.015
2012,38,0.44,0.024
2013,25.2,0.29,0.016
2014a,25.2,0.29,0.016
"a The data for 2014 were incomplete when these estimates were summarized; therefore 2013, the most recent available estimate, is applied to 2014. ",,,
