Table A-89:  NOx Emissions from Stationary Combustion (kt),,,,,,,,,,,,,,,,,,,,,,,,,
Sector/Fuel Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Electric Power,"6,045"," 5,914 "," 5,900 "," 6,034 "," 5,956 ","5,792"," 5,581 "," 5,683 "," 5,638 "," 5,183 ","4,829","4,454","4,265","3,930","3,595","3,434","3,249","3,064","2,847","2,552","2,226","1,893","1,654","1,665","1,609"
Coal,"5,119"," 5,043 "," 5,061 "," 5,211 "," 5,113 ","5,061"," 5,079 "," 5,118 "," 4,932 "," 4,437 ","4,130","3,802","3,634","3,349","3,063","2,926","2,768","2,611","2,426","2,175","1,896","1,613","1,409","1,419","1,371"
Fuel Oil,200, 192 , 154 , 163 , 148 ,87, 107 , 131 , 202 , 179 ,147,149,142,131,120,114,108,102,95,85,74,63,55,55,54
Natural gas,513, 526 , 526 , 500 , 536 ,510, 248 , 277 , 329 , 393 ,376,325,310,286,262,250,236,223,207,186,162,138,120,121,117
Wood,NA, NA , NA , NA , NA ,NA, 5 , 6 , 24 , 33 ,36,37,36,33,30,29,27,26,24,21,19,16,14,14,13
Other Fuelsa,NA, NA , NA , NA , NA ,NA, NA , NA , NA , NA ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Internal Combustion,213, 152 , 159 , 160 , 159 ,134, 142 , 150 , 149 , 141 ,140,140,143,132,121,115,109,103,95,86,75,63,55,56,54
Industrial,"2,559"," 2,498 "," 2,575 "," 2,645 "," 2,646 ","2,650"," 2,667 "," 2,613 "," 2,570 "," 2,283 ","2,278","2,296","1,699","1,641","1,580","1,515","1,400","1,285","1,165","1,126","1,087","1,048","1,048","1,048","1,048"
Coal,530, 517 , 521 , 534 , 546 ,541, 490 , 487 , 475 , 475 ,484,518,384,371,357,342,316,290,263,254,245,237,237,237,237
Fuel Oil,240, 215 , 222 , 222 , 219 ,224, 203 , 196 , 190 , 190 ,166,153,114,110,106,101,94,86,78,75,73,70,70,70,70
Natural gas,877, 929 , 969 , 993 ," 1,000 ",999, 900 , 880 , 869 , 706 ,710,711,526,508,489,469,433,398,361,348,336,324,324,324,324
Wood,NA, NA , NA , NA , NA ,NA, NA , NA , NA , NA ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Other Fuelsa,119, 117 , 115 , 113 , 113 ,111, 109 , 103 , 104 , 100 ,109,116,86,83,80,76,70,65,59,57,55,53,53,53,53
Internal Combustion,792, 720 , 749 , 783 , 767 ,774, 965 , 948 , 932 , 813 ,809,798,591,570,549,527,486,446,405,391,378,364,364,364,364
Commercial,671, 592 , 580 , 578 , 719 ,607, 734 , 538 , 510 , 483 ,507,428,438,408,378,490,471,452,433,445,456,548,548,548,548
Coal,36, 33 , 35 , 37 , 36 ,35, 30 , 32 , 34 , 23 ,21,21,19,19,19,19,18,17,15,15,15,15,15,15,15
Fuel Oil,88, 80 , 84 , 84 , 86 ,94, 86 , 88 , 73 , 54 ,52,52,50,49,49,49,46,43,39,39,38,37,37,37,37
Natural gas,181, 191 , 204 , 211 , 215 ,210, 224 , 229 , 220 , 156 ,161,165,157,156,156,155,145,135,124,122,120,118,118,118,118
Wood,NA, NA , NA , NA , NA ,NA, NA , NA , NA , NA ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Other Fuelsa,366, 289 , 256 , 247 , 382 ,269, 394 , 190 , 184 , 249 ,273,189,212,183,154,267,263,258,254,269,284,378,378,378,378
Residential,749, 829 , 879 , 827 , 817 ,813, 726 , 699 , 651 , 441 ,439,446,422,422,420,418,390,363,335,329,324,318,318,318,318
Coalb,NA, NA , NA , NA , NA ,NA, NA , NA , NA , NA ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fuel Oilb,NA, NA , NA , NA , NA ,NA, NA , NA , NA , NA ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Natural Gasb,NA, NA , NA , NA , NA ,NA, NA , NA , NA , NA ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wood,42, 45 , 48 , 40 , 40 ,44, 27 , 27 , 27 , 25 ,21,22,21,21,21,20,19,18,16,16,16,16,16,16,16
Other Fuelsa,707, 784 , 831 , 786 , 778 ,769, 699 , 671 , 624 , 416 ,417,424,402,401,400,398,371,345,318,313,308,302,302,302,302
Total,"10,023"," 9,834 "," 9,934 "," 10,084 "," 10,137 ","9,862"," 9,708 "," 9,534 "," 9,369 "," 8,390 ","8,053","7,623","6,825","6,401","5,973","5,858","5,511","5,163","4,780","4,452","4,092","3,807","3,567","3,579","3,522"
NA - Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,
"a Other Fuels include LPG, waste oil, coke oven gas, coke, and non-residential wood (EPA 20145).",,,,,,,,,,,,,,,,,,,,,,,,,
"b Residential coal, fuel oil, and natural gas emissions are included in the Other Fuels category (EPA 2015b).",,,,,,,,,,,,,,,,,,,,,,,,,
Note:  Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
