Table A-92: Fuel Consumption by Fuel and Vehicle Type (million gallons unless otherwise specified),,,,,,,,,,,,,,,,,,,,,,,,,
Fuel/Vehicle Type ,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007a,2008,2009,2010,2011,2012,2013,2014
"Motor Gasolineb,c","110,417","108,780","111,066","113,394","115,190","117,429","119,831","121,180","124,693","127,307","128,174","129,590","132,169","132,600","134,336","133,294","131,337","130,768","125,050","124,189","123,175","120,497","120,035","120,138","122,188"
Passenger Cars,"69,763","65,165","65,773","66,595","67,406","67,496","68,537","68,535","70,787","72,587","72,320","72,920","74,313","71,931","71,504","73,856","70,791","88,607","84,714","83,918","83,230","82,621","82,464","82,463","82,694"
  Light-Duty Trucks,"34,698","37,662","40,141","41,570","42,617","44,074","45,648","47,184","48,316","50,514","50,398","50,871","52,023","55,417","57,540","53,733","54,798","34,933","33,074","33,473","33,262","31,612","31,270","31,305","33,086"
  Motorcycles,194,188,194,199,206,199,196,200,205,211,208,192,189,184,193,182,210,472,487,468,411,401,459,437,427
  Buses,39,38,38,40,41,41,41,42,42,44,43,40,38,36,49,41,41,79,81,84,82,80,92,95,100
  Medium- and Heavy-Duty Trucks,"4,350","4,304","4,195","4,066","4,095","4,044","3,949","3,873","3,928","3,987","4,065","3,961","4,006","3,446","3,475","3,922","3,961","5,164","5,220","4,798","4,773","4,383","4,358","4,455","4,506"
  Recreational Boatsd,"1,374","1,422",725,922,825,"1,575","1,460","1,347","1,415",-35.9,"1,140","1,606","1,601","1,587","1,574","1,560","1,536","1,514","1,474","1,448","1,417","1,401","1,391","1,382","1,376"
"Distillate Fuel Oil (Diesel Fuel) b,c","25,631","24,873","26,431","28,044","30,188","31,604","33,159","34,624","35,727","37,863","39,241","39,057","40,347","41,176","42,667","44,658","45,844","46,427","44,026","39,873","41,477","42,280","42,045","42,672","44,031"
  Passenger Cars,771,678,712,812,831,765,657,593,546,427,356,357,364,412,419,414,403,403,363,354,367,399,401,399,408
  Light-Duty Trucks,"1,119","1,108","1,225","1,317","1,365","1,452","1,529","1,586","1,682","1,847","1,961","2,029","2,133","2,652","2,822","2,518","2,611","1,327","1,184","1,180","1,227","1,277","1,271","1,265","1,365"
  Buses,781,717,752,818,857,851,884,901,922,"1,034",997,906,860,930,"1,316","1,030","1,034","1,520","1,436","1,335","1,326","1,419","1,515","1,525","1,634"
  Medium- and Heavy-Duty Trucks,"18,574","18,147","19,225","20,554","22,104","23,240","24,488","25,929","27,152","28,833","30,179","30,124","31,417","31,539","32,598","35,159","36,089","37,518","35,726","32,364","33,683","33,859","33,877","34,426","35,541"
  Recreational Boats,190,198,205,213,221,228,236,243,251,263,270,278,286,294,302,311,319,327,335,343,351,357,364,368,376
  Ships and Other Boats,735,772,961,884,"1,095","1,204","1,432","1,426","1,199","1,338","1,372","1,244","1,197","1,173",802,780,724,794,767,768,726,993,733,741,606
