Table A-98:  Detailed Vehicle Miles Traveled for Alternative Fuel On-Road Vehicles (106 Miles) ,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Type/Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Light-Duty Cars,4,14.1,32.2,45.3,65.2,61.5,60.0,62.2,62.6,75.6,115.9,150,222.9,267.6,249.4,254.7,296.3,225.6,219.5,217.2,235.5,537.9,1065.8,2314.6,3815.1
   Methanol-Flex Fuel ICE,+ ,10.1,24.6,37.3,55.7,48.9,43.6,38.8,30.8,27.7,15.2,11.5,8.8,+,+,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
   Ethanol-Flex Fuel ICE,+ ,+ ,+ ,0.1,0.1,0.3,1.1,2.1,2.9,6.7,20.9,25.4,31,35.2,42.2,51,59.2,72.8,84.2,96.2,122.2,118.5,148.9,173.5,193.7
   CNG ICE,+ ,+ ,+ ,+ ,+ ,0.1,0.2,0.7,1.5,3.1,5.5,9.1,12.3,14.5,17.3,15.9,14.7,14.6,13.1,12.3,11.7,12.3,12.5,13.3,12.5
   CNG Bi-fuel,+ ,+ ,+ ,+ ,+ ,0.2,0.7,2.3,5.0,10.0,18,29.5,40.3,47.6,53.5,40.6,25.4,19.3,13,10.1,8.1,7.1,4.5,3.5,2.3
   LPG ICE,1.1,1.2,1.0,1.3,1.3,1.2,1.3,1.3,1.3,1.2,1.2,1.2,1.3,1.3,0.3,0.1,0.2,1.7,1.7,1.7,+ ,0.2,0.2,0.4,1
   LPG Bi-fuel,2.8,2.9,2.6,3.3,3.2,3,3.2,3.2,3.3,2.9,3,3,3.2,3.3,7.9,3.3,3.7,1.7,1.6,1.8,1.2,0.3,0.3,0.2,+ 
   Biodiesel (BD100),+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,1,2,3,2.3,4.4,14.6,41.4,50.2,39.1,46.4,39.4,149.4,180.3,310.3,333.2
   NEVs,+ ,+ ,3.9,3.2,4.8,7.5,9.5,13.4,17.2,23.4,49.8,66.4,119.4,158.7,121.2,127.2,149.4,63.6,64.2,46.8,51.8,58.1,48.4,52.7,58.3
   Electric Vehicle,+ ,+ ,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.7,1.5,1.9,3.5,4.6,2.5,1.9,2.3,1.5,2.3,1.5,0.9,169.3,533.5,1484.1,2771.9
   SI PHEV - Electricity,+  ,+  ,+  ,+  ,+  ,+  ,+  ,+  ,+  ,+  ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,22.6,137.2,276.5,442.2
   Fuel Cell Hydrogen,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.3,0.2,0.5,0.2,0.1,0.1,0.1,0.1
Light-Duty Trucks,77.4,80.7,73.8,97.4,95.1,93.3,101.8,110.7,124.9,134.0,180.9,225,274.4,302.9,271.8,333.1,491.8,556.3,458.8,511.5,463.9,1223.3,1341.2,2036.1,2086.2
   Ethanol-Flex Fuel ICE,+ ,+ ,+ ,0.1,0.1,0.3,1.2,2.3,3.2,7.6,23.4,28,33.9,38.1,45.4,54.5,62.8,77,89.6,102.7,130.9,144.2,191.8,227.2,278.7
   CNG ICE,+ ,+ ,+ ,+ ,+ ,0.1,0.2,0.7,1.6,3.1,5.6,9.1,12.2,14.3,15.9,14.5,15.2,13.7,10.8,10.3,9.2,9.7,9.9,9.5,10.2
   CNG Bi-fuel,+ ,+ ,+ ,+ ,0.1,0.4,1.9,5.9,13.1,26.5,47.2,76.6,103.4,121,84.4,72.8,68.8,61.3,26.3,22,20.6,19.7,16,17.4,17.2
   LPG ICE,22.4,23.3,21.2,28.0,27.3,26.5,28.2,29.0,30.4,27.2,27.6,27.7,28.5,29.3,23.7,32.6,28.9,23.3,11.6,13.5,10.8,10.6,6.5,6.9,5.4
   LPG Bi-fuel,55,57.4,52.2,68.9,67.1,65.1,69.3,71.4,74.6,66.9,67.7,68.3,70.3,72.4,71.4,67.6,54.8,32,24.8,28.9,25.1,13.2,5.3,6.4,2.9
   LNG,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.2,+ ,+ ,+ ,+ ,+ 
   Biodiesel (BD100),+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,4.1,8.1,13.5,11.2,24,85.3,253.9,341.1,287.9,326.6,260.2,1020.9,1107.2,1752,1741.4
   Electric Vehicle,+ ,+ ,0.4,0.3,0.5,0.8,1.0,1.4,1.8,2.5,5.3,7,12.5,16.5,6.8,5.6,7.1,7.7,7.5,7.3,7,4.6,4.4,16.4,30.1
   Fuel Cell Hydrogen,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.2,0.1,0.3,0.2,0.2,0.2
Medium Duty Trucks,324.5,324.7,283.8,360.9,338.8,317.4,326.6,326.5,332.5,292.6,308.6,327.8,353.9,364.6,265.7,352.8,543.5,640.9,580.1,607,457.1,1414.9,1475.6,2335.2,2360.6
   CNG ICE,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.3,0.6,1.1,1.8,2.4,2.9,2.9,4.1,2.8,5.8,8,6.9,6.6,9,10.6,11.1,13.1
   CNG Bi-fuel,+ ,+ ,+ ,+ ,+ ,0.1,0.5,1.4,3.0,5.9,10.5,17.2,23.3,27.4,14.6,15.5,13,11.4,9.7,8,7.5,7.3,8.3,8.7,10.2
   LPG ICE,271.5,271.7,237.4,301.9,283.4,265.4,272.8,271.9,275.4,239.4,242.4,246.1,254.4,262.8,166.6,155.6,82.1,61.3,46.5,41.5,36.5,34.1,32.3,29.6,29.2
   LPG Bi-fuel,53,53.1,46.4,59.0,55.4,51.8,53.3,53.1,53.8,46.8,47.3,48.1,49.7,51.3,41.6,43.8,23.6,10.3,16.5,8.4,10.3,9.3,12.6,13.7,16.2
   LNG,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1
   Biodiesel (BD100),+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,7.3,14.5,24,20.2,39.8,133.7,422,552,499.4,542.3,396.2,1355.2,1411.8,2271.9,2291.8
Heavy-Duty Trucks,130.4,130.5,114.1,145.1,136.2,127.6,131.2,130.8,132.7,115.6,137.1,159.1,186.5,181.1,217.7,439.5,1046.6,1388.9,1180.1,1227.1,1023.1,3368.5,3368,5320.4,5300.8
   Neat Ethanol ICE,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,1.3,1.6,1.9,2.2,2.7,3.1,3.5,4.5,7,11.3,15.7,22.2
   CNG ICE,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.3,0.5,0.9,1.5,2,2.4,1.9,1.9,2.7,2.9,2.7,3.4,3.6,3.6,4.1,5,6.1
   LPG ICE,122.1,122.2,106.8,135.8,127.6,119.5,122.8,122.4,124.0,107.8,109.1,110.7,114.4,118.1,106.4,87.2,76.6,65.8,56.2,49.6,41,43.1,28,27.6,20.6
   LPG Bi-fuel,8.3,8.3,7.2,9.2,8.7,8.1,8.3,8.3,8.4,7.3,7.4,7.5,7.8,8,6.4,5.4,4.8,4.6,4.6,5.4,5.6,8.3,6.5,7.1,5.9
   LNG,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,+ ,0.1,+ ,+ ,+ ,+ ,+ ,+ 
