"Table A-99:  Age Distribution by Vehicle/Fuel Type for On-Road Vehicles,a 2014",,,,,,,
Vehicle Age,LDGV,LDGT,HDGV,LDDV,LDDT,HDDV,MC
0,7.1%,7.9%,6.2%,14.7%,8.6%,6.0%,7.2%
1,6.8%,7.5%,5.6%,14.1%,8.1%,5.4%,6.9%
2,6.6%,7.1%,5.1%,13.6%,7.8%,5.0%,6.5%
3,4.1%,4.8%,2.9%,8.4%,5.3%,3.1%,5.2%
4,4.6%,4.2%,1.9%,8.1%,3.1%,2.1%,4.7%
5,4.2%,3.2%,1.7%,5.4%,2.8%,2.5%,4.9%
6,5.3%,5.4%,3.4%,0.5%,6.9%,3.8%,8.6%
7,5.7%,5.7%,3.1%,0.3%,6.1%,7.4%,7.7%
8,5.3%,5.7%,4.4%,6.4%,7.8%,6.4%,7.3%
9,5.2%,5.8%,3.4%,4.4%,6.6%,5.9%,6.4%
10,4.8%,5.8%,4.3%,2.6%,5.9%,4.1%,5.4%
11,5.0%,5.2%,3.7%,3.4%,5.3%,3.6%,4.6%
12,4.9%,4.9%,3.7%,3.7%,4.5%,2.9%,4.1%
13,4.6%,4.3%,3.1%,2.4%,5.1%,3.8%,3.4%
14,4.5%,4.0%,6.0%,2.0%,2.7%,5.9%,2.8%
15,3.5%,3.4%,5.8%,1.1%,3.9%,4.7%,2.1%
16,2.8%,2.7%,2.4%,1.1%,1.4%,3.2%,1.8%
17,2.6%,2.3%,4.5%,0.4%,1.8%,3.0%,1.7%
18,2.1%,1.7%,2.7%,0.4%,1.4%,2.7%,1.5%
19,2.1%,1.6%,3.7%,0.3%,1.0%,3.3%,1.1%
20,1.6%,1.4%,2.9%,0.0%,0.6%,2.5%,1.3%
21,1.4%,1.0%,2.3%,0.2%,0.6%,1.8%,1.1%
22,1.1%,0.8%,1.8%,0.2%,0.6%,1.3%,0.9%
23,0.9%,0.6%,1.5%,0.5%,0.3%,1.2%,0.7%
24,0.8%,0.6%,2.0%,0.1%,0.3%,1.5%,0.6%
25,0.6%,0.6%,2.4%,0.1%,0.2%,1.5%,0.4%
26,0.5%,0.5%,2.0%,0.0%,0.2%,1.3%,0.4%
27,0.4%,0.4%,1.8%,0.9%,0.1%,1.1%,0.3%
28,0.3%,0.4%,1.8%,0.5%,0.3%,0.8%,0.3%
29,0.3%,0.3%,1.4%,1.6%,0.2%,0.8%,0.2%
30,0.3%,0.2%,2.4%,2.5%,0.2%,1.3%,0.2%
Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Source: EPA (2015b).,,,,,,,
Note: This year’s Inventory includes updated vehicle population data based on the MOVES 2014a Model.  ,,,,,,,
"a The following abbreviations correspond to vehicle types: LDGV (light-duty gasoline vehicles), LDGT (light-duty gasoline trucks), HDGV (heavy-duty gasoline vehicles), LDDV (light-duty diesel vehicles), LDDT (light-duty diesel trucks), HDDV (heavy-duty diesel vehicles), and MC (motorcycles).",,,,,,,
