Table A-277:  Conversion Factors to Energy Units (Heat Equivalents),,,,,,,,
Fuel Category (Units),Fuel Type,Production,Imports,Exports,Stock Change,Adjustment,Bunkers,U.S. Territories
Solid Fuels (Million Btu/Short Ton),Anthracite Coal,22.57,,,,,,
,Bituminous Coal,23.89,,,,,,
,Sub-bituminous Coal,17.14,,,,28.16,,
,Lignite,12.87,,,,12.87,,
,Coke,,21.86,25.41,21.86,,,
,Unspecified,,25,25.97,20.86,266.92,,25.14
Natural Gas (BTU/Cubic Foot),,"1,032","1,025","1,009","1,032","1,031",,"1,032"
Liquid Fuels (Million Btu/Barrel),Crude Oil,5.8,6.04,5.8,5.8,,5.8,5.8
,Nat Gas Liquids and Liquefied Refinery Gases,3.72,3.72,3.72,3.72,,3.72,3.72
,Other Liquids,5.83,5.83,5.83,5.83,,5.83,5.83
,Motor Gasoline,5.06,5.06,5.06,5.06,,5.06,5.06
,Aviation Gasoline,,5.05,5.05,5.05,,5.05,5.05
,Kerosene,,5.67,5.67,5.67,,5.67,5.67
,Jet Fuel,,5.67,5.67,5.67,,5.81,5.67
,Distillate Fuel,,5.83,5.83,5.83,5.83,5.83,5.83
,Residual Oil,,6.29,6.29,6.29,6.29,6.29,6.29
,Naphtha for petrochemical feedstocks,,5.25,5.25,5.25,,5.25,5.25
,Petroleum Coke,,6.02,6.02,6.02,6.02,6.02,6.02
,Other Oil for petrochemical feedstocks,,5.83,5.83,5.83,5.83,5.83,5.83
,Special Naphthas,,5.25,5.25,5.25,,5.25,5.25
,Lubricants,,6.07,6.07,6.07,,6.07,6.07
,Waxes,,5.54,5.54,5.54,,5.54,5.54
,Asphalt/Road Oil,,6.64,6.64,6.64,,6.64,6.64
,Still Gas,,6,6,6,,6,6
,Misc. Products,,5.8,5.8,5.8,,5.8,5.8
"Sources: Coal and lignite production: EIA (1992); Unspecified Solid Fuels, Coke, Natural Gas and Petroleum Products: EIA (1995-2015).",,,,,,,,
