Table A-280: 2014 Non-Energy Carbon Stored in Products,,,,,
Fuel Type,Consumption for Non-Energy Use (TBtu),Carbon Coefficients (MMT Carbon/QBtu),Carbon Content (MMT Carbon),Fraction Sequestered,Carbon Stored (MMT CO2 Eq.)
Coal,23.0,31.0,0.7,0.1,0.9
Natural Gas,305.1,14.5,4.4,0.7,10.6
Asphalt & Road Oil,792.6,20.6,16.3,1.0,59.5
LPG,2109.4,17.1,36.0,0.7,86.4
Lubricants,281.1,20.2,5.7,0.1,1.9
Pentanes Plus,43.5,19.1,0.8,0.7,2.0
Petrochemical Feedstocks,[a],[a],[a],[a],37.7
Petroleum Coke,0.0,27.9,0.0,0.3,0.0
Special Naphtha,104.4,19.7,2.1,0.7,4.9
Waxes/Misc.,[a],[a],[a],[a],0.8
Misc. U.S. Territories Petroleum,[a],[a],[a],[a],0.4
Total,,,,,205.2
"[a]  Values for Misc. U.S. Territories Petroleum, Petrochemical Feedstocks and Waxes/Misc. are not shown because these categories are aggregates of numerous smaller components.",,,,,
Note: Totals may not sum due to independent rounding.,,,,,
