Table A-283: CO2 Emissions from Fossil Fuel Combustion by Estimating Approach (MMT CO2 Eq.)a,,,,,,,,,,,,,,,,,,,,,,,,,
Approach,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Sectoral,"4,858"," 4,818 "," 4,919 "," 5,031 "," 5,115 ","5,169"," 5,356 "," 5,429 "," 5,483 "," 5,557 ","5,734","5,657","5,697","5,750","5,857","5,886","5,800","5,876","5,692","5,299","5,472","5,336","5,130","5,279","5,322"
Coal,"1,719"," 1,715 "," 1,732 "," 1,797 "," 1,805 ","1,823"," 1,907 "," 1,950 "," 1,980 "," 1,983 ","2,071","2,011","2,022","2,066","2,093","2,121","2,083","2,106","2,076","1,835","1,935","1,820","1,607","1,667","1,656"
Natural Gas,"1,007"," 1,028 "," 1,062 "," 1,090 "," 1,115 ","1,164"," 1,185 "," 1,192 "," 1,169 "," 1,173 ","1,227","1,178","1,215","1,183","1,189","1,172","1,156","1,230","1,242","1,221","1,277","1,297","1,357","1,397","1,432"
Petroleum,"2,133"," 2,074 "," 2,124 "," 2,143 "," 2,195 ","2,182"," 2,265 "," 2,287 "," 2,334 "," 2,402 ","2,435","2,468","2,460","2,501","2,575","2,593","2,560","2,540","2,373","2,243","2,260","2,219","2,166","2,215","2,234"
Reference (Apparent),"4,793"," 4,748 "," 4,853 "," 4,981 "," 5,088 ","5,132"," 5,310 "," 5,427 "," 5,440 "," 5,504 ","5,683","5,654","5,697","5,738","5,883","5,891","5,782","5,888","5,653","5,334","5,407","5,285","5,127","5,168","5,197"
Coal,"1,654"," 1,638 "," 1,668 "," 1,721 "," 1,767 ","1,756"," 1,836 "," 1,901 "," 1,894 "," 1,902 ","1,988","1,967","1,976","2,002","2,065","2,087","2,049","2,053","2,036","1,832","1,868","1,789","1,573","1,615","1,614"
Natural Gas,"1,013"," 1,034 "," 1,068 "," 1,097 "," 1,121 ","1,170"," 1,192 "," 1,199 "," 1,174 "," 1,178 ","1,233","1,182","1,220","1,188","1,194","1,176","1,160","1,235","1,247","1,226","1,283","1,303","1,363","1,401","1,438"
Petroleum,"2,126"," 2,076 "," 2,117 "," 2,163 "," 2,200 ","2,206"," 2,282 "," 2,327 "," 2,372 "," 2,424 ","2,462","2,505","2,501","2,548","2,625","2,627","2,573","2,600","2,370","2,276","2,256","2,193","2,190","2,152","2,145"
Difference,-1.40%,-1.4%,-1.3%,-1.0%,-0.5%,-0.70%,-0.9%,0.0%,-0.8%,-1.0%,-0.90%,-0.10%,0.00%,-0.20%,0.50%,0.10%,-0.30%,0.20%,-0.70%,0.60%,-1.20%,-1.00%,-0.10%,-2.10%,-2.30%
Coal,-3.80%,-4.5%,-3.7%,-4.2%,-2.1%,-3.70%,-3.7%,-2.5%,-4.3%,-4.1%,-4.00%,-2.20%,-2.30%,-3.10%,-1.30%,-1.60%,-1.70%,-2.50%,-1.90%,-0.20%,-3.40%,-1.80%,-2.10%,-3.10%,-2.60%
Natural Gas,0.60%,0.6%,0.5%,0.6%,0.6%,0.60%,0.6%,0.6%,0.4%,0.5%,0.50%,0.30%,0.40%,0.40%,0.40%,0.30%,0.30%,0.30%,0.30%,0.40%,0.50%,0.50%,0.40%,0.30%,0.40%
Petroleum,-0.30%,0.1%,-0.3%,0.9%,0.2%,1.10%,0.8%,1.7%,1.6%,0.9%,1.10%,1.50%,1.70%,1.90%,1.90%,1.30%,0.50%,2.40%,-0.10%,1.50%,-0.20%,-1.10%,1.10%,-2.90%,-3.90%
a Includes U.S. Territories. Does not include international bunker fuels.,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
