Table A-289:  Change in U.S. Greenhouse Gas Emissions Using SAR GWP values relative to AR4 GWP values (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Percent Change in 2014
CO2,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
CH4,-123.8,-124.3,-124.3,-122.3,-123.3,-122.9,-122,-119.5,-118.1,-115.8,-114.8,-114,-113,-113.4,-112.8,-114.8,-115.1,-116.2,-118.2,-117.7,-115.6,-114.8,-114.3,-115.4,-116.9,-8.00%
Natural Gas Systems,-33.1,-33.4,-33.2,-33.1,-33.2,-32.3,-32.1,-31.8,-31.2,-30.7,-30.4,-30.7,-29.5,-29.2,-28.8,-28.4,-28.7,-28.3,-28.7,-27.4,-26.6,-27.2,-27.6,-28.1,-28.2,-8.00%
Enteric Fermentation,-26.3,-26.3,-27.1,-27.5,-28,-28.6,-28.4,-27.9,-27.6,-27.6,-27.3,-27.1,-27.2,-27.2,-26.7,-27,-27.5,-27.9,-27.8,-27.7,-27.4,-27,-26.7,-26.5,-26.3,-8.00%
Landfills,-28.7,-29.1,-29,-28.7,-28.6,-27.9,-27.3,-25.8,-24.2,-23.1,-22.6,-21.9,-22,-23,-23.3,-24.6,-24.3,-24.5,-24.7,-24.7,-22.7,-23.1,-22.8,-23.1,-23.7,-8.00%
Petroleum Systems,-6.2,-6.2,-6.1,-5.9,-6.1,-6.3,-6.5,-6.8,-6.9,-6.9,-7.1,-7.3,-7.4,-7.5,-7.7,-7.8,-8,-8.1,-8.2,-8.3,-8.7,-9,-9.3,-10.4,-10.9,-8.00%
Coal Mining,-15.4,-14.9,-14.5,-12.4,-12.4,-12.2,-12.2,-12.1,-12.1,-11.4,-10.9,-10.9,-10.2,-10.2,-10.4,-10.3,-10.5,-10.4,-12.1,-12.8,-13.2,-11.4,-10.6,-10.3,-10.8,-8.00%
Manure Management,-5.9,-6.2,-6,-6.3,-6.7,-6.9,-6.8,-7.1,-7.8,-7.9,-8,-8.4,-8.6,-8.7,-8.5,-9,-9.1,-9.9,-9.8,-9.5,-9.7,-9.8,-10.2,-9.8,-9.8,-8.00%
Wastewater Treatment,-2.5,-2.5,-2.6,-2.6,-2.6,-2.6,-2.6,-2.6,-2.6,-2.7,-2.6,-2.6,-2.6,-2.6,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.4,-2.4,-2.4,-2.4,-8.00%
Rice Cultivation,-2.1,-2.1,-2.1,-2.2,-1.7,-2.1,-2,-1.8,-2.2,-2,-2.3,-1.9,-2.4,-1.8,-1.8,-2.1,-1.6,-1.6,-1.4,-1.8,-1.9,-1.9,-1.9,-1.9,-1.9,-8.00%
Stationary Combustion,-1.4,-1.4,-1.4,-1.3,-1.3,-1.3,-1.4,-1.2,-1.1,-1.1,-1.2,-1.1,-1.1,-1.2,-1.2,-1.2,-1.1,-1.2,-1.2,-1.2,-1.1,-1.1,-1.1,-1.3,-1.3,-8.00%
Abandoned Underground Coal Mines,-1.2,-1.2,-1.3,-1.3,-1.5,-1.6,-1.6,-1.4,-1.3,-1.3,-1.4,-1.3,-1.2,-1.1,-1.1,-1.1,-1,-1,-1,-1,-1.1,-1,-1,-1,-1,-8.00%
Composting,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-8.00%
Mobile Combustion,-0.9,-0.9,-0.9,-0.9,-0.8,-0.8,-0.8,-0.8,-0.7,-0.6,-0.6,-0.6,-0.5,-0.5,-0.5,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.3,-0.3,-0.3,-8.00%
Field Burning of Agricultural Residues,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-8.00%
Petrochemical Production,+,+,+,+,+,+,-0.1,-0.1,-0.1,-0.1,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-8.00%
Ferroalloy Production,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-8.00%
Silicon Carbide Production and Consumption,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-8.00%
Iron and Steel Production & Metallurgical Coke Production,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-8.00%
Incineration of Waste,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-8.00%
International Bunker Fuelsa,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-8.00%
N2O,16.4,16,16.3,16.9,16.2,16.9,17.3,16.6,17.5,16.2,16.2,16.1,16.1,16.2,17.3,16,16.5,16.9,16,16.1,16.5,16.8,16.5,16.2,16.2,-0.70%
Agricultural Soil Management,12.2,11.7,12,12.5,11.6,12.2,12.4,12,13,11.8,11.8,12,12,12.1,13.3,12,12.5,12.8,12.4,12.7,12.9,13,13,12.8,12.8,-0.70%
Stationary Combustion,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,-0.70%
Manure Management,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,-0.70%
Mobile Combustion,1.7,1.7,1.9,1.9,2,2.1,2.1,2.1,2.1,2,2,1.8,1.7,1.6,1.5,1.4,1.3,1.1,1,1,1,0.9,0.8,0.7,0.7,-0.70%
Nitric Acid Production,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.5,0.4,0.5,0.4,0.4,0.5,0.4,0.5,0.5,0.4,0.5,0.4,0.4,0.4,0.4,-0.70%
Adipic Acid Production,0.6,0.6,0.5,0.6,0.5,0.7,0.7,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.3,0.3,0.4,0.1,0.1,0.2,0.4,0.2,0.2,0.2,-0.70%
Wastewater Treatment,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,-0.70%
N?O from Product Uses,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,-0.70%
Composting,+,+,+,+,+,+,+,+,+,+,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-0.70%
Incineration of Waste,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-0.70%
Semiconductor Manufacture,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-0.70%
Field Burning of Agricultural Residues,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-0.70%
International Bunker Fuelsa,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-0.70%
HFCs,-9.7,-8.6,-9.7,-9.3,-9.6,-12.7,-14.6,-15.7,-18.9,-17.5,-17.5,-15.7,-16.8,-15.2,-17.2,-17.7,-18.5,-20.8,-21.6,-21.1,-23.2,-24.8,-25.5,-26.7,-28.5,-10.10%
Substitution of Ozone Depleting Substancesb,+,+,+,-0.4,-1.2,-3.9,-6.3,-7.6,-8.3,-9.3,-9.9,-10.4,-11.2,-11.9,-12.6,-13.5,-14.8,-16.3,-17.9,-19.6,-21.5,-22.9,-24.3,-25.8,-27.3,-9.80%
HCFC-22 Production,-9.7,-8.7,-9.6,-8.8,-8.4,-8.7,-8.3,-8.0,-10.5,-8.1,-7.6,-5.2,-5.6,-3.3,-4.6,-4.2,-3.7,-4.5,-3.6,-1.4,-1.7,-1.8,-1.1,-0.9,-1.1,-18.90%
Semiconductor Manufacture,+,+,+,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,+,+,+,+,+,-0.1,+,+,+,+,+,+,+,-0.1,-18.90%
Magnesium Production and Processing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,+,+,+,+,+,+,+,-23.10%
PFCs,-3.6,-3.1,-2.9,-3.0,-2.8,-3.0,-3.2,-2.9,-2.8,-2.8,-2.5,-1.4,-1.7,-1.4,-1.2,-1.1,-1.1,-1.3,-1.0,-0.7,-0.8,-1.2,-0.7,-1,-0.6,-9.50%
Aluminum Production,15.6,+,+,+,+,+,+,+,+,+,+,-0.8,+,+,-0.7,-0.3,-1.0,+,-0.3,-0.5,-1.1,-0.6,-0.2,-0.4,-0.5,-12.40%
Semiconductor Manufacture,-19.2,-15.9,-14.5,-13.2,-11.1,-9.9,-10.2,-8.0,-4.4,-4.2,-5.1,-0.6,-2.8,-1.4,-0.5,-0.9,-0.1,-1.9,-0.8,-0.2,0.3,-0.6,-0.4,-0.6,+,-6.10%
SF6,1.5,1.4,1.4,1.4,1.4,1.3,1.3,1.2,1.0,1.0,0.9,0.8,0.8,0.8,0.7,0.7,0.6,0.5,0.5,0.4,0.5,0.5,0.4,0.3,0.4,-2.60%
Electrical Transmission and Distribution,1.2,1.2,1.2,1.1,1.1,1.0,0.9,0.8,0.7,0.7,0.7,0.7,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,-2.60%
Magnesium Production and Processing,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+,-2.60%
Semiconductor Manufacture,+,+,+,+,+,+,+,+,0.1,0.1,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-2.60%
NF3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-37.20%
Semiconductor Manufacture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-37.20%
Total Emissions,-78.7,-77.3,-78.0,-76.6,-76.9,-79.8,-81.4,-80.6,-82.5,-79.7,-79.0,-75.3,-76.1,-74.3,-75.5,-76.3,-76.6,-78.8,-79.3,-77.4,-77.4,-77.9,-76.8,-77.7,-78.8,-1.80%
NC (No Change),,,,,,,,,,,,,,,,,,,,,,,,,,
NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,
+ Absolute value does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,
a Emissions from International Bunker Fuels are not included in totals. ,,,,,,,,,,,,,,,,,,,,,,,,,,
b Small amounts of PFC emissions also result from this source. ,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:  Totals may not sum due to independent rounding. Parentheses indicate negative values.,,,,,,,,,,,,,,,,,,,,,,,,,,
