Table A-293:  Change in U.S. Greenhouse Gas Emissions Using AR5 with Climate-Carbon Feedbacksa Relative to AR4 GWP Values (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,
Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
CO2,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
CH4 ,278.6,279.7,279.7,275.1,277.4,276.5,274.4,269.0,265.6,260.4,258.3,256.6,254.3,255.1,253.8,258.2,259.0,261.4,266.0,264.7,260.1,258.3,257.2,259.7,263.1
N2O ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HFCs,-2.9,-2.5,-2.7,-2.0,-1.3,-1.1,-1.4,-0.5,-0.5,0.9,2.0,3.7,3.9,4.7,4.5,5.0,5.6,5.9,6.9,8.3,8.9,9.1,9.6,10,10.2
PFCs,+ ,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,0.4,+,0.4
SF6,4.5,4.3,4.3,4.2,4.0,3.8,3.7,3.5,3.1,3.0,2.6,2.5,2.3,2.3,2.1,2.0,1.8,1.6,1.5,1.3,1.4,1.4,1.1,1,1.1
NF3,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
Total ,280.2,281.5,281.3,277.3,280.1,279.2,276.7,272.0,268.2,264.4,262.9,262.7,260.5,262.1,260.4,265.3,266.6,268.9,274.4,274.4,270.4,268.9,268.4,270.8,274.8
Note: Total emissions presented without LULUCF. ,,,,,,,,,,,,,,,,,,,,,,,,,
NC (No Change),,,,,,,,,,,,,,,,,,,,,,,,,
+ Absolute value does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,
"a The GWP values presented here from the AR5 report include climate-carbon feedbacks for the non-CO2 gases in order to be consistent with the approach used in calculating the CO2 lifetime. Additionally, the AR5 reported separate values for fossil versus biogenic methane in order to account for the CO2 oxidation product.",,,,,,,,,,,,,,,,,,,,,,,,,
Notes: Totals may not sum due to independent rounding. Parentheses indicate negative values,,,,,,,,,,,,,,,,,,,,,,,,,
