Table A-295: Emissions of Ozone Depleting Substances (kt),,,,,,,,,,,,,,,,,,,,,,,,,
Compound,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Class I,,,,,,,,,,,,,,,,,,,,,,,,,
CFC-11,29,30,14,14,13,12,11,11,11,11,13,13,13,13,12,12,12,11,10,9,8,8,8,7,7
CFC-12,124,125,126,124,101,80,74,67,60,54,48,43,38,33,28,23,19,14,10,5,3,3,2,2,1
CFC-113,59,61,56,52,35,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFC-114,5,4,3,1,1,1,1,1,1,1,+,+,+,+,+,+,+,+,+,+,+,+,+,+,0
CFC-115,8,7,7,7,6,6,5,5,4,4,4,3,3,3,2,2,2,1,1,+,+,+,+,+,+
Carbon Tetrachloride,4,4,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl Chloroform,223,227,209,190,148,72,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halon-1211,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Halon-1301,2,2,2,2,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Class II,,,,,,,,,,,,,,,,,,,,,,,,,
HCFC-22,49,50,51,52,54,57,59,61,64,67,71,74,77,79,81,82,84,84,85,85,82,80,76,73,69
HCFC-123,0,0,+,+,+,+,+,+,+,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HCFC-124,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1
HCFC-141b,1,1,1,2,3,4,5,6,6,7,7,7,6,4,4,4,4,6,7,8,9,9,9,10,10
HCFC-142b,2,3,4,6,5,4,2,2,2,3,3,3,3,3,3,3,3,4,4,2,1,1,1,1,1
HCFC-225ca/cb,0,0,0,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
+ Does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,
