Table A-296:  SO2 Emissions (kt),,,,,,,,,,,,,,,,,,,,,,,,,
Sector/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Energy,"19,628"," 19,109 "," 18,844 "," 18,583 "," 18,223 "," 15,772 "," 15,725 "," 16,102 "," 16,193 "," 14,932 "," 13,796 "," 13,404 "," 12,786 "," 12,582 "," 12,366 ","12,364"," 11,120 "," 9,875 "," 8,674 "," 7,591 ","6,396","5,273","4,106","4,020","3,923"
Stationary Sources,"18,407"," 17,958 "," 17,683 "," 17,459 "," 17,134 "," 14,724 "," 14,744 "," 15,103 "," 15,189 "," 13,915 "," 12,848 "," 12,461 "," 11,613 "," 11,525 "," 11,426 ","11,541"," 10,473 "," 9,406 "," 8,303 "," 7,228 ","6,120","5,008","3,859","3,790","3,710"
Oil and Gas Activities,390, 343 , 377 , 347 , 344 , 335 , 304 , 312 , 311 , 283 , 286 , 289 , 233 , 215 , 198 ,180, 165 , 150 , 135 , 126 ,117,108,108,108,108
Mobile Sources,793, 769 , 745 , 720 , 697 , 672 , 648 , 658 , 664 , 704 , 632 , 624 , 917 , 818 , 718 ,619, 459 , 299 , 218 , 220 ,144,142,125,108,90
Waste Combustion,38, 39 , 39 , 56 , 48 , 42 , 29 , 29 , 30 , 30 , 29 , 30 , 23 , 23 , 24 ,25, 22 , 20 , 18 , 17 ,16,15,15,15,15
Industrial Processes and Product Use,"1,307"," 1,188 "," 1,188 "," 1,161 "," 1,137 "," 1,118 ", 954 , 986 , 992 , 985 ," 1,032 "," 1,048 ", 850 , 851 , 852 ,831, 784 , 737 , 690 , 654 ,617,604,604,604,604
Miscellaneous,11, 11 , 9 , 9 , 14 , 9 , 14 , 5 , 6 , 61 , 63 , 40 , 122 , 127 , 132 ,114, 118 , 122 , 126 , 136 ,146,179,179,179,179
Other Industrial Processes,362, 359 , 359 , 356 , 361 , 366 , 350 , 371 , 376 , 347 , 372 , 389 , 295 , 306 , 317 ,327, 295 , 262 , 229 , 210 ,190,171,171,171,171
Metals Processing,659, 555 , 558 , 547 , 510 , 481 , 353 , 369 , 367 , 275 , 284 , 301 , 193 , 182 , 170 ,158, 159 , 160 , 161 , 151 ,141,131,131,131,131
Chemical and Allied Product Manufacturing,269, 254 , 252 , 244 , 249 , 259 , 232 , 235 , 237 , 295 , 307 , 310 , 235 , 233 , 230 ,228, 208 , 188 , 168 , 150 ,132,115,115,115,115
Storage and Transport,6, 9 , 8 , 5 , 2 , 2 , 5 , 5 , 5 , 5 , 6 , 6 , 4 , 4 , 3 ,2, 4 , 5 , 6 , 7 ,7,8,8,8,8
Solvent Use,0,0,1,1,1,1,1,1,1,1,1,1,+ ,+ ,+ ,+ ,+ ,1,1,1,+ ,+ ,+ ,+ ,+ 
Degreasing,0,0,+ ,+ ,+ ,+ ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Graphic Arts,0,0,+ ,+ ,+ ,+ ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dry Cleaning,NA,NA,+ ,NA,+ ,+ ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surface Coating,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Industrial,0,0,+ ,+ ,+ ,+ ,1,1,1,1,1,1,+ ,+ ,+ ,+ ,+ ,1,1,1,+ ,+ ,+ ,+ ,+ 
Nonindustrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agriculture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 Agricultural Burning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Waste,+ ,1,1,8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,+ ,+ ,+ ,+ ,+ 
Landfills,+ ,+ ,+ ,+ ,+ ,+ ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,+ ,+ ,+ ,+ ,+ 
Wastewater Treatment,+ ,+ ,+ ,+ ,+ ,+ ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miscellaneous,+ ,1,1,8,5,+ ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,"20,935"," 20,298 "," 20,033 "," 19,752 "," 19,365 "," 16,891 "," 16,680 "," 17,090 "," 17,186 "," 15,917 "," 14,829 "," 14,452 "," 13,637 "," 13,433 "," 13,219 "," 13,196 "," 11,904 "," 10,613 "," 9,365 "," 8,245 ","7,014","5,877","4,711","4,625","4,528"
+ Does not exceed 0.5 kt* Miscellaneous includes other combustion and fugitive dust categories.,,,,,,,,,,,,,,,,,,,,,,,,,
Note:  Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
Source:  Data taken from EPA (2015) and disaggregated based on EPA (2003).,,,,,,,,,,,,,,,,,,,,,,,,,
