Table A-303: Quantitative Assessment of Trend Uncertainty (MMT CO2 Eq. and Percent),,,,,
Gas/Source,"Base Year Emissionsi,a",2014 Emissionsa,Emissions Trenda,"Trend Rangea,b",
,(MMT CO2 Eq.),,(%),(%),
,,,,Lower Bound,Upper Bound
CO2,5114.7,5555.6,9%,4%,14%
Fossil Fuel Combustionc,4740.3,5207.8,10%,5%,15%
Non-Energy Use of Fuels,118.1,114.3,-3%,-41%,59%
Iron and Steel Production & Metallurgical Coke Production,99.7,55.4,-44%,-55%,-32%
Natural Gas Systems,37.7,42.4,12%,-21%,57%
Cement Production,33.3,38.8,16%,7%,27%
Petrochemical Production,21.6,26.5,23%,15%,31%
Lime Production,11.7,14.1,21%,16%,25%
Other Process Uses of Carbonates,4.9,12.1,-146%,104%,197%
Ammonia Production,13.0,9.4,-28%,-36%,-19%
Incineration of Waste,8.0,9.4,18%,0%,40%
Carbon Dioxide Consumption,1.5,4.5,204%,154%,264%
Urea Consumption for Non-Agricultural Purposes,3.8,4.0,6%,-10%,25%
Petroleum Systems,3.6,3.6,0%,-55%,134%
Aluminum Production,6.8,2.8,-59%,-60%,-57%
Soda Ash Production and Consumption,2.8,2.8,0%,-9%,10%
Ferroalloy Production,2.2,1.9,-11%,-25%,6%
Titanium Dioxide Production,1.2,1.8,47%,22%,76%
Glass Production,1.5,1.3,-13%,-18%,-7%
Phosphoric Acid Production,1.5,1.1,-28%,-46%,-5%
Zinc Production ,0.6,1.0,51%,15%,101%
Lead Production,0.5,0.5,0%,-19%,25%
Silicon Carbide Production and Consumption,0.4,0.2,-54%,-60%,-47%
Magnesium Production and Processing,0.0,+ ,NA,NA,NA
Wood Biomass and Ethanol Consumptione,219.4,293.7,2%,NE,NE
International Bunker Fuelsf,103.5,103.2,0%,NE,NE
CH4,773.9,730.8,-6%,-23%,17%
Natural Gas Systems,206.8,176.1,-15%,-40%,20%
Enteric Fermentation,164.2,164.3,0%,-18%,23%
Landfills,179.6,148.0,-18%,-66%,105%
Petroleum Systems,38.7,68.1,76%,-23%,311%
Coal Mining,96.5,67.6,-30%,-46%,-17%
Manure Management,37.2,61.2,65%,12%,131%
Wastewater Treatment,15.7,14.7,-6%,-69%,4%
Rice Cultivation,13.1,11.9,-9%,-66%,137%
Stationary Combustion,8.5,8.1,-5%,-70%,200%
Abandoned Underground Coal Mines,7.2,6.3,-12%,-44%,26%
Composting,0.4,2.1,439%,136%,1118%
Mobile Combustion,5.6,2.0,-64%,-71%,-55%
Field Burning of Agricultural Residues,0.2,0.3,18%,-37%,123%
Petrochemical Production,0.2,0.1,-43%,-76%,38%
Ferroalloy Production,+ ,+ ,-21%,-33%,-6%
Silicon Carbide Production and Consumption,+ ,+ ,-67%,-71%,-62%
Iron and Steel Production & Metallurgical Coke Production,+ ,+ ,-44%,-67%,-42%
Incineration of Waste,+ ,+ ,NE,NE,NE
International Bunker Fuelsf,0.2,0.1,-52%,NE,NE
N2O,406.2,403.5,-1%,-31%,44%
Agricultural Soil Management,303.3,318.4,5%,-35%,69%
Stationary Combustion,11.9,23.4,96%,22%,213%
Manure Management,14.0,17.5,25%,-6%,64%
Mobile Combustion,41.2,16.3,-60%,-68%,-52%
Nitric Acid Production,12.1,10.9,-10%,-16%,-2%
Adipic Acid Production,15.2,5.4,-64%,-66%,-62%
Wastewater Treatment,3.4,4.8,44%,-70%,511%
N2O from Product Uses,4.2,4.2,0%,-32%,46%
Composting,0.3,1.8,439%,135%,1111%
Incineration of Waste,0.5,0.3,-32%,-81%,143%
Field Burning of Agricultural Residues,0.1,0.1,23%,-21%,94%
International Bunker Fuelsf,1.1,1.0,5%,NE,NE
"HFCs, PFCs, SF6, and NF3",132.6,175.3,32%,26%,45%
Substitution of Ozone Depleting Substancesg,31.0,156.4,405%,366%,447%
Electrical Transmission and Distribution,25.4,5.6,-78%,-83%,-71%
HCFC-22 Production,46.1,5.0,-89%,-90%,-88%
Semiconductor Manufacture,3.6,4.5,27%,17%,38%
Aluminum Production,21.5,2.5,-88%,-89%,-87%
Magnesium Production,5.2,1.2,-80%,-83%,-77%
Total Emissionsh,6427.4,6865.2,7%,2%,12%
LULUCF Emissionsi,15.0,24.6,63%,-18%,229%
LULUCF Total Net Fluxj,-753.0,-787.0,5%,-25%,46%
LULUCF Sector Totalk,-738.0,-762.5,3%,-27%,45%
