Table 2-10:  U.S. Greenhouse Gas Emissions Allocated to Economic Sectors (MMT CO2 Eq. and Percent of Total in 2014) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sector/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Percenta
,Electric Power Industry,1864.8,1860.7,1875.6,1950.6,1975.1,1991.4,2063.9,2129.7,2215.6,2229.8,2334.8,2296.3,2312.6,2344.0,2377.8,2443.9,2387.8,2454.1,2400.6,2185.7,2300.5,2198.1,2060.7,2078.0,2080.7,30.30%
,CO2 from Fossil Fuel Combustion,1820.8,1818.2,1831.5,1906.9,1931.2,1947.9,2021.0,2088.4,2177.4,2190.5,2296.9,2257.9,2272.7,2304.2,2335.9,2400.9,2345.3,2411.9,2360.1,2145.7,2258.4,2157.7,2022.2,2038.1,2039.3,29.70%
,Stationary Combustion,7.7,7.7,7.7,8.1,8.2,8.3,8.5,8.7,9.1,9.3,10.1,10.6,12.4,13.6,15.2,16.5,16.7,17.2,17.3,17.3,18.9,18.0,18.2,19.5,20.0,0.30%
,Incineration of Waste,8.4,8.4,9.9,10.2,11.3,11.7,12.3,12.3,11.2,11.4,11.5,11.8,12.2,12.5,12.8,12.8,12.9,13.1,12.2,11.6,11.4,10.9,10.7,9.7,9.7,0.10%
,Other Process Uses of Carbonates,2.5,2.2,2.2,2.0,2.2,3.1,3.4,3.2,3.4,3.8,2.3,2.3,2.6,1.9,2.8,3.2,3.6,3.7,2.9,3.8,4.8,4.7,4.0,5.2,6.0,0.10%
,Electrical Transmission and Distribution,25.4,24.3,24.2,23.5,22.1,20.4,18.7,17.1,14.5,14.9,14.0,13.7,12.7,11.9,11.2,10.6,9.3,8.2,8.1,7.3,7.0,6.8,5.6,5.4,5.6,0.10%
,Transportation,1551.3,1505.6,1559.1,1600.6,1654.4,1695.2,1748.6,1774.5,1817.6,1874.7,1923.2,1907.6,1947.9,1936.8,1981.4,1999.6,1993.5,1994.2,1897.3,1819.0,1827.4,1799.6,1780.4,1789.9,1810.3,26.30%
,CO2 from Fossil Fuel Combustion,1493.8,1447.6,1496.9,1532.4,1577.0,1609.9,1654.3,1670.1,1706.6,1761.1,1805.5,1789.4,1830.6,1822.3,1867.1,1887.0,1882.6,1886.1,1791.8,1717.0,1728.3,1707.6,1696.8,1713.0,1737.6,25.30%
,Substitution of Ozone Depleting Substances,+ ,+ ,1.2,5.0,12.1,19.1,27.7,36.5,42.6,48.7,54.5,60.3,62.7,64.3,66.1,67.1,67.9,68.7,69.3,68.5,65.6,60.2,55.1,49.8,47.2,0.70%
,Mobile Combustion,45.7,47.4,50.3,52.2,53.9,55.0,55.7,56.2,56.3,52.7,51.2,46.9,43.6,40.2,37.9,35.3,33.0,29.1,26.6,25.0,24.0,22.7,20.2,18.3,16.3,0.20%
,Non-Energy Use of Fuels,11.8,10.6,10.8,11.0,11.5,11.3,11.0,11.6,12.1,12.2,12.1,11.1,10.9,10.1,10.2,10.2,9.9,10.2,9.5,8.5,9.5,9.0,8.3,8.8,9.1,0.10%
