Table 2-11:  Electricity Generation-Related Greenhouse Gas Emissions (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Fuel Type or Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,CO2,1831.2,1828.3,1843.2,1918.6,1944.3,1962.3,2036.3,2103.4,2191.6,2205.3,2310.3,2271.6,2287.1,2318.1,2351.1,2416.5,2361.4,2428.3,2374.9,2160.7,2274.2,2172.9,2036.6,2052.8,2054.8
,Fossil Fuel Combustion,1820.8,1818.2,1831.5,1906.9,1931.2,1947.9,2021.0,2088.4,2177.4,2190.5,2296.9,2257.9,2272.7,2304.2,2335.9,2400.9,2345.3,2411.9,2360.1,2145.7,2258.4,2157.7,2022.2,2038.1,2039.3
,Coal,1547.6,1548.2,1569.6,1632.5,1638.8,1660.7,1752.4,1797.0,1828.2,1836.4,1927.4,1869.8,1889.9,1931.0,1943.1,1983.8,1953.7,1987.3,1959.4,1740.9,1827.6,1722.7,1511.2,1571.3,1570.4
,Natural Gas,175.3,178.9,186.0,187.5,210.8,228.1,204.8,218.8,247.6,259.9,280.8,289.3,305.7,277.8,296.7,318.8,338.0,371.3,361.9,372.2,399.0,408.8,492.2,444.0,443.2
,Petroleum,97.5,90.7,75.5,86.4,81.2,58.7,63.4,72.2,101.3,93.8,88.4,98.4,76.8,95.0,95.8,97.9,53.2,52.9,38.4,32.2,31.4,25.8,18.3,22.4,25.3
,Geothermal,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
,Incineration of Waste,8.0,8.0,9.5,9.8,10.9,11.3,11.9,11.9,10.8,11.0,11.1,11.4,11.8,12.1,12.4,12.5,12.5,12.7,11.9,11.3,11.0,10.5,10.4,9.4,9.4
,Other Process Uses of Carbonates,2.5,2.2,2.2,2.0,2.2,3.1,3.4,3.2,3.4,3.8,2.3,2.3,2.6,1.9,2.8,3.2,3.6,3.7,2.9,3.8,4.8,4.7,4.0,5.2,6.0
,CH4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.4,0.4,0.4,0.4
,Stationary Sources (Elec Gen),0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.4,0.4,0.4,0.4
,Incineration of Waste,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,N2O,7.8,7.7,7.8,8.1,8.3,8.4,8.6,8.7,9.1,9.2,10.0,10.6,12.4,13.6,15.1,16.4,16.6,17.1,17.2,17.1,18.8,17.9,18.1,19.4,19.9
,Stationary Sources (Elec Gen),7.4,7.4,7.4,7.7,7.9,7.9,8.2,8.3,8.7,8.9,9.6,10.2,12.0,13.2,14.7,16.0,16.2,16.7,16.8,16.8,18.5,17.6,17.8,19.1,19.6
,Incineration of Waste,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3
,SF6,25.4,24.3,24.2,23.5,22.1,20.4,18.7,17.1,14.5,14.9,14.0,13.7,12.7,11.9,11.2,10.6,9.3,8.2,8.1,7.3,7.0,6.8,5.6,5.4,5.6
,Electrical Transmission and Distribution,25.4,24.3,24.2,23.5,22.1,20.4,18.7,17.1,14.5,14.9,14.0,13.7,12.7,11.9,11.2,10.6,9.3,8.2,8.1,7.3,7.0,6.8,5.6,5.4,5.6
,Total,1864.8,1860.7,1875.6,1950.6,1975.1,1991.4,2063.9,2129.7,2215.6,2229.8,2334.8,2296.3,2312.6,2344.0,2377.8,2443.9,2387.8,2454.1,2400.6,2185.7,2300.5,2198.1,2060.7,2078.0,2080.7
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,
,a Includes only stationary combustion emissions related to the generation of electricity.,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
