Table 2-12:  U.S. Greenhouse Gas Emissions by Economic Sector and Gas with Electricity-Related Emissions Distributed (MMT CO2 Eq.) and Percent of Total in 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sector/Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Percenta
,Industry,2262.9,2220.9,2279.8,2259.7,2301.0,2303.7,2350.4,2381.6,2357.5,2333.6,2322.2,2199.3,2172.7,2170.5,2216.0,2171.9,2179.8,2166.9,2089.8,1850.0,1979.1,1970.0,1934.0,1992.5,2005.7,29.20%
,Direct Emissions,1620.9,1590.3,1626.1,1597.5,1623.7,1640.0,1672.6,1668.6,1636.2,1598.9,1579.0,1521.0,1502.5,1477.7,1525.4,1486.2,1517.7,1509.8,1452.6,1304.9,1394.5,1399.0,1392.1,1448.2,1461.7,21.30%
,CO2,1157.9,1137.1,1175.1,1163.5,1188.6,1202.7,1233.0,1240.5,1205.6,1188.5,1177.6,1140.6,1127.4,1116.0,1160.7,1122.3,1149.9,1135.6,1080.2,947.7,1028.8,1027.2,1029.5,1079.6,1081.7,15.70%
,CH4,351.4,350.3,346.4,331.5,335.6,330.0,330.2,327.9,324.5,317.2,313.6,315.6,304.1,302.8,302.3,298.9,303.5,300.4,314.4,311.4,310.9,305.8,305.5,312.9,320.0,4.70%
,N2O,35.4,34.8,33.1,34.8,35.3,38.9,39.4,32.8,28.1,27.1,27.3,23.9,24.7,24.5,22.9,26.7,28.0,31.8,21.9,20.1,23.7,29.1,24.0,22.7,24.5,0.40%
,"HFCs, PFCs, SF6, and NF3",76.3,68.0,71.5,67.7,64.3,68.5,70.0,67.4,78.0,66.1,60.4,40.9,46.4,34.4,39.4,38.2,36.4,42.0,36.1,25.7,31.1,36.9,33.1,33.0,35.5,0.50%
,Electricity-Related,642.0,630.6,653.7,662.2,677.3,663.7,677.8,713.0,721.3,734.7,743.2,678.4,670.2,692.8,690.6,685.7,662.0,657.1,637.2,545.2,584.5,571.0,541.9,544.3,544.0,7.90%
,CO2,630.4,619.6,642.4,651.3,666.7,654.0,668.8,704.2,713.5,726.6,735.5,671.1,662.9,685.2,682.9,678.0,654.7,650.2,630.4,539.0,577.9,564.4,535.6,537.7,537.2,7.80%
,CH4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+
,N2O,2.7,2.6,2.7,2.8,2.9,2.8,2.8,2.9,2.9,3.0,3.2,3.1,3.6,4.0,4.4,4.6,4.6,4.6,4.6,4.3,4.8,4.7,4.8,5.1,5.2,0.10%
,SF6,8.7,8.2,8.5,8.0,7.6,6.8,6.1,5.7,4.7,4.9,4.5,4.0,3.7,3.5,3.3,3.0,2.6,2.2,2.1,1.8,1.8,1.8,1.5,1.4,1.5,+
,Transportation,1554.4,1508.6,1562.1,1603.7,1657.6,1698.4,1751.8,1777.6,1820.8,1878.0,1926.7,1911.3,1951.4,1941.2,1986.0,2004.4,1998.1,1999.3,1902.0,1823.6,1832.0,1803.9,1784.3,1794.0,1814.5,26.40%
,Direct Emissions,1551.3,1505.6,1559.1,1600.6,1654.4,1695.2,1748.6,1774.5,1817.6,1874.7,1923.2,1907.6,1947.9,1936.8,1981.4,1999.6,1993.5,1994.2,1897.3,1819.0,1827.4,1799.6,1780.4,1789.9,1810.3,26.30%
,CO2,1505.6,1458.2,1507.6,1543.4,1588.5,1621.2,1665.3,1681.7,1718.8,1773.3,1817.5,1800.5,1841.6,1832.4,1877.4,1897.2,1892.5,1896.4,1801.3,1725.5,1737.8,1716.6,1705.0,1721.8,1746.7,25.40%
,CH4,5.4,5.2,5.2,5.1,5.0,4.9,4.7,4.5,4.3,3.7,3.4,3.1,2.9,2.6,2.5,2.4,2.3,2.1,2.0,1.9,1.9,1.8,1.8,1.7,1.6,+
,N2O,40.3,42.1,45.1,47.1,48.8,50.1,51.0,51.8,52.0,49.0,47.8,43.7,40.8,37.5,35.4,32.9,30.7,26.9,24.6,23.0,22.1,20.9,18.5,16.6,14.7,0.20%
,HFCsb, +  , +  ,1.2,5.0,12.1,19.1,27.7,36.5,42.6,48.7,54.5,60.3,62.7,64.3,66.1,67.1,67.9,68.7,69.3,68.5,65.6,60.2,55.1,49.8,47.2,0.70%
,Electricity-Related,3.1,3.1,3.0,3.1,3.2,3.1,3.1,3.2,3.2,3.3,3.5,3.7,3.5,4.4,4.6,4.8,4.6,5.2,4.8,4.6,4.6,4.3,3.9,4.1,4.1,0.10%
