Table 2-13:  Transportation-Related Greenhouse Gas Emissions (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Vehicle,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Passenger Cars,656.6,614.7,623.8,633.3,642.9,646.7,659.2,663,685.4,698.7,697.3,704.1,716.9,694.2,690.2,708.9,683,843.5,802.3,792.8,783.6,774.3,767.9,763.2,762.5
,CO2,629.3,587.9,595.2,602.1,607.2,607.1,615.1,614.4,634.3,647.6,644.7,650.5,664.1,642.8,639.9,660.1,635.7,794.2,755.1,747.9,742,736.9,735.5,735.5,737.6
,CH4,3.2,2.9,2.8,2.7,2.7,2.6,2.5,2.4,2.3,2,1.9,1.7,1.5,1.4,1.3,1.2,1.1,1.3,1.2,1.2,1.2,1.2,1.1,1,1
,N2O,24.1,23.8,24.5,24.9,25.6,25.9,25.9,25.8,25.9,23.6,22.6,21.2,19.8,18.4,17.2,15.9,14.5,16.5,14.7,13.8,12.9,12.3,10.7,9.4,8
,HFCs,0,0,1.2,3.6,7.4,11.2,15.7,20.3,23,25.6,28.1,30.7,31.5,31.6,31.8,31.7,31.7,31.5,31.2,29.9,27.5,23.9,20.6,17.3,16
,Light-Duty Trucks,335.6,364.6,390.9,406.6,419.5,436.8,456.1,475.2,490,512.2,515,520.8,532.7,567.4,589,551.5,564,367.2,348.6,351.5,348.9,332,326,323.4,338.1
,CO2,321.1,347.6,371.9,384.6,393.4,406.7,421.3,435.5,446.9,467,467.3,472.6,484.8,519.9,541.3,504.3,516.8,326,307.2,310.1,308.8,294.8,291.9,292.5,309.2
,CH4,1.7,1.9,1.9,2,1.9,1.8,1.8,1.7,1.6,1.3,1.2,1.1,1,0.9,0.9,0.8,0.8,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3
,N2O,12.8,15.1,17.1,18.7,19.6,20.5,21.4,22.3,22.4,21.6,21.1,18.7,17.2,15.4,14.4,13.2,12.5,6.2,5.9,5.8,5.5,5,4.4,3.9,3.6
,HFCs,0,0,0,1.4,4.6,7.8,11.6,15.7,19,22.3,25.4,28.4,29.8,31.1,32.4,33.3,33.9,34.5,35.1,35.2,34.2,31.7,29.3,26.7,25
,Medium- and Heavy-Duty Trucks,231.1,226.3,236.5,249,265.3,275.9,287.9,302.1,315.4,333,347.5,346.1,360,356.6,367.7,398.2,407.4,432,414.2,376.3,389.7,388.4,388.7,395.7,407.4
,CO2,230.1,225.3,235.4,247.8,264,274.6,286.5,300.5,313.6,331.1,345.5,344.1,357.8,354.1,365.1,395.4,404.6,428.6,410.6,372.6,385.6,383.9,383.7,390.3,402
,CH4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,N2O,0.7,0.8,0.8,0.9,0.9,0.9,1,1.1,1.1,1.2,1.2,1.1,1.2,1.2,1.1,1.1,1,1.3,1.3,1.2,1.1,1,0.9,0.9,0.9
,HFCs,0,0,0,0,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.8,0.9,1.2,1.4,1.5,1.7,1.9,2.2,2.4,2.9,3.4,3.9,4.4,4.4
,Buses,8.4,7.7,8.1,8.8,9.2,9.2,9.6,9.9,10.2,11.4,11.2,10.3,10,10.8,15.1,12.1,12.2,17.6,16.9,16,15.8,16.8,17.8,18,19.1
,CO2,8.4,7.7,8.1,8.8,9.2,9.2,9.5,9.8,10.1,11.3,11,10.1,9.8,10.6,14.8,11.8,11.8,17.2,16.4,15.5,15.3,16.2,17.3,17.5,18.6
,CH4,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,N2O,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,HFCs,0,0,0,0,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
,Motorcycles,1.8,1.7,1.8,1.8,1.9,1.8,1.8,1.8,1.9,1.9,1.9,1.7,1.7,1.7,1.8,1.7,1.9,4.3,4.4,4.2,3.7,3.6,4.2,4,3.9
,CO2,1.7,1.7,1.7,1.8,1.8,1.8,1.7,1.8,1.8,1.9,1.8,1.7,1.7,1.6,1.7,1.6,1.9,4.2,4.3,4.1,3.6,3.6,4.1,3.9,3.8
,CH4,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,N2O,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Commercial Aircrafta,110.9,104.3,106.5,109.8,114.6,116.3,119.7,124,120.8,131.6,140.6,125.8,122.4,124,126,134,138.3,141,128.4,120.6,114.4,115.7,114.3,115.4,116.3
,CO2,109.9,103.3,105.5,108.7,113.5,115.2,118.6,122.9,119.7,130.3,139.3,124.6,121.3,122.9,124.8,132.7,137,139.7,127.3,119.5,113.3,114.6,113.3,114.3,115.2
,CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+ ,0,0,0,0,+ ,+ ,+ ,+ ,+ 
,N2O,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1.2,1.3,1.2,1.1,1.1,1.2,1.2,1.3,1.3,1.2,1.1,1,1.1,1,1.1,1.1
,Other Aircraftb,78.3,69.1,64.6,62.8,65.3,60.3,69.2,65,71.8,65.5,58.8,68.2,67,59,64.6,59.7,48.1,42.4,48.2,36.8,40.4,34.2,32.1,34.7,35.2
,CO2,77.5,68.4,64,62.1,64.6,59.7,68.6,64.3,71.1,64.8,58.2,67.5,66.3,58.5,64,59.1,47.6,42,47.8,36.4,40.1,33.9,31.8,34.4,34.9
,CH4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+ ,+ ,+ ,0.1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,N2O,0.7,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.5,0.6,0.5,0.4,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.3
,Ships and Boatsc,44.9,40,49.2,47.8,48.4,58.5,54.4,39.9,33.8,29.9,61.1,42.4,47.2,37.1,39.8,44.9,48,54.7,45.3,38.6,44.7,46.4,40.1,39.4,28.6
,CO2,44.3,39.5,48.5,47.1,47.7,57.7,53.7,39.3,33.3,29.3,60.2,41.8,46.5,36.6,39.3,44.3,47.4,53.9,44.7,38.1,44,45.5,39.3,38.7,28
,CH4,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,N2O,0.6,0.5,0.7,0.7,0.7,0.8,0.7,0.5,0.4,0.5,0.8,0.5,0.6,0.5,0.5,0.6,0.6,0.7,0.6,0.5,0.8,0.8,0.7,0.7,0.5
,HFCs,0,0,0,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
