"Table 2-15:  Emissions of NOx, CO, NMVOCs, and SO2 (kt)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,NOx,"21,783"," 21,469 "," 21,493 "," 21,559 "," 21,687 "," 21,221 "," 21,145 "," 20,983 "," 20,729 "," 19,550 "," 19,319 "," 18,318 "," 20,560 "," 19,310 "," 18,298 ","17,421"," 16,472 "," 15,658 "," 14,484 "," 13,466 ","12,565","12,416","11,778","11,195","10,633"
,Mobile Fossil Fuel Combustion,"10,862"," 10,795 "," 10,728 "," 10,662 "," 10,598 "," 10,536 "," 10,475 "," 10,528 "," 10,385 "," 10,183 "," 10,199 "," 9,696 "," 12,485 "," 11,755 "," 11,025 ","10,295"," 9,740 "," 9,186 "," 8,523 "," 7,797 ","7,290","7,294","6,788","6,283","5,777"
,Stationary Fossil Fuel Combustion,"10,023"," 9,834 "," 9,934 "," 10,084 "," 10,137 "," 9,862 "," 9,708 "," 9,534 "," 9,369 "," 8,390 "," 8,053 "," 7,623 "," 6,825 "," 6,401 "," 5,973 ","5,858"," 5,511 "," 5,163 "," 4,780 "," 4,452 ","4,092","3,807","3,567","3,579","3,522"
,Oil and Gas Activities,139, 110 , 134 , 112 , 106 , 100 , 126 , 130 , 130 , 109 , 111 , 113 , 321 , 324 , 322 ,321, 344 , 368 , 391 , 468 ,545,622,622,622,622
,Industrial Processes and Product Use,592, 551 , 564 , 565 , 596 , 610 , 600 , 631 , 640 , 598 , 629 , 659 , 539 , 551 , 562 ,572, 554 , 535 , 514 , 493 ,472,452,452,452,452
,Forest Fires,78, 89 , 40 , 23 , 143 , 19 , 92 , 12 , 52 , 118 , 204 , 103 , 284 , 163 , 289 ,239, 200 , 297 , 181 , 166 ,80,159,266,177,177
,Waste Combustion,82, 85 , 86 , 107 , 100 , 88 , 135 , 139 , 145 , 143 , 114 , 114 , 98 , 108 , 118 ,128, 114 , 100 , 85 , 81 ,77,73,73,73,73
,Agricultural Burning,6, 6 , 7 , 7 , 7 , 6 , 7 , 7 , 7 , 6 , 7 , 7 , 7 , 7 , 7 ,6, 7 , 8 , 8 , 8 ,7,8,8,8,8
,Waste,+ ,+ , 1 , 1 , 1 , 1 , 2 , 2 , 2 , 3 , 2 , 2 , 2 , 2 , 2 ,2, 2 , 2 , 2 , 1 ,1,1,1,1,1
,CO,"132,764"," 128,977 "," 123,140 "," 117,856 "," 117,677 "," 109,233 "," 106,690 "," 100,889 "," 100,142 "," 97,888 "," 99,487 "," 92,321 "," 86,046 "," 78,703 "," 80,131 ","75,240"," 69,627 "," 68,839 "," 59,774 "," 52,312 ","49,507","51,238","53,240","48,229","46,413"
