Table 2-5:  CO2 Emissions from Fossil Fuel Combustion by End-Use Sector (MMT CO2 Eq.) ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,End-Use Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Transportation,1496.8,1450.6,1499.8,1535.4,1580.1,1612.9,1657.4,1673.2,1709.8,1764.3,1808.9,1793.1,1834.1,1826.5,1871.7,1891.8,1887.2,1891.2,1796.5,1721.4,1732.7,1711.9,1700.6,1717.0,1741.7
,Combustion,1493.8,1447.6,1496.9,1532.4,1577.0,1609.9,1654.3,1670.1,1706.6,1761.1,1805.5,1789.4,1830.6,1822.3,1867.1,1887.0,1882.6,1886.1,1791.8,1717.0,1728.3,1707.6,1696.8,1713.0,1737.6
,Electricity,3.0,3.0,3.0,3.0,3.1,3.1,3.1,3.1,3.2,3.2,3.4,3.6,3.5,4.3,4.5,4.7,4.5,5.1,4.7,4.5,4.5,4.3,3.9,4.0,4.1
,Industrial,1529.2,1497.0,1557.0,1565.1,1588.4,1586.7,1644.2,1662.3,1639.6,1619.2,1643.8,1578.8,1553.5,1572.5,1598.1,1564.6,1564.2,1563.1,1499.8,1329.5,1416.5,1398.0,1375.7,1407.0,1406.8
,Combustion,842.5,822.5,857.4,855.7,864.8,870.5,907.4,906.8,869.1,845.9,854.1,843.0,829.8,829.6,852.3,828.0,852.6,847.9,802.8,727.7,775.5,773.3,782.9,812.2,813.3
,Electricity,686.7,674.5,699.5,709.5,723.6,716.2,736.8,755.5,770.5,773.3,789.7,735.9,723.7,742.9,745.7,736.6,711.7,715.2,697.0,601.8,641.0,624.7,592.8,594.7,593.6
,Residential,931.4,949.1,945.2,998.0,989.0,994.7,1055.4,1045.2,1049.7,1070.5,1133.2,1124.9,1151.7,1181.7,1179.6,1214.1,1151.8,1204.5,1190.4,1122.7,1174.6,1117.5,1007.8,1064.6,1080.3
,Combustion,338.3,347.2,353.5,365.8,356.8,352.8,383.1,364.7,331.2,350.6,370.8,362.2,360.0,378.9,367.4,357.8,321.3,341.3,347.6,336.3,334.6,326.8,282.5,329.7,345.1
,Electricity,593.0,601.9,591.7,632.2,632.2,641.8,672.4,680.5,718.4,719.9,762.4,762.7,791.7,802.8,812.2,856.3,830.4,863.2,842.8,786.4,840.0,790.7,725.3,734.9,735.2
,Commercial,755.4,762.1,758.0,782.3,794.8,812.4,843.2,883.0,901.2,912.8,972.2,980.7,978.8,989.4,1007.7,1026.8,1007.2,1047.3,1039.3,976.5,993.0,958.8,897.0,925.5,938.4
,Combustion,217.4,223.3,220.6,220.1,222.4,225.6,234.5,233.6,215.9,218.8,230.9,225.0,225.0,235.2,234.2,223.5,208.6,218.8,223.6,223.5,220.1,220.7,196.7,221.0,231.9
,Electricity,538.0,538.8,537.4,562.2,572.4,586.8,608.7,649.3,685.3,694.1,741.3,755.7,753.8,754.2,773.5,803.3,798.6,828.5,815.6,753.0,772.9,738.0,700.3,704.5,706.5
,U.S. Territoriesa,27.9,31.6,33.3,34.4,37.8,34.5,32.6,33.4,33.4,34.5,35.9,47.8,42.8,49.9,52.1,49.9,50.2,45.1,40.8,43.5,41.4,41.5,43.6,43.5,41.0
,Total,4740.7,4690.3,4793.2,4915.3,4990.0,5041.2,5232.8,5297.1,5333.7,5401.3,5594.0,5525.2,5560.9,5620.0,5709.2,5747.1,5660.6,5751.2,5566.7,5193.5,5358.3,5227.7,5024.7,5157.6,5208.2
,Electricity Generation,1820.8,1818.2,1831.5,1906.9,1931.2,1947.9,2021.0,2088.4,2177.4,2190.5,2296.9,2257.9,2272.7,2304.2,2335.9,2400.9,2345.3,2411.9,2360.1,2145.7,2258.4,2157.7,2022.2,2038.1,2039.3
,"a Fuel consumption by U.S. Territories (i.e., American Samoa, Guam, Puerto Rico, U.S. Virgin Islands, Wake Island, and other U.S. Pacific Islands) is included in this report.",,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Combustion-related emissions from electricity generation are allocated based on aggregate national electricity consumption by each end-use sector. Totals may not sum due to independent rounding.  ,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,,
