Table 2-6:  Emissions from Industrial Processes and Product Use (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,CO2,207.1,197.5,200.4,198.7,206.4,214.5,217.8,220.2,216.8,215.7,213.3,192.0,192.4,187.3,195.0,190.3,195.1,197.7,182.7,141.2,168.8,172.9,169.5,171.7,178.1
,Iron and Steel Production & Metallurgical Coke Production,99.7,90.5,91.1,87.1,89.9,93.5,91.6,93.0,86.8,84.7,86.2,75.9,72.3,69.1,68.5,66.5,69.3,71.2,66.7,43.0,55.7,59.9,54.2,52.2,55.4
,Iron and Steel Production,97.2,88.1,89.7,86.7,87.3,90.9,89.8,91.6,84.2,82.2,84.0,75.0,70.0,66.6,66.6,64.5,67.4,69.1,64.4,42.0,53.6,58.5,53.7,50.4,53.4
,Metallurgical Coke Production,2.5,2.4,1.4,0.5,2.6,2.6,1.8,1.4,2.5,2.5,2.2,0.9,2.3,2.4,1.9,2,1.9,2.1,2.3,1.0,2.1,1.4,0.5,1.8,1.9
,Cement Production,33.3,32.5,32.8,34.6,36.1,36.8,39.1,38.3,39.2,40.0,41.2,41.4,42.9,43.1,45.6,45.9,46.6,45.2,41.2,29.4,31.3,32,35.1,36.1,38.8
,Petrochemical Production,21.6,23.1,23.7,24.6,26.6,27.9,29.1,30.5,30.8,32.3,31.6,27.6,28.7,28.4,30.7,27.4,27.6,28.1,24.7,23.8,27.2,26.3,26.5,26.4,26.5
,Lime Production,11.7,11.5,11.9,12.3,12.7,13.5,14.2,14.5,14.8,14.4,14.3,13.7,13.2,13.9,14.6,14.6,15.2,14.7,14.5,11.4,13.4,14,13.7,14,14.1
,Other Process Uses of Carbonates,4.9,4.3,4.3,3.9,4.3,6.2,6.8,6.4,6.7,7.6,4.7,4.7,5.1,3.7,5.6,6.3,7.3,7.4,5.9,7.6,9.6,9.3,8,10.4,12.1
,Ammonia Production,13,13.3,13.7,13.2,14.2,13.5,13.8,14.0,14.1,12.9,12.2,9.2,10.5,8.8,9.6,9.2,8.8,9.1,8.4,8.5,9.2,9.3,9.4,10,9.4
,Carbon Dioxide Consumption,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.9,1.0,1.4,1.3,1.4,1.8,1.9,1.8,1.8,4.4,4.1,4,4.2,4.5
,Urea Consumption for Non-Agricultural Purposes,3.8,3.5,3.9,4.6,4.3,4.3,3.9,3.9,4.8,4.7,4.2,4.1,3.7,3.6,3.7,3.7,3.5,4.9,4.1,3.4,4.7,4,4.4,4.2,4
,Aluminum Production,6.8,6.9,6.8,6.2,5.5,5.7,6.0,6.0,6.2,6.3,6.1,4.4,4.5,4.5,4.2,4.1,3.8,4.3,4.5,3.0,2.7,3.3,3.4,3.3,2.8
,Soda Ash Production and Consumption,2.8,2.8,2.8,2.7,2.7,3.0,3.0,3.1,3.0,2.9,2.9,2.9,2.8,2.8,2.9,3,2.9,2.9,3.0,2.6,2.7,2.7,2.8,2.8,2.8
,Ferroalloy Production,2.2,1.9,2.0,1.9,2.0,2.0,2.1,2.2,2.2,2.2,1.9,1.5,1.3,1.3,1.4,1.4,1.5,1.6,1.6,1.5,1.7,1.7,1.9,1.8,1.9
,Titanium Dioxide Production,1.2,1.2,1.4,1.4,1.5,1.5,1.5,1.7,1.7,1.7,1.8,1.7,1.8,1.8,2.1,1.8,1.8,1.9,1.8,1.6,1.8,1.7,1.5,1.7,1.8
,Glass Production,1.5,1.4,1.5,1.6,1.7,1.8,1.7,1.6,1.5,1.4,1.7,1.4,1.7,1.6,1.6,1.9,2.1,1.5,1.5,1.0,1.5,1.3,1.2,1.3,1.3
,Phosphoric Acid Production,1.5,1.4,1.5,1.3,1.5,1.5,1.6,1.5,1.6,1.5,1.4,1.3,1.3,1.4,1.4,1.3,1.2,1.2,1.1,1.0,1.1,1.2,1.1,1.1,1.1
,Zinc Production,0.6,0.8,0.8,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.7,0.7,1.1,1.0,1,1.0,1.0,1.2,0.9,1.2,1.3,1.5,1.4,1
,Lead Production,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5
,Silicon Carbide Production and Consumption,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2
