"Table 2-8:  Emissions and Removals (Net Flux) from Land Use, Land-Use Change, and Forestry (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Land-Use Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Net CO2 Fluxa,-753,-755.2,-757.7,-740.1,-762.6,-713.8,-721.2,-708.6,-696.7,-705,-708.2,-701.5,-695.1,-700.6,-711.2,-726.7,-744.9,-723.7,-712.4,-756.2,-784.3,-784.9,-782,-783.7,-787
,Forest Land Remaining Forest Landb,-723.5,-729.4,-726.1,-728,-718.5,-707.4,-693.9,-686.9,-686.9,-686.9,-657.8,-658.9,-658.3,-672.5,-673.3,-691.9,-698.7,-682.2,-667.4,-712.3,-742,-736.7,-735.8,-739.1,-742.3
,Land Converted to Forest Land,-0.7,-0.7,-0.7,-0.8,-0.9,-1,-0.9,-1,-1,-1.1,-1,-1,-0.9,-0.9,-0.8,-0.8,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.3,-0.3
,Cropland Remaining Cropland,-34.3,-36.2,-38.2,-17,-28.3,-22.3,-29.7,-27.9,-13.7,-26.8,-31.8,-30.6,-21.6,-11.5,-14.8,-14.1,-13.8,-14.7,-6.5,1.5,1.8,-12.5,-11.2,-9.3,-8.4
,Land Converted to Cropland,65.7,64,63.2,59.6,53.8,63.4,59.4,59.7,51.7,49.4,44.2,42.6,40.7,37.4,33.1,32.2,31.4,24.8,24.9,22.9,23.7,21.6,22,22.1,22.1
,Grassland Remaining Grassland,-12.9,-3.7,-5.1,-5,-20.9,-4.2,-12.8,-6.3,-10.3,-0.9,-16.6,-6.2,-5.7,-4.2,-5.2,-3.3,-12.5,3,-6.8,-8.9,-7.3,3.1,3.6,3.8,3.8
,Land Converted to Grassland,39.1,37.2,36.5,36.8,36.9,40.8,39.3,37.3,47.2,46.8,43,42,41.4,41.2,40.5,43.1,42.1,39.4,38.2,38.5,39.3,39.9,40.4,40.4,40.4
,Settlements Remaining Settlements,-60.4,-61.9,-63.3,-64.7,-66.2,-67.6,-69.1,-70.5,-72,-73.4,-74.9,-76,-77.2,-78.3,-79.4,-80.5,-81.6,-82.8,-83.9,-85,-86.1,-87.3,-88.4,-89.5,-90.6
,Other: Landfilled Yard Trimmings and Food Scraps,-26,-24.4,-23.9,-21,-18.6,-15.4,-13.4,-12.9,-11.7,-12.1,-13.3,-13.3,-13.5,-11.7,-11.2,-11.4,-11.3,-10.7,-10.7,-12.5,-13.2,-12.7,-12.2,-11.7,-11.6
,CO2,8.1,8.3,7.8,7.4,7.8,8.1,7.9,8,8.8,8.7,8.8,9,9.6,9.3,8.7,9,8.8,9.3,9.6,8.2,9.6,8.9,11,9,9.5
