Table 3-12:  CO2 Emissions from Fossil Fuel Combustion in Transportation End-Use Sector (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuel/Vehicle Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010a,2011,2012,2013,2014
,Gasolineb,983.5,969.7,992.8,"1,010.90","1,022.90","1,042.40","1,063.60","1,075.60","1,107.50","1,128.00","1,136.20","1,149.40","1,174.60","1,177.20","1,194.10","1,183.70","1,171.80","1,166.00","1,109.20","1,101.50","1,092.50","1,068.80","1,064.70","1,065.60","1,083.80"
,Passenger Cars,621.4,580.9,587.9,593.7,598.6,599.2,608.3,608.3,628.7,643.2,641.1,646.8,660.4,638.6,635.6,655.9,631.6,790.1,751.4,744.3,738.2,732.8,731.4,731.4,733.5
,Light-Duty Trucks,309.1,335.7,358.8,370.6,378.4,391.3,405.2,418.8,429.1,447.6,446.7,451.2,462.3,492,511.5,477.2,488.9,311.5,293.4,296.9,295,280.4,277.4,277.7,293.5
,Medium- and Heavy-Duty Trucksc,38.7,38.4,37.5,36.2,36.4,35.9,35.1,34.4,34.9,35.3,36,35.1,35.6,30.6,30.9,34.8,35.3,46,46.3,42.6,42.3,38.9,38.7,39.5,40
,Buses,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.9
,Motorcycles,1.7,1.7,1.7,1.8,1.8,1.8,1.7,1.8,1.8,1.9,1.8,1.7,1.7,1.6,1.7,1.6,1.9,4.2,4.3,4.1,3.6,3.6,4.1,3.9,3.8
,Recreational Boatsd,12.2,12.7,6.5,8.2,7.3,14,13,12,12.6,-0.3,10.1,14.2,14.2,14.1,14,13.9,13.7,13.5,13.1,12.8,12.6,12.4,12.3,12.3,12.2
,"Distillate Fuel Oil (Diesel) b,e",262.9,266.2,281.9,298.5,318.3,323.9,348.3,364.1,377.8,396.4,402.1,405.6,419.5,429.6,447.7,457.5,468.5,472.9,448.1,405.9,422,430,427.5,433.9,447.6
,Passenger Cars,7.9,7,7.3,8.3,8.5,7.8,6.7,6.1,5.6,4.4,3.6,3.7,3.7,4.2,4.3,4.2,4.1,4.1,3.7,3.6,3.7,4.1,4.1,4.1,4.1
