Table 3-14:  N2O Emissions from Mobile Combustion (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuel Type/Vehicle Typea,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Gasoline On-Roadb,37.5,39.5,42.3,44.3,45.9,47.1,48,48.9,49.2,46.1,44.5,40.8,37.8,34.7,32.5,29.9,27.7,23.7,21.6,20.4,19.2,18,15.7,13.8,12.1
,Passenger Cars,24.1,23.8,24.5,24.9,25.6,25.9,25.9,25.8,25.9,23.6,22.6,21.2,19.8,18.4,17.2,15.9,14.4,16.5,14.7,13.8,12.9,12.3,10.7,9.3,7.9
,Light-Duty Trucks,12.8,15.1,17.1,18.7,19.6,20.5,21.3,22.3,22.4,21.6,21.1,18.7,17.1,15.4,14.4,13.2,12.5,6.2,5.9,5.8,5.5,5,4.4,3.9,3.6
,Medium- and Heavy-Duty Trucks and Buses,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.7,0.9,0.9,0.8,0.8,0.7,0.6,0.6,0.5
,Motorcycles,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+
,Diesel On-Roadb,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
,Passenger Cars,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+
,Light-Duty Trucks,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+
,Medium- and Heavy-Duty   Trucks and Buses,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
,Alternative Fuel On-Roadc,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.1,0.1
,Non-Roadd,3.5,3.3,3.6,3.6,3.7,3.8,3.9,3.7,3.6,3.8,4.2,3.9,4,3.8,4,4.1,4.2,4.2,4,3.7,4,4,3.9,3.9,3.8
,Ships and Boats,0.6,0.5,0.7,0.7,0.7,0.8,0.7,0.5,0.4,0.5,0.8,0.5,0.6,0.5,0.5,0.6,0.6,0.7,0.6,0.5,0.8,0.8,0.7,0.7,0.5
,Raile,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3
,Aircraft ,1.7,1.6,1.6,1.6,1.7,1.6,1.7,1.7,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.8,1.7,1.7,1.6,1.4,1.4,1.4,1.3,1.4,1.4
,Agricultural Equipmentf,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4
,Construction/Mining Equipmentg,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6
,Otherh,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
,Total,41.2,43.1,46.1,48.1,49.9,51.2,52.2,52.9,53.1,50.2,49,45,42.1,38.9,36.8,34.4,32.2,28.4,26.1,24.6,23.6,22.4,20,18.2,16.3
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,
,a See Annex 3.2 for definitions of on-road vehicle types. ,,,,,,,,,,,,,,,,,,,,,,,,,
