Table 3-15:  Carbon Intensity from Direct Fossil Fuel Combustion by Sector (MMT CO2 Eq./QBtu),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Residentiala,57.4,57.2,57.0,56.8,56.7,56.6,56.6,56.6,56.5,56.6,56.7,56.9,56.5,56.6,56.9,56.6,56.5,56.3,56.0,55.8,55.8,55.7,55.5,55.3,55.4
,Commerciala,59.1,58.9,58.4,58.2,58.1,57.7,57.7,57.4,57.0,57.1,57.2,57.5,57.0,57.3,57.6,57.5,57.2,57.1,56.7,56.9,56.8,56.6,56.1,55.8,55.8
,Industriala,64.3,63.9,63.8,63.6,63.7,63.1,63.1,63.0,63.1,63.2,62.9,63.7,63.2,63.6,63.7,64.3,64.5,64.1,63.5,63.0,62.9,62.4,62,61.8,61.5
,Transportationa,71.1,71.2,71.4,71.2,71.0,71.0,71.2,71.1,71.3,71.2,71.3,71.3,71.3,71.3,71.4,71.4,71.6,71.9,71.6,71.5,71.5,71.5,71.5,71.4,71.4
,Electricity Generationb,87.3,87.3,87.4,87.2,86.6,86.5,87.5,87.2,86.4,86.3,86.2,85.7,85.7,86.5,86.2,85.8,85.4,84.7,84.9,83.7,83.5,82.9,79.9,81.3,81.3
,U.S. Territoriesc,73,73.0,73.3,73.5,73.3,73.1,73.1,73.2,73.3,73.2,72.5,72.5,72.5,73.1,73.4,73.4,73.5,73.5,73.4,73.1,73.1,73.1,72.4,72.1,71.6
,All Sectorsc,73,72.9,72.8,72.8,72.6,72.4,72.7,72.8,73.0,73.0,73.0,73.1,73.0,73.3,73.3,73.5,73.5,73.3,73.1,72.4,72.4,72,70.9,70.9,70.7
,a Does not include electricity or renewable energy consumption.,,,,,,,,,,,,,,,,,,,,,,,,,
,b Does not include electricity produced using nuclear or renewable energy.,,,,,,,,,,,,,,,,,,,,,,,,,
,c Does not include nuclear or renewable energy consumption.,,,,,,,,,,,,,,,,,,,,,,,,,
,Note:  Excludes non-energy fuel use emissions and consumption.  ,,,,,,,,,,,,,,,,,,,,,,,,,
