"Table 3-2:  CO2, CH4, and N2O Emissions from Energy (kt)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,CO2 ,"4,908,041","4,867,399","4,969,843","5,086,069","5,171,111","5,227,061","5,412,357","5,484,808","5,527,845","5,603,278","5,779,173","5,702,426","5,743,295","5,794,961","5,901,999","5,932,474","5,847,276","5,923,986","5,740,489","5,347,123","5,519,975","5,386,609","5,179,749","5,330,837","5,377,857"
,Fossil Fuel Combustion,"4,740,671","4,690,305","4,793,205","4,915,308","4,990,036","5,041,202","5,232,821","5,297,075","5,333,685","5,401,334","5,594,008","5,525,220","5,560,946","5,620,022","5,709,159","5,747,142","5,660,581","5,751,156","5,566,750","5,193,545","5,358,292","5,227,690","5,024,685","5,157,583","5,208,207"
,Non-Energy Use of Fuels,"118,114","127,635","125,904","116,390","125,506","128,279","123,791","132,337","149,731","156,331","140,268","132,552","136,533","129,935","147,788","138,876","140,072","125,213","125,292","106,236","114,063","108,515","105,624","121,682","114,311"
,Natural Gas Systems,"37,732","37,951","37,677","41,027","41,089","42,643","40,148","39,700","29,719","30,763","29,870","29,339","30,115","28,950","28,676","30,076","30,174","30,983","32,774","32,302","32,439","35,662","35,203","38,457","42,351"
,Incineration of Waste,"7,972","7,979","9,506","9,770","10,850","11,280","11,876","11,863","10,826","11,001","11,104","11,382","11,816","12,086","12,365","12,454","12,515","12,711","11,867","11,295","11,026","10,550","10,362","9,421","9,421"
,Petroleum Systems,"3,553","3,528","3,551","3,574","3,629","3,657","3,722","3,832","3,884","3,849","3,923","3,933","3,884","3,967","4,011","3,927","3,934","3,924","3,806","3,745","4,154","4,192","3,876","3,693","3,567"
,Biomass –Wooda,"215,186","215,268","225,041","219,290","225,012","229,091","235,726","228,481","210,392","213,337","218,088","193,491","192,830","193,833","205,086","206,901","202,855","202,317","199,932","188,220","192,462","195,182","194,903","211,581","217,654"
,International Bunker Fuelsa,"103,463","117,569","107,863","97,829","96,689","98,492","99,750","106,961","110,491","102,733","101,726","93,731","94,443","98,310","108,391","113,139","114,116","115,345","114,342","106,410","116,992","111,660","105,805","99,763","103,201"
,Biomass – Ethanola,"4,227","4,897","5,568","6,507","7,286","7,816","5,606","7,099","7,844","8,155","9,347","9,840","11,719","15,975","20,080","22,943","30,985","38,924","54,739","62,272","72,647","72,881","72,827","74,743","76,075"
,CH4 ,"14,532","14,491","14,344","13,721","13,869","13,634","13,647","13,511","13,347","13,039","12,899","12,954","12,486","12,437","12,416","12,281","12,440","12,327","12,893","12,778","12,741","12,533","12,498","12,848","13,132"
,Natural Gas Systems,"8,270","8,354","8,309","8,270","8,311","8,074","8,034","7,940","7,810","7,683","7,589","7,667","7,376","7,300","7,198","7,093","7,175","7,068","7,164","6,858","6,647","6,803","6,906","7,023","7,045"
,Petroleum Systems,"1,550","1,550","1,514","1,480","1,527","1,578","1,633","1,695","1,715","1,730","1,781","1,831","1,858","1,884","1,921","1,953","2,000","2,024","2,058","2,083","2,163","2,251","2,335","2,588","2,726"
,Coal Mining,"3,860","3,727","3,626","3,091","3,104","3,056","3,038","3,017","3,029","2,848","2,730","2,720","2,552","2,559","2,611","2,565","2,622","2,591","3,026","3,194","3,293","2,849","2,658","2,584","2,703"
,Stationary Combustion,339,346,358,336,328,327,340,307,280,286,300,279,279,288,294,296,275,289,298,296,283,283,265,320,324
,Abandoned Underground Coal Mines ,288,294,317,328,387,392,403,360,329,332,350,319,293,286,276,264,261,254,253,254,263,257,249,249,253
,Mobile Combustion,226,220,219,216,212,206,198,191,183,159,149,138,128,119,115,110,106,100,95,92,91,90,86,84,82
,Incineration of Waste,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,International Bunker Fuelsa,7,7,6,5,5,5,5,5,6,5,4,4,4,4,5,5,5,5,6,5,6,5,4,3,3
,N2O ,180,186,196,204,211,215,220,222,223,214,213,201,196,190,189,185,178,166,158,152,155,148,140,139,134
,Stationary Combustion,40,40,40,41,42,42,43,44,44,44,47,48,54,58,64,68,68,70,70,69,74,71,72,77,79
,Mobile Combustion,138,145,155,161,167,172,175,178,178,168,164,151,141,130,124,115,108,95,87,82,79,75,67,61,55
,Incineration of Waste,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,International Bunker Fuelsa,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,+ Does not exceed 0.5 kt,,,,,,,,,,,,,,,,,,,,,,,,,
,"a These values are presented for informational purposes only, in line with IPCC methodological guidance and UNFCCC reporting obligations, and are not included in the specific energy sector contribution to the totals, and are already accounted for elsewhere.",,,,,,,,,,,,,,,,,,,,,,,,,
,Note:  Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
