Table 3-20:  Adjusted Consumption of Fossil Fuels for Non-Energy Uses (TBtu),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Industry,4215.8,4296.3,4403.5,4338.9,4640.7,4666,4709.9,4903.7,5227.8,5467.5,5190.3,5007.2,5054.1,4855.1,5260.5,5110.9,5123.3,4962.7,4578.9,4282.9,4572.7,4470.2,4377.4,4621.4,4571.6
,Industrial Coking Coal,0,0,0,1,8.9,37.8,24.1,0,10.9,40.1,53.5,24.8,40.3,51.9,167.8,80.4,62.9,2.3,29.2,6.4,64.8,60.8,132.5,119.6,23
,Industrial Other Coal ,8.2,8.5,9.5,10,10.9,11.3,11.4,11.2,10.4,11.1,12.4,11.3,12,11.9,11.9,11.9,11.9,11.9,11.9,11.9,10.3,10.3,10.3,10.3,10.3
,Natural Gas to Chemical Plants,281.6,275.8,294.7,305.4,328.8,348,364.9,378.7,408.4,396.4,385,387.9,366.1,318.1,275.6,260.9,228.3,222.8,227.3,220.3,298.7,297.1,292.7,297,305.1
,Asphalt & Road Oil,1170.2,1076.5,1102.2,1149,1172.9,1178.2,1175.9,1223.6,1262.6,1324.4,1275.7,1256.9,1240,1219.5,1303.8,1323.2,1261.2,1197,1012,873.1,877.8,859.5,826.7,783.3,792.6
,LPG,1120.5,1279.9,1301.2,1247.5,1452.9,1503.7,1566.6,1573.9,1681.4,1756.9,1697.5,1628.7,1708.7,1588.5,1617.1,1610.1,1702.5,1659.4,1559.9,1663.9,1834,1865.7,1887.3,2062.9,2109.4
,Lubricants ,186.3,166.7,170,173.1,180.9,177.8,172.5,182.3,190.8,192.8,189.9,174,171.9,159,161,160.2,156.1,161.2,149.6,134.5,149.5,141.8,130.5,138.1,144
,Pentanes Plus,117.6,137.7,152,154.8,160.3,161,169.3,156,142.3,176.8,166.2,130.6,108.7,103.9,102.7,95.5,68.9,86.6,75,61,75.3,26.4,40.3,45.4,43.5
,Naphtha (<401 °F),326.3,279.4,354.8,325.9,376.3,355,456.4,507.9,564.6,485.9,593.7,489.9,565.1,575.4,690.4,679.6,618.2,542.3,467.1,451,474.5,469.4,432.2,498.8,435.2
,Other Oil (>401 °F),662.1,742.9,672,666.1,641,599.7,523.3,641.2,617.4,637.6,533.8,506.7,436.6,483,529,499.5,573.4,668.8,598.9,392.8,433.2,368.2,267.4,209.1,236.2
,Still Gas,36.7,40.6,28.5,45.6,35.4,47.9,2.2,12.1,6.2,23,17,49.3,61.7,59,62.9,67.7,57.2,44.2,47.3,133.9,147.8,163.6,160.6,166.7,164.6
,Petroleum Coke,27.2,10.9,75.4,21.2,42.2,33.5,27.5,0,56,120.5,7.2,96.4,65.6,40.4,135.1,105.2,134.2,117.8,138.9,108.4,+,+,+,+,+
,Special Naphtha,100.9,82.6,98.8,97.6,76.8,67.6,71.2,68.6,103.9,141,94.4,77.9,99.5,75.8,47.3,60.9,68.9,75.4,83.2,44.2,25.3,21.8,14.1,96.6,104.4
,Distillate Fuel Oil,7,7.1,7.1,7.1,6.8,6.8,6.8,6.8,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,17.5,17.5,17.5,17.5,5.8,5.8,5.8,5.8,5.8
,Waxes,33.3,35.1,37.3,40,40.6,40.6,48.7,43.7,42.4,37.4,33.1,36.3,32.2,31.1,30.8,31.4,26.2,21.9,19.1,12.2,17.1,15.1,15.3,16.5,14.8
,Miscellaneous Products,137.8,152.6,100.1,94.7,105.9,97.1,89,97.8,119,111.9,119.2,124.9,134.2,126,113.4,112.8,136,133.5,142,151.8,158.7,164.7,161.6,171.2,182.7
,Transportation,176,157.5,160.5,163.5,170.8,167.9,163,172.1,180.2,182.1,179.4,164.3,162.4,150.1,152.1,151.3,147.4,152.2,141.3,127.1,141.2,133.9,123.2,130.4,136
,Lubricants,176,157.5,160.5,163.5,170.8,167.9,163,172.1,180.2,182.1,179.4,164.3,162.4,150.1,152.1,151.3,147.4,152.2,141.3,127.1,141.2,133.9,123.2,130.4,136
,U.S. Territories,86.7,114.4,62.6,72.7,54.8,90.8,121.7,131.6,135,139.3,152.2,80.3,140.2,123.5,110.8,121.9,133.4,108.4,132.1,59.6,56.4,56.7,58.1,57.4,53.6
,Lubricants,0.7,0.6,1.5,1.7,1.9,2,1.5,2.5,1.3,1.4,3.1,+ ,3,4.9,5.1,4.6,6.2,5.9,2.7,1,1,1,1,1,1
,Other Petroleum (Misc. Prod.),86,113.8,61.2,71,53,88.8,120.2,129.1,133.8,138,149.1,80.3,137.2,118.6,105.7,117.3,127.2,102.5,129.4,58.5,55.4,55.7,57.1,56.4,52.6
,Total,4478.5,4568.1,4626.6,4575.1,4866.4,4924.8,4994.6,5207.4,5543,5789,5521.8,5251.9,5356.7,5128.7,5523.4,5384.1,5404.1,5223.4,4852.3,4469.5,4770.3,4660.9,4558.7,4809.2,4761.2
,+ Does not exceed 0.05 TBtu,,,,,,,,,,,,,,,,,,,,,,,,,
,NA - Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
