"Table 3-21:  2014 Adjusted Non-Energy Use Fossil Fuel Consumption, Storage, and Emissions",,,,,,,,
,,,,,,,,
,,Adjusted Non-Energy Usea,Carbon Content Coefficient,Potential Carbon,Storage Factor,Carbon Stored,Carbon Emissions,Carbon Emissions
,Sector/Fuel Type,(TBtu),(MMT C/QBtu),(MMT C),Unitless,(MMT C),(MMT C),(MMT CO2 Eq.)
,Industry,"4,571.60",NA,83.3,NA,55.6,27.7,101.6
,Industrial Coking Coal,23,31,0.7,0.04,0.1,0.6,2.4
,Industrial Other Coal,10.3,25.82,0.3,0.65,0.2,0.1,0.3
,Natural Gas to       Chemical Plants,305.1,14.46,4.4,0.65,2.9,1.5,5.6
,Asphalt & Road Oil,792.6,20.55,16.3,1,16.2,0.1,0.3
,LPG,"2,109.40",17.06,36,0.65,23.6,12.4,45.6
,Lubricants,144,20.2,2.9,0.09,0.3,2.6,9.7
,Pentanes Plus,43.5,19.1,0.8,0.65,0.5,0.3,1.1
,Naphtha (<401° F),435.2,18.55,8.1,0.65,5.3,2.8,10.2
,Other Oil (>401° F),236.2,20.17,4.8,0.65,3.1,1.6,6
,Still Gas,164.6,17.51,2.9,0.65,1.9,1,3.6
,Petroleum Coke,+,27.85,+,0.04,+,+,+
,Special Naphtha,104.4,19.74,2.1,0.65,1.3,0.7,2.6
,Distillate Fuel Oil,5.8,20.17,0.1,0.04,0.1,0.1,0.2
,Waxes,14.8,19.8,0.3,0.58,0.2,0.1,0.5
,Miscellaneous Products,182.7,20.31,3.7,0.04,0,3.7,13.6
,Transportation,136,NA,2.7,NA,0.3,2.5,9.1
,Lubricants,136,20.2,2.7,0.09,0.3,2.5,9.1
,U.S. Territories,53.6,NA,1.1,NA,0.1,1,3.5
,Lubricants,1,20.2,+,0.09,+,+,0.1
,Other Petroleum (Misc. Prod.),52.6,20,1.1,0.04,0.1,0.9,3.5
,Total,"4,761.20",NA,87.1,NA,55.9,31.2,114.3
,+ Does not exceed 0.05 TBtu,,,,,,,
,NA - Not Applicable,,,,,,,
,"a To avoid double counting, net exports have been deducted.",,,,,,,
,Note: Totals may not sum due to independent rounding.  ,,,,,,,
