Table 3-36:  CH4 Emissions from Petroleum Systems (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Production Field Operations (Potential),38,38.0,37.1,36.3,37.5,38.7,40.1,41.7,42.5,42.9,44.2,45.5,46.2,47.3,48.1,48.9,50.1,51.4,52.6,53.0,54.8,56.6,58.7,64.7,68.1
,   Pneumatic controller ventinga ,19,19.1,18.7,18.4,19.6,20.8,22.0,23.1,24.1,25.1,26.1,27.0,27.9,28.7,29.5,30.2,30.9,31.6,32.2,32.7,33.2,33.7,33.3,37.7,39.2
,   Tank venting,6.3,6.3,6.1,5.8,5.7,5.6,5.6,5.8,5.7,5.4,5.4,5.4,5.3,5.2,5.0,4.7,4.7,4.8,4.6,5.0,5.3,5.5,7,8.2,9.9
,   Combustion & process upsets,2.9,2.9,2.8,2.7,2.7,2.6,2.6,2.6,2.5,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.4,2.4,2.5,2.5,2.7,2.9,3.1
,   Misc. venting & fugitives ,8.4,8.3,8.2,8.0,8.2,8.3,8.5,8.9,8.8,8.8,9.1,9.5,9.6,9.9,10.1,10.5,11.0,11.5,12.1,11.5,12.5,13.5,14.3,14.3,14.5
,   Wellhead fugitives,1.5,1.5,1.4,1.4,1.4,1.3,1.3,1.4,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.4,1.3,1.4,1.4,1.5,1.5,1.5
,  Production Voluntary Reductions ,-0.004,-0.003,-0.002,-0.03,-0.04,-0.03,-0.04,-0.1,-0.4,-0.4,-0.4,-0.5,-0.6,-1.0,-0.9,-0.9,-0.9,-1.6,-1.9,-1.7,-1.5,-1.1,-1.1,-0.8,-0.8
,Production Field Operations (Net),38,38.0,37.1,36.2,37.4,38.7,40.0,41.6,42.1,42.5,43.7,45.0,45.7,46.3,47.2,48,49.2,49.8,50.7,51.3,53.3,55.4,57.5,63.9,67.4
,Crude Oil Transportation,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2
,Refining,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.7,0.7,0.6,0.6
,Total ,38.7,38.8,37.9,37.0,38.2,39.5,40.8,42.4,42.9,43.2,44.5,45.8,46.4,47.1,48.0,48.8,50.0,50.6,51.4,52.1,54.1,56.3,58.4,64.7,68.1
,"a Values presented in this table for pneumatic controllers are net emissions. The revised methodology for the 2016 (current) Inventory incorporates GHGRP subpart W activity and emissions data, and is detailed in the Recalculations Discussion section.",,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Totals may not sum due to independent rounding. Parentheses indicate emissions reductions.,,,,,,,,,,,,,,,,,,,,,,,,,
