Table 3-37:  CH4 Emissions from Petroleum Systems (kt),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Production Field Operations (Potential),"1,519","1,520","1,484","1,451","1,498","1,549","1,603","1,666","1,699","1,714","1,767","1,820","1,850","1,892","1,924","1,957","2,003","2,056","2,103","2,120","2,193","2,263","2,347","2,586","2,725"
,   Pneumatic controller ventinga ,761,763,746,735,784,832,878,923,965,"1,006","1,044","1,081","1,116","1,149","1,180","1,209","1,237","1,262","1,286","1,308","1,328","1,346","1,332","1,509","1,567"
,   Tank venting,250,251,243,232,226,226,226,231,228,215,214,216,210,207,201,188,187,193,185,202,210,220,278,330,396
,   Combustion & process upsets,115,116,112,109,106,105,104,104,100,94,95,95,93,93,92,91,92,92,95,95,98,101,108,114,122
,   Misc. venting & fugitives ,334,332,327,319,327,332,342,355,354,351,365,380,383,395,404,421,439,459,482,461,502,540,570,573,578
,   Wellhead fugitives,59,58,56,56,55,54,54,54,52,48,48,48,48,48,48,48,47,50,55,53,54,56,59,60,62
,  Production Voluntary Reductions ,-0.2,-0.1,-0.1,-1,-2,-1,-2,-3,-16,-16,-17,-21,-24,-41,-36,-36,-35,-64,-77,-67,-60,-45,-45,-31,-31
,Production Field Operations (Net),"1,519","1,520","1,484","1,450","1,496","1,548","1,602","1,664","1,683","1,698","1,749","1,799","1,826","1,851","1,889","1,921","1,968","1,992","2,026","2,053","2,133","2,218","2,302","2,556","2,694"
,Crude Oil Transportation,7,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,6,7,8
,Refining,24,24,24,24,25,25,25,26,26,26,27,27,27,27,28,27,27,27,26,25,26,28,27,26,23
,Total ,"1,550","1,550","1,514","1,480","1,527","1,578","1,633","1,695","1,715","1,730","1,781","1,831","1,858","1,884","1,921","1,953","2,000","2,024","2,058","2,083","2,163","2,251","2,335","2,588","2,726"
,"a Values presented in this table for pneumatic controllers are net emissions. The revised methodology for the 2016 (current) Inventory incorporates GHGRP subpart W activity and emissions data, and is detailed in the Recalculations Discussion section.",,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Totals may not sum due to independent rounding. Parentheses indicate emissions reductions.,,,,,,,,,,,,,,,,,,,,,,,,,
