Table 3-38:  CO2 Emissions from Petroleum Systems (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Production Field Operations,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.5,0.6,0.6
,   Pneumatic controller venting ,+,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,   Tank venting,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.4,0.4,0.5
,   Misc. venting & fugitives ,+,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+,+ ,+ ,+ ,+ ,+,+,+,+,+
,   Wellhead fugitives,+,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+,+ ,+ ,+ ,+ ,+,+,+,+,+
,   Process upsets,+,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+,+ ,+ ,+ ,+ ,+,+,+,+,+
,Crude Refining,3.2,3.1,3.2,3.2,3.3,3.3,3.4,3.5,3.5,3.5,3.6,3.6,3.5,3.6,3.7,3.6,3.6,3.6,3.5,3.4,3.8,3.8,3.4,3.1,2.9
,Total ,3.6,3.5,3.6,3.6,3.6,3.7,3.7,3.8,3.9,3.8,3.9,3.9,3.9,4.0,4.0,3.9,3.9,3.9,3.8,3.7,4.2,4.2,3.9,3.7,3.6
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.  ,,,,,,,,,,,,,,,,,,,,,,,,,
