"Table 3-7:  CO2, CH4, and N2O Emissions from Fossil Fuel Combustion by Sector (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,End-Use Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Electricity Generation,1828.5,1825.9,1839.3,1915,1939.5,1956.2,2029.5,2097.1,2186.5,2199.8,2306.9,2268.5,2285.1,2317.8,2351.1,2417.4,2362,2429.1,2377.4,2162.9,2277.4,2175.8,2040.5,2057.7,2059.4
,CO2,1820.8,1818.2,1831.5,1906.9,1931.2,1947.9,2021,2088.4,2177.4,2190.5,2296.9,2257.9,2272.7,2304.2,2335.9,2400.9,2345.3,2411.9,2360.1,2145.7,2258.4,2157.7,2022.2,2038.1,2039.3
,CH4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.4,0.4,0.4,0.4
,N2O,7.4,7.4,7.4,7.7,7.9,8,8.2,8.3,8.7,8.9,9.6,10.2,12,13.2,14.8,16,16.2,16.7,16.9,16.8,18.5,17.6,17.8,19.1,19.6
,Transportation,1540.6,1496.2,1548.4,1585.9,1632.2,1666.2,1711.4,1727.8,1764.3,1815.2,1858.2,1837.9,1875.9,1864.1,1906.8,1924.1,1917.5,1917,1820.2,1743.8,1754.2,1732.3,1718.9,1733.3,1756
,CO2,1493.8,1447.6,1496.9,1532.4,1577,1609.9,1654.3,1670.1,1706.6,1761.1,1805.5,1789.4,1830.6,1822.3,1867.1,1887,1882.6,1886.1,1791.8,1717,1728.3,1707.6,1696.8,1713,1737.6
,CH4,5.6,5.5,5.5,5.4,5.3,5.2,5,4.8,4.6,4,3.7,3.5,3.2,3,2.9,2.7,2.7,2.5,2.4,2.3,2.3,2.2,2.2,2.1,2
,N2O,41.2,43.1,46.1,48.1,49.9,51.2,52.1,52.9,53.1,50.2,49,45,42.1,38.9,36.8,34.4,32.2,28.4,26,24.5,23.6,22.4,20,18.2,16.3
,Industrial,847.4,827.2,862.4,860.6,869.9,875.7,912.7,912.2,874.1,851,859.1,847.6,834.4,834,857,832.7,857.3,852.5,807.1,731.5,779.3,777.3,786.9,816.2,817.2
,CO2,842.5,822.5,857.4,855.7,864.8,870.5,907.4,906.8,869.1,845.9,854.1,843,829.8,829.6,852.3,828,852.6,847.9,802.8,727.7,775.5,773.3,782.9,812.2,813.3
,CH4,1.8,1.8,1.8,1.8,1.9,2,2,2,1.9,1.9,1.9,1.7,1.7,1.7,1.8,1.7,1.8,1.7,1.6,1.4,1.4,1.5,1.5,1.5,1.5
,N2O,3.1,3,3.1,3.1,3.2,3.3,3.3,3.4,3.1,3.1,3.1,2.9,2.8,2.8,2.9,2.9,3,2.9,2.7,2.4,2.4,2.5,2.5,2.4,2.4
,Residential,344.6,353.7,360.3,371.9,362.5,358.5,389,369.7,335.7,355.2,375.7,366.7,364.5,383.7,372.3,362.8,325.7,346.1,352.8,341.6,339.4,331.7,287,335.6,351.1
,CO2,338.3,347.2,353.5,365.8,356.8,352.8,383.1,364.7,331.2,350.6,370.8,362.2,360,378.9,367.4,357.8,321.3,341.3,347.6,336.3,334.6,326.8,282.5,329.7,345.1
,CH4,5.2,5.4,5.7,5,4.8,4.7,5,4.1,3.6,3.8,4,3.7,3.7,3.9,4,4.1,3.6,3.9,4.2,4.4,4,4,3.7,5,5
,N2O,1,1.1,1.1,1,1,1,1,0.9,0.8,0.8,0.9,0.8,0.8,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.8,0.8,0.7,1,1
,Commercial,218.8,224.7,222.1,221.5,223.8,227,236,235.1,217.2,220.1,232.3,226.4,226.4,236.7,235.7,224.9,209.9,220.2,225,224.9,221.5,222.1,197.9,222.4,233.3
,CO2,217.4,223.3,220.6,220.1,222.4,225.6,234.5,233.6,215.9,218.8,230.9,225,225,235.2,234.2,223.5,208.6,218.8,223.6,223.5,220.1,220.7,196.7,221,231.9
,CH4,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1,1,1.1,1,1.1,1.1,1.1,1.1,1,1.1,1.1,1.1,1.1,1,0.9,1,1.1
,N2O,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
,U.S. Territoriesa,28,31.7,33.4,34.6,38,34.7,32.7,33.5,33.6,34.6,36,48,43,50.1,52.3,50.1,50.4,45.3,41,43.7,41.6,41.7,43.7,43.7,41.2
,Total,4807.9,4759.4,4865.8,4989.5,5065.9,5118.3,5311.4,5375.4,5411.4,5475.9,5668.3,5595,5629.4,5686.4,5775.2,5812,5722.7,5810.2,5623.5,5248.4,5413.4,5280.8,5074.9,5208.8,5258.1
,"a U.S. Territories are not apportioned by sector, and emissions are total greenhouse gas emissions from all fuel combustion sources.",,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Totals may not sum due to independent rounding.  Emissions from fossil fuel combustion by electricity generation are allocated based on aggregate national electricity consumption by each end-use sector.,,,,,,,,,,,,,,,,,,,,,,,,,
