"Table 3-8:  CO2, CH4, and N2O Emissions from Fossil Fuel Combustion by End-Use Sector (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,End-Use Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Transportation,1543.7,1499.2,1551.4,1588.9,1635.3,1669.3,1714.5,1730.9,1767.5,1818.4,1861.6,1841.6,1879.4,1868.4,1911.4,1928.9,1922,1922.1,1824.9,1748.3,1758.7,1736.6,1722.8,1737.4,1760.1
,CO2,1496.8,1450.6,1499.8,1535.4,1580.1,1612.9,1657.4,1673.2,1709.8,1764.3,1808.9,1793.1,1834.1,1826.5,1871.7,1891.8,1887.2,1891.2,1796.5,1721.4,1732.7,1711.9,1700.6,1717,1741.7
,CH4,5.6,5.5,5.5,5.4,5.3,5.2,5,4.8,4.6,4,3.7,3.5,3.2,3,2.9,2.7,2.7,2.5,2.4,2.3,2.3,2.2,2.2,2.1,2
,N2O,41.2,43.1,46.1,48.1,49.9,51.2,52.2,52.9,53.1,50.2,49,45,42.1,38.9,36.8,34.4,32.2,28.4,26.1,24.6,23.7,22.5,20.1,18.2,16.4
,Industrial,1537,1504.6,1564.9,1573.1,1596.6,1595,1652.6,1670.8,1647.8,1627.6,1652.3,1586.9,1562,1581.3,1607.6,1574.3,1574.1,1572.8,1509.2,1338.1,1425.7,1407.2,1385,1416.6,1416.6
,CO2,1529.2,1497,1557,1565.1,1588.4,1586.7,1644.2,1662.3,1639.6,1619.2,1643.8,1578.8,1553.5,1572.5,1598.1,1564.6,1564.2,1563.1,1499.8,1329.5,1416.5,1398,1375.7,1407,1406.8
,CH4,2,1.9,2,2,2,2.1,2.1,2.2,2,2,2,1.9,1.8,1.8,1.9,1.9,1.9,1.8,1.7,1.6,1.6,1.6,1.6,1.6,1.6
,N2O,5.9,5.7,5.9,5.9,6.2,6.2,6.3,6.4,6.2,6.3,6.4,6.2,6.7,7,7.6,7.8,7.9,7.8,7.7,7.1,7.6,7.6,7.7,8,8.2
,Residential,940.2,958.2,954.4,1006.7,997.4,1003.1,1064.3,1053,1057.1,1078.2,1141.5,1133,1160.6,1191.3,1189.7,1224.9,1162,1215.4,1201.8,1134.3,1186.5,1129,1018.8,1077.6,1093.6
,CO2,931.4,949.1,945.2,998,989,994.7,1055.4,1045.2,1049.7,1070.5,1133.2,1124.9,1151.7,1181.7,1179.6,1214.1,1151.8,1204.5,1190.4,1122.7,1174.6,1117.5,1007.8,1064.6,1080.3
,CH4,5.4,5.5,5.8,5.2,4.9,4.9,5.1,4.2,3.8,3.9,4.2,3.8,3.9,4.1,4.1,4.2,3.8,4.1,4.4,4.6,4.2,4.2,3.9,5.1,5.2
,N2O,3.4,3.5,3.5,3.6,3.6,3.6,3.7,3.6,3.7,3.7,4.1,4.3,5,5.5,6,6.6,6.5,6.8,6.9,7.1,7.7,7.3,7.1,7.9,8.1
,Commercial,759.1,765.8,761.7,786.1,798.6,816.3,847.3,887.1,905.4,917.1,976.8,985.6,984.3,995.4,1014.2,1033.7,1014.2,1054.6,1046.7,984,1000.9,966.3,904.5,933.6,946.7
,CO2,755.4,762.1,758,782.3,794.8,812.4,843.2,883,901.2,912.8,972.2,980.7,978.8,989.4,1007.7,1026.8,1007.2,1047.3,1039.3,976.5,993,958.8,897,925.5,938.4
,CH4,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.2,1.2,1.2,1.2,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.2,1.2
,N2O,2.5,2.5,2.5,2.6,2.7,2.7,2.8,2.9,3,3.1,3.4,3.7,4.3,4.7,5.2,5.7,5.8,6.1,6.1,6.2,6.6,6.3,6.4,6.9,7.1
,U.S. Territoriesa,28,31.7,33.4,34.6,38,34.7,32.7,33.5,33.6,34.6,36,48,43,50.1,52.3,50.1,50.4,45.3,41,43.7,41.6,41.7,43.7,43.7,41.2
,Total,4807.9,4759.4,4865.8,4989.5,5065.9,5118.3,5311.4,5375.4,5411.4,5475.9,5668.3,5595,5629.4,5686.4,5775.2,5812,5722.7,5810.2,5623.5,5248.4,5413.4,5280.8,5074.9,5208.8,5258.1
,"a U.S. Territories are not apportioned by sector, and emissions are total greenhouse gas emissions from all fuel combustion sources.",,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:  Totals may not sum due to independent rounding.  Emissions from fossil fuel combustion by electricity generation are allocated based on aggregate national electricity consumption by each end-use sector.  ,,,,,,,,,,,,,,,,,,,,,,,,,
