Table 3-9:  CO2 Emissions from Stationary Fossil Fuel Combustion (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sector/Fuel Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Electricity Generation,1820.8,1818.2,1831.5,1906.9,1931.2,1947.9,2021,2088.4,2177.4,2190.5,2296.9,2257.9,2272.7,2304.2,2335.9,2400.9,2345.3,2411.9,2360.1,2145.7,2258.4,2157.7,2022.2,2038.1,2039.3
,Coal,1547.6,1548.2,1569.6,1632.5,1638.8,1660.7,1752.4,1797,1828.2,1836.4,1927.4,1869.8,1889.9,1931,1943.1,1983.8,1953.7,1987.3,1959.4,1740.9,1827.6,1722.7,1511.2,1571.3,1570.4
,Natural Gas,175.3,178.9,186,187.5,210.8,228.1,204.8,218.8,247.6,259.9,280.8,289.3,305.7,277.8,296.7,318.8,338,371.3,361.9,372.2,399,408.8,492.2,444,443.2
,Fuel Oil,97.5,90.7,75.5,86.4,81.2,58.7,63.4,72.2,101.3,93.8,88.4,98.4,76.8,95,95.8,97.9,53.2,52.9,38.4,32.2,31.4,25.8,18.3,22.4,25.3
,Geothermal,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
,Industrial,842.5,822.5,857.4,855.7,864.8,870.5,907.4,906.8,869.1,845.9,854.1,843,829.8,829.6,852.3,828,852.6,847.9,802.8,727.7,775.5,773.3,782.9,812.2,813.3
,Coal,155.3,152.1,147.4,149.8,150.7,144.4,137.4,137.6,139.1,129.9,127.3,127.8,116.6,117,118.3,115.3,112.6,107,102.4,83,90.1,82,74.1,75.7,75.3
,Natural Gas,408.9,414.7,430.5,438.6,439.4,462.5,478.3,479,467.4,446.6,459.1,421.3,428.6,415.4,419.6,388.5,388.2,398.6,401.3,377.6,407.2,417.3,434.8,451.9,466
,Fuel Oil,278.3,255.7,279.5,267.4,274.7,263.6,291.7,290.2,262.6,269.4,267.7,293.8,284.6,297.2,314.4,324.2,351.7,342.2,299.2,267,278.2,274,274.1,284.6,271.9
,Commercial,217.4,223.3,220.6,220.1,222.4,225.6,234.5,233.6,215.9,218.8,230.9,225,225,235.2,234.2,223.5,208.6,218.8,223.6,223.5,220.1,220.7,196.7,221,231.9
,Coal,12,11.1,11.3,11.3,11.3,11.2,11.6,12.3,8.9,9.8,8.8,9.2,8.6,7.8,9.8,9.3,6.2,6.7,7.6,6.9,6.6,5.8,4.1,3.9,4.5
,Natural Gas,142.1,148.1,152.1,155,157,164.2,171.1,174.2,163.3,165.1,172.5,164.2,170.3,172.7,169.7,162.9,153.8,163.5,171.1,168.9,167.7,170.5,156.9,179.1,189.2
,Fuel Oil,63.3,64,57.3,53.8,54.1,50.2,51.8,47.1,43.7,43.8,49.7,51.6,46.2,54.7,54.7,51.3,48.5,48.6,44.9,47.6,45.8,44.5,35.7,38,38.2
,Residential,338.3,347.2,353.5,365.8,356.8,352.8,383.1,364.7,331.2,350.6,370.8,362.2,360,378.9,367.4,357.8,321.3,341.3,347.6,336.3,334.6,326.8,282.5,329.7,345.1
,Coal,3,2.4,2.5,2.5,2,1.7,1.6,1.5,1.1,1.3,1.1,1.1,1.2,1.2,1.1,0.8,0.6,0.7,NO ,NO ,NO ,NO ,NO ,NO ,NO 
,Natural Gas ,238,247.3,254.5,268.4,262.9,262.7,283.9,270.1,246,256.3,270.7,259.1,264.7,275.9,264.1,262.2,237.3,256.3,265.5,258.8,258.6,254.7,224.8,266.2,277.6
,Fuel Oil,97.4,97.5,96.5,94.9,91.9,88.5,97.6,93.1,84.1,92.9,99,101.9,94.1,101.9,102.2,94.9,83.4,84.3,82.1,77.5,76,72.2,57.7,63.4,67.5
,U.S. Territories,27.9,31.6,33.3,34.4,37.8,34.5,32.6,33.4,33.4,34.5,35.9,47.8,42.8,49.9,52.1,49.9,50.2,45.1,40.8,43.5,41.4,41.5,43.6,43.5,41
,Coal,0.6,0.7,0.8,0.9,0.9,0.9,1,1,1,0.9,0.9,0.4,1,3.1,2.9,3,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
,Natural Gas ,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.7,1.2,1.2,1.4,1.3,1.3,1.4,1.4,1.6,1.5,1.5,1.4,2.6,3,3
,Fuel Oil,27.2,30.9,32.5,33.6,36.9,33.6,31.6,32.4,32.5,33.5,34.2,46.2,40.6,45.3,47.9,45.6,45.4,40.3,35.8,38.6,36.5,36.7,37.6,37.1,34.6
,Total,3246.9,3242.7,3296.4,3382.9,3413.1,3431.3,3578.5,3626.9,3627,3640.3,3788.5,3735.8,3730.3,3797.8,3842,3860.1,3777.9,3865,3775,3476.6,3630,3520.1,3327.9,3444.6,3470.6
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,
,NO - Not occurring,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
