Table 4-100:  SF6 Emissions from Electric Power Systems and Electrical Equipment Manufacturers (MMT CO2 Eq.),,,,
,,,,
,Year,Electric Power Systems,Electrical Equipment Manufacturers,Total
,1990,25.1,0.3,25.4
,1991,24.0,0.3,24.3
,1992,23.8,0.4,24.2
,1993,23.1,0.4,23.5
,1994,21.7,0.4,22.1
,1995,19.9,0.5,20.4
,1996,18.2,0.4,18.7
,1997,16.8,0.3,17.1
,1998,14.2,0.3,14.5
,1999,14.3,0.6,14.9
,2000,13.3,0.7,14.0
,2001,13.1,0.6,13.7
,2002,11.9,0.8,12.7
,2003,11.2,0.7,11.9
,2004,10.5,0.7,11.2
,2005,9.8,0.8,10.6
,2006,8.5,0.8,9.3
,2007,7.6,0.7,8.2
,2008,6.9,1.2,8.1
,2009,6.7,0.6,7.3
,2010,6.2,0.9,7
,2011,5.7,1.1,6.8
,2012,4.5,1.1,5.6
,2013,4.2,1.2,5.4
,2014,4.6,1,5.6
,Note: Totals may not sum due to independent rounding.,,,
