Table 4-14:  CO2 Emissions from Other Process Uses of Carbonates (MMT CO2 Eq.),,,,,,
,,,,,,
,Year,Flux Stone,FGD,Magnesium Production,Other Miscellaneous Usesa,Total
,1990,2.6,1.4,0.1,0.8,4.9
,1991,2.2,1.3,0.1,0.7,4.3
,1992,1.9,1.4,0.1,1.0,4.3
,1993,1.2,1.5,0.1,1.2,3.9
,1994,1.7,1.7,0.1,0.9,4.3
,1995,3.2,1.7,0.1,1.2,6.2
,1996,3.6,2.0,0.1,1.1,6.8
,1997,4.5,1.4,0.1,0.4,6.4
,1998,4.5,1.2,0.1,0.9,6.7
,1999,5.6,1.2,0.1,0.7,7.6
,2000,2.1,1.8,0.1,0.7,4.7
,2001,1.6,2.5,0.1,0.5,4.7
,2002,1.7,2.8,0.0,0.7,5.1
,2003,1.4,1.9,0.0,0.4,3.7
,2004,3.4,1.9,0.0,0.4,5.6
,2005,2.6,3.0,0.0,0.7,6.3
,2006,4.5,2.1,0.0,0.7,7.3
,2007,2.0,3.2,0.0,2.2,7.4
,2008,1.0,3.8,0.0,1.1,5.9
,2009,1.8,5.4,0.0,0.4,7.6
,2010,1.6,7.1,0,0.9,9.6
,2011,1.5,5.4,0,2.4,9.3
,2012,1.1,5.8,0,1.1,8
,2013,2.3,6.3,0,1.8,10.4
,2014,2.9,7.2,0,1.9,12.1
,"a “Other miscellaneous uses” include chemical stone, mine dusting or acid water treatment, acid neutralization, and sugar refining. ",,,,,
,Note: Totals may not sum due to independent rounding.  ,,,,,
