Table 4-2:  Emissions from Industrial Processes and Product Use (kt),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,CO2," 207,054 "," 197,481 "," 200,431 "," 198,689 "," 206,382 "," 214,538 "," 217,757 "," 220,189 "," 216,827 "," 215,694 "," 213,265 "," 192,037 "," 192,444 "," 187,328 "," 194,980 "," 190,273 "," 195,118 "," 197,667 "," 182,712 "," 141,197 "," 168,781 "," 172,898 "," 169,472 "," 171,714 "," 178,150 "
,Iron and Steel Production & Metallurgical Coke Production," 99,669 "," 90,497 "," 91,130 "," 87,119 "," 89,943 "," 93,470 "," 91,649 "," 93,016 "," 86,755 "," 84,654 "," 86,222 "," 75,935 "," 72,260 "," 69,062 "," 68,536 "," 66,543 "," 69,293 "," 71,151 "," 66,726 "," 42,968 "," 55,671 "," 59,928 "," 54,229 "," 52,201 "," 55,355 "
,Iron and Steel Production," 97,166 "," 88,126 "," 89,708 "," 86,666 "," 87,311 "," 90,884 "," 89,824 "," 91,647 "," 84,229 "," 82,162 "," 83,992 "," 75,039 "," 69,988 "," 66,617 "," 66,623 "," 64,499 "," 67,371 "," 69,095 "," 64,390 "," 42,011 "," 53,586 "," 58,501 "," 53,686 "," 50,378 "," 53,417 "
,Metallurgical Coke Production," 2,503 "," 2,370 "," 1,422 ", 452 ," 2,632 "," 2,586 "," 1,825 "," 1,369 "," 2,526 "," 2,492 "," 2,230 ", 896 ," 2,272 "," 2,445 "," 1,912 "," 2,044 "," 1,922 "," 2,056 "," 2,336 ", 957 ," 2,085 "," 1,426 ", 543 ," 1,824 "," 1,938 "
,Cement Production," 33,278 "," 32,535 "," 32,790 "," 34,624 "," 36,087 "," 36,847 "," 39,148 "," 38,323 "," 39,218 "," 39,991 "," 41,190 "," 41,357 "," 42,898 "," 43,082 "," 45,603 "," 45,910 "," 46,562 "," 45,229 "," 41,161 "," 29,432 "," 31,256 "," 32,010 "," 35,051 "," 36,146 "," 38,755 "
,Petrochemical Production," 21,609 "," 23,051 "," 23,658 "," 24,604 "," 26,571 "," 27,946 "," 29,093 "," 30,490 "," 30,848 "," 32,297 "," 31,567 "," 27,628 "," 28,673 "," 28,448 "," 30,667 "," 27,380 "," 27,623 "," 28,069 "," 24,741 "," 23,796 "," 27,246 "," 26,326 "," 26,464 "," 26,437 "," 26,509 "
,Lime Production," 11,700 "," 11,539 "," 11,927 "," 12,279 "," 12,736 "," 13,538 "," 14,242 "," 14,498 "," 14,792 "," 14,425 "," 14,282 "," 13,722 "," 13,169 "," 13,907 "," 14,613 "," 14,552 "," 15,243 "," 14,721 "," 14,505 "," 11,411 "," 13,381 "," 13,981 "," 13,715 "," 14,045 "," 14,125 "
,Other Process Uses of Carbonates," 4,907 "," 4,313 "," 4,301 "," 3,909 "," 4,346 "," 6,155 "," 6,781 "," 6,373 "," 6,701 "," 7,576 "," 4,670 "," 4,660 "," 5,137 "," 3,739 "," 5,598 "," 6,339 "," 7,284 "," 7,365 "," 5,885 "," 7,583 "," 9,560 "," 9,335 "," 8,022 "," 10,414 "," 12,077 "
,Ammonia Production," 13,047 "," 13,279 "," 13,683 "," 13,205 "," 14,151 "," 13,541 "," 13,836 "," 14,028 "," 14,143 "," 12,948 "," 12,172 "," 9,233 "," 10,499 "," 8,817 "," 9,568 "," 9,196 "," 8,781 "," 9,074 "," 8,414 "," 8,454 "," 9,188 "," 9,292 "," 9,377 "," 9,962 "," 9,436 "
,Carbon Dioxide Consumption," 1,472 "," 1,469 "," 1,463 "," 1,470 "," 1,476 "," 1,477 "," 1,486 "," 1,484 "," 1,481 "," 1,479 "," 1,478 ", 894 ," 1,047 "," 1,365 "," 1,259 "," 1,375 "," 1,758 "," 1,922 "," 1,834 "," 1,795 "," 4,425 "," 4,083 "," 4,019 "," 4,188 "," 4,471 "
