Table 4-39:  CO2 Emissions from Soda Ash Production and Consumption Not Associated with Glass Manufacturing (MMT CO2 Eq.),,,,
,,,,
,Year,Production,Consumption,Total
,1990,1.4,1.4,2.8
,1991,1.4,1.4,2.8
,1992,1.5,1.3,2.8
,1993,1.4,1.3,2.7
,1994,1.4,1.3,2.7
,1995,1.6,1.4,3.0
,1996,1.6,1.4,3.0
,1997,1.7,1.4,3.1
,1998,1.6,1.4,3.0
,1999,1.5,1.3,2.9
,2000,1.5,1.3,2.9
,2001,1.5,1.4,2.9
,2002,1.5,1.4,2.8
,2003,1.5,1.3,2.8
,2004,1.6,1.3,2.9
,2005,1.7,1.3,3.0
,2006,1.6,1.3,2.9
,2007,1.7,1.3,2.9
,2008,1.7,1.2,3.0
,2009,1.5,1.1,2.6
,2010,1.5,1.1,2.7
,2011,1.6,1.1,2.7
,2012,1.7,1.1,2.8
,2013,1.7,1.1,2.8
,2014,1.7,1.1,2.8
,Note: Totals may not sum due to independent rounding.,,,
