Table 4-40:  CO2 Emissions from Soda Ash Production and Consumption Not Associated with Glass Manufacturing (kt),,,,
,,,,
,Year,Production,Consumption,Total
,1990,"1,431","1,390","2,822"
,1991," 1,431 "," 1,362 "," 2,793 "
,1992," 1,451 "," 1,318 "," 2,769 "
,1993," 1,412 "," 1,324 "," 2,736 "
,1994," 1,422 "," 1,290 "," 2,712 "
,1995," 1,607 "," 1,396 "," 3,003 "
,1996," 1,587 "," 1,392 "," 2,979 "
,1997," 1,665 "," 1,392 "," 3,057 "
,1998," 1,607 "," 1,384 "," 2,990 "
,1999," 1,548 "," 1,310 "," 2,859 "
,2000," 1,529 "," 1,337 "," 2,866 "
,2001," 1,500 "," 1,373 "," 2,872 "
,2002," 1,470 "," 1,352 "," 2,822 "
,2003," 1,509 "," 1,315 "," 2,824 "
,2004," 1,607 "," 1,302 "," 2,908 "
,2005," 1,655 "," 1,305 "," 2,960 "
,2006," 1,626 "," 1,276 "," 2,902 "
,2007," 1,675 "," 1,262 "," 2,937 "
,2008," 1,733 "," 1,227 "," 2,960 "
,2009," 1,470 "," 1,098 "," 2,569 "
,2010,"1,548","1,148","2,697"
,2011,"1,607","1,105","2,712"
,2012,"1,665","1,097","2,763"
,2013,"1,694","1,109","2,804"
,2014,"1,685","1,143","2,827"
,Note: Totals may not sum due to independent rounding.,,,
