Table 4-88:  Zinc Production (Metric Tons),,,
,,,
,Year,Primary,Secondary
,1990," 262,704 "," 95,708 "
,1991," 253,282 "," 122,457 "
,1992," 271,867 "," 127,623 "
,1993," 240,000 "," 141,000 "
,1994," 216,600 "," 139,000 "
,1995," 231,840 "," 131,000 "
,1996," 225,400 "," 140,000 "
,1997," 226,700 "," 147,000 "
,1998," 233,900 "," 134,000 "
,1999," 241,100 "," 131,000 "
,2000," 227,800 "," 143,000 "
,2001," 203,000 "," 108,000 "
,2002," 181,800 "," 113,000 "
,2003," 186,900 "," 166,000 "
,2004," 188,200 "," 156,000 "
,2005," 191,120 "," 156,000 "
,2006," 113,000 "," 156,000 "
,2007," 121,000 "," 157,000 "
,2008," 125,000 "," 161,000 "
,2009," 94,000 "," 109,000 "
,2010," 120,000 "," 129,000 "
,2011," 110,000 "," 138,000 "
,2012," 114,000 "," 147,000 "
,2013," 106,000 "," 127,000 "
,2014," 115,000 "," 70,000 "
