Table 4-89:  CO2 Emissions from Zinc Production (MMT CO2 Eq. and kt),,,
,,,
,Year,MMT CO2 Eq.,kt
,1990,0.6, 632 
,1991,0.8, 809 
,1992,0.8, 843 
,1993,0.9, 931 
,1994,0.9, 918 
,1995,0.9, 865 
,1996,0.9, 925 
,1997,1, 971 
,1998,0.9, 885 
,1999,0.9, 865 
,2000,0.9, 944 
,2001,0.7, 713 
,2002,0.7, 746 
,2003,1.1," 1,096 "
,2004,1," 1,030 "
,2005,1," 1,030 "
,2006,1," 1,030 "
,2007,1," 1,025 "
,2008,1.2," 1,159 "
,2009,0.9, 943 
,2010,1.2," 1,182 "
,2011,1.3," 1,286 "
,2012,1.5," 1,486 "
,2013,1.4," 1,429 "
,2014,1, 956 
