Table 4-94:  Emissions of HFCs and PFCs from ODS Substitutes (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,HFC-23,0,0,0,0,0,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,HFC-32,0,0,0,0,0,0,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.2,0.2,0.3,0.7,1,1.4,1.8,2.6,3.4,4.4,5.4,6.4
,HFC-125,+ ,+ ,+ ,0.1,0.3,0.7,1.1,1.7,2.3,3,3.6,4.4,5.3,6.4,7.5,9.5,12.6,16.4,20.5,25,31.4,37.2,43.6,49.9,55.9
,HFC-134a,+ ,+ ,1.2,5.1,12.3,27.7,37.2,46.8,52.1,58.5,64.5,69.3,71.6,72.4,73.3,73.3,74.6,75.8,77.4,78.8,77.5,72.5,67.8,62.8,60.8
,HFC-143a,+ ,+ ,+ ,0.1,0.2,0.5,0.9,1.5,2.2,3.1,3.9,4.8,5.8,6.9,7.8,9.4,11.2,13.1,15.4,17.9,20.3,22.5,24.4,26,27.2
,HFC-236fa,0,0,0,0.1,0.2,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.2,1.3,1.3,1.4,1.4,1.4,1.4,1.5,1.5,1.4
,CF4,0,0,0,0,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Othersa,0.3,0.6,0.6,0.6,0.6,1.8,3.2,3.9,4.5,4.6,4.4,4.3,4.7,5.2,5.6,5.9,6.2,6.6,7,7.4,7.8,8.2,8.6,9,9.4
,Total,0.3,0.6,1.8,6,13.6,31,42.9,54.5,61.6,69.9,77.1,83.7,88.6,92.1,95.6,99.7,106.6,114.3,123.1,132.4,141.2,145.3,150.2,154.6,161.2
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,
,"a Others include HFC-152a, HFC-227ea, HFC-245fa, HFC-43-10mee, HFO-1234yf, C4F10, and PFC/PFPEs, the latter being a proxy for a diverse collection of PFCs and perfluoropolyethers (PFPEs) employed for solvent applications.  For estimating purposes, the GWP value used for PFC/PFPEs was based upon C6F14.",,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
