Table 4-95:  Emissions of HFCs and PFCs from ODS Substitution (Metric Tons),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,HFC-23,0,0,0,0,0, +  , +  , +  , +  , +  ,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3
,HFC-32,0,0,0,0,0,0, +  ,1,2,5,26,68,134,224,345,511,983,"1,506","2,051","2,652","3,915","5,032","6,479","7,985","9,475"
,HFC-125, +  , +  , +  ,34,90,190,322,496,646,844,"1,018","1,245","1,520","1,826","2,145","2,701","3,588","4,690","5,865","7,149","8,983","10,626","12,445","14,259","15,974"
,HFC-134a, +  , +  ,835,"3,572","8,618","19,356","25,995","32,717","36,419","40,882","45,090","48,446","50,087","50,615","51,269","51,293","52,179","52,990","54,139","55,126","54,203","50,720","47,388","43,900","42,491"
,HFC-143a, +  , +  , +  ,16,45,110,205,338,489,697,865,"1,071","1,301","1,536","1,750","2,108","2,497","2,937","3,439","4,013","4,548","5,034","5,451","5,813","6,088"
,HFC-236fa,0,0,0,7,21,36,45,55,65,75,85,94,103,111,118,125,131,136,141,144,146,147,148,151,148
,CF4,0,0,0,0, +  , +  , +  , +  , +  , +  ,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4
,Othersa, M  , M  , M  , M  , M  , M  , M  , M  , M  , M  , M  , M  , M  , M  , M  , M  , M  , M  , M  , M  , M  , M  , M  , M  , M  
,+ Does not exceed 0.5 MT.,,,,,,,,,,,,,,,,,,,,,,,,,
,M (Mixture of Gases),,,,,,,,,,,,,,,,,,,,,,,,,
,"a Others include HFC-152a, HFC-227ea, HFC-245fa, HFC-43-10mee, HFO-1234yf, C4F10, and PFC/PFPEs,",,,,,,,,,,,,,,,,,,,,,,,,,
,the latter being a proxy for a diverse collection of PFCs and perfluoropolyethers (PFPEs) employed for solvent applications.,,,,,,,,,,,,,,,,,,,,,,,,,
