Table 5-1:  Emissions from Agriculture (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,CH4,214.7,216.5,219.9,224.7,227.3,235.3,232.7,230.3,234.7,234.5,235.3,234.1,238.8,235.7,231.2,238.4,239.1,246.7,244.1,243.9,244.4,242.5,242.6,239,237.7
,Enteric Fermentation,164.2,164.4,169.2,171.6,174.7,178.7,177.5,174.1,172.3,172.4,170.6,169.6,169.8,170.0,166.8,168.9,171.6,174.5,173.8,173.0,171.3,168.9,166.7,165.5,164.3
,Manure Management,37.2,38.9,37.5,39.2,42.0,43.3,42.6,44.7,48.7,49.3,50.0,52.2,53.5,54.4,53.1,56.3,57.0,62.0,61.0,59.6,60.9,61.5,63.7,61.4,61.2
,Rice Cultivation,13.1,13.0,13.0,13.6,10.4,13.1,12.4,11.3,13.5,12.6,14.4,12.0,15.2,11.0,11.0,13,10.3,9.9,8.9,11.0,11.9,11.8,11.9,11.9,11.9
,Field Burning of Agricultural Residues,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
,N2O,317.4,305.8,312.2,324.6,304.0,317.1,323.5,312.6,338.3,309.0,309.2,314.1,315.9,318.6,347.4,313.8,327.0,335.3,325.3,331.5,338,340.6,340.7,336.2,336
,Agricultural Soil Management,303.3,291.5,297.9,310.5,289.1,301.8,308.4,297.3,322.8,292.9,292.6,297.6,299.1,301.7,331.1,297.2,309.6,317.8,308.0,314.2,320.7,323.1,323.1,318.6,318.4
,Manure Management,14,14.2,14.2,14.0,14.8,15.1,15.1,15.3,15.5,16.1,16.5,16.4,16.7,16.9,16.2,16.5,17.3,17.4,17.2,17.1,17.2,17.4,17.5,17.5,17.5
,Field Burning of Agricultural Residues,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Total,532,522.3,532.2,549.4,531.3,552.3,556.2,543.0,573.1,543.6,544.5,548.2,554.8,554.3,578.6,552.2,566.0,582.0,569.3,575.3,582.3,583.1,583.3,575.3,573.6
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
