Table 5-10:  CH4 Emissions from Rice Cultivation (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Arkansas,2.8,3.5,2.6,3.1,2.8,2.8,2.7,2.7,3,3.4,3,2.9,3.1,3.1,3.1,4.2,3.3,3,3.1,3.6,4.5,4.5,4.6,4.6,4.6
,California,1.7,1.4,1.3,1.5,1.6,1.7,1.7,1.9,2.1,2.1,1.9,2.1,2.2,2,2.7,2.5,2.6,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.4
,Florida,0,0,0,0,0,0,0,0,0,0.4,0.3,+ ,+ ,+ ,0.1,+ ,0.1,0.1,0.1,0,0,0,0,0,0
,Illinois,0,0,0,0,0,0,0,0,0,0,0,0,0,+ ,0,+ ,0,+ ,0,0,0,0,0,0,0
,Louisiana,2.4,2.5,2.5,2.5,2.4,2.4,2.3,2.7,3.2,3.1,3.4,2.9,2.8,2.5,2.5,2.7,2,2.3,1.8,2.4,2.6,2.6,2.7,2.7,2.7
,Minnesota,+ ,+ ,+ ,0.1,0.1,+ ,+ ,+ ,+ ,0.1,0.1,0.1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Mississippi,0.5,0.4,0.6,0.6,0.5,0.5,0.3,0.4,0.5,0.3,0.4,0.4,0.5,0.5,0.5,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.2,0.2
,Missouri,0.3,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.3,0.5,0.5,0.5,0.5,0.3,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7
,New York,+ ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,South Carolina,0,0,0,0,0,0,+ ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tennessee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+ ,+ ,+ ,+ ,0,+ ,0,0,0,0,0
,Texas,5.5,5,5.8,5.6,2.8,5.4,5,3.3,4.3,2.8,4.8,3.2,5.9,2.5,1.7,2.5,1.5,1.3,0.4,1.6,1.3,1.4,1.4,1.4,1.3
,Total,13.1,13,13,13.6,10.4,13.1,12.4,11.3,13.5,12.6,14.4,12,15.2,11,11,13,10.3,9.9,8.9,11,11.9,11.8,11.9,11.9,11.9
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
