Table 5-11:  CH4 Emissions from Rice Cultivation (kt),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Arkansas,113,138,103,124,111,114,109,109,121,137,120,116,125,124,123,169,133,122,126,145,182,182,182,182,182
,California,70,57,53,61,65,69,69,76,85,84,78,84,88,79,110,101,105,92,96,97,94,94,94,94,94
,Florida,0,0,0,0,0,0,0,0,0,15,12,1,1,1,3,2,2,2,3,0,0,0,0,0,0
,Illinois,0,0,0,0,0,0,0,0,0,0,0,0,0,+ ,0,+ ,0,+ ,0,0,0,0,0,0,0
,Louisiana,95,99,99,102,96,95,94,107,129,122,136,116,113,100,99,109,81,94,74,96,105,104,106,107,106
,Minnesota,1,1,1,2,3,1,2,2,2,3,2,2,2,2,+ ,2,2,+ ,2,2,+ ,+,+ ,+,+
,Mississippi,18,16,24,23,18,19,14,15,18,10,16,14,21,22,18,18,10,12,13,8,10,10,10,10,10
,Missouri,10,8,7,11,11,9,8,11,11,22,20,20,20,13,19,20,19,25,28,29,29,29,29,29,29
,New York,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,South Carolina,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tennessee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+ ,+,+ ,+ ,0,+ ,0,0,0,0,0
,Texas,218,199,233,223,112,217,199,131,173,110,191,128,237,99,69,100,59,51,18,62,54,54,54,54,54
,Total,525,519,520,545,416,525,496,451,539,503,576,482,607,440,441,521,411,398,358,439,474,474,476,477,476
,+ Does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
