"Table 5-12:  Rice Area Harvested (1,000 Hectares)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,State/Crop,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Arkansas,601,665,604,606,650,594,621,605,560,611,578,582,642,653,669,839,642,613,650,779,800,800,801,801,800
,California,197,167,162,186,191,206,204,216,254,252,236,244,250,221,293,270,282,258,254,273,274,274,274,274,274
,Florida,0,0,0,0,0,0,0,0,0,38,32,2,2,3,7,4,5,5,7,0,0,0,0,0,0
,Illinois,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,1,0,0.8,0,0,0,0,0,0,0
,Louisiana,365,411,423,390,394,339,379,388,413,429,420,427,379,350,364,375,265,302,244,324,315,313,317,316,315
,Minnesota,5,5,5,10,11,6,8,8,7,15,9,9,8,5,1,6,6,1,6,6,1,1,1,1,1
,Mississippi,104,99,129,139,121,120,91,94,83,59,85,81,127,128,108,113,59,71,84,52,53,53,53,53,53
,Missouri,46,36,41,53,57,50,40,58,53,87,81,85,92,59,75,82,83,98,132,109,105,105,105,105,105
,New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,South Carolina,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tennessee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0
,Texas,323,334,415,361,203,346,310,215,226,140,273,234,332,174,119,161,103,86,25,88,73,73,73,73,72
,Total,1641,1718,1780,1745,1627,1661,1653,1583,1596,1631,1715,1664,1832,1595,1639,1852,1447,1437,1401,1632,1621,1619,1624,1622,1620
, Notes: Totals may not sum due to independent rounding.  States are included if NRI reports rice areas at any time between 1990 and 2014.,,,,,,,,,,,,,,,,,,,,,,,,,
