Table 5-17:  Direct N2O Emissions from Agricultural Soils by Land Use Type and N Input Type (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Cropland,171.9,168.7,169.3,170.4,171.1,169.4,171.6,170.3,180.9,172.2,174.3,171.0,171.7,175.6,184.5,174.4,175.3,182.0,175.2,174.8,185.7,186.9,187.9,185.2,185
,Mineral Soils,168.6,165.5,166.2,167.2,168.0,166.2,168.4,167.2,177.7,169.0,171.1,167.7,168.4,172.4,181.3,171.2,172.2,178.8,172.1,171.8,182.6,183.9,184.9,182.2,182
,Synthetic Fertilizer,59.2,58.8,60.8,58.3,63.3,57.3,62.4,60.7,61.4,59.5,61.7,58.6,60.3,61.2,63.8,61.4,62.3,65.6,61.7,59.9,59.3,61,61.8,59.5,59.3
,Organic Amendmenta,11.9,12.0,12.2,11.9,12.4,12.3,12.4,12.5,12.7,12.7,13.0,12.8,13.0,13.1,12.9,12.9,13.4,13.5,13.3,13.2,13.4,13.5,13.6,13.5,13.5
,Residue Nb,25.9,28.1,25.9,26.3,25.5,27.5,26.7,26.4,25.6,28.9,27.6,26.3,26.7,27.6,25.5,26.6,26.1,26.3,25.6,25.2,27.8,27.6,27.5,27.5,27.6
,Mineralization and Asymbiotic Fixation,71.6,66.6,67.3,70.7,66.8,69.1,67.0,67.5,78.0,67.9,68.7,70.1,68.3,70.5,79.1,70.3,70.3,73.3,71.5,73.4,82.2,81.8,82,81.6,81.6
,Drained Organic Soils,3.2,3.2,3.2,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.1,3.0,3,3,3,3,3
,Grassland,73.2,73.2,74.2,74.7,71.9,74.3,77.2,76.5,80.6,69.6,71.1,71.1,73.8,74.1,84.1,73.9,76.8,78.4,75.9,78.7,78.1,77.6,76.6,76,76
,Mineral Soils,70.3,70.4,71.4,71.9,69.0,71.5,74.4,73.7,77.8,66.8,68.3,68.2,70.8,71.2,81.3,71,74.0,75.6,73.1,75.9,75.5,74.9,74,73.3,73.3
,Synthetic Fertilizer,1.1,1.1,1.1,1.2,1.1,1.1,1.1,1.1,1.4,1.1,1.2,1.2,1.3,1.3,1.5,1.3,1.4,1.3,1.3,1.4,1.3,1.2,1.2,1.2,1.4
,PRP Manure,13.4,12.8,13.3,13.9,14.7,15.3,16.0,14.6,14.7,12.3,12.5,12.0,12.2,12.5,12.9,12.3,13.6,12.8,12.8,13.1,12.5,11.9,11,10.3,10.3
,Managed Manurec,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,Sewage Sludge,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6
,Residue Nd,19.7,20.1,20.3,20.5,18.3,20.3,19.8,20.4,20.2,20.3,19.3,19.8,20.1,20.2,20.9,21,20.3,21.5,20.7,20.3,21.8,21.7,21.7,21.7,21.6
,Mineralization and Asymbiotic Fixation,35.8,36.1,36.3,35.8,34.4,34.4,36.9,37.1,41.1,32.5,34.7,34.6,36.7,36.6,45.3,35.8,38.0,39.3,37.7,40.5,39.1,39.4,39.4,39.4,39.2
,Drained Organic Soils,2.9,2.8,2.8,2.8,2.9,2.9,2.9,2.8,2.8,2.8,2.8,3.0,3.0,2.9,2.9,2.9,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.7
,Total,245,241.9,243.5,245.1,243.0,243.7,248.8,246.8,261.5,241.8,245.4,242.2,245.4,249.7,268.7,248.3,252.2,260.4,251.2,253.5,263.8,264.5,264.5,261.2,261
,"a Organic amendment inputs include managed manure, daily spread manure, and commercial organic fertilizers (i.e., dried blood, dried manure, tankage, compost, and other).",,,,,,,,,,,,,,,,,,,,,,,,,
,b Cropland residue N inputs include N in unharvested legumes as well as crop residue N.,,,,,,,,,,,,,,,,,,,,,,,,,
,c Managed manure inputs include managed manure and daily spread manure amendments that are applied to grassland soils.,,,,,,,,,,,,,,,,,,,,,,,,,
,d Grassland residue N inputs include N in ungrazed legumes as well as ungrazed grass residue N.,,,,,,,,,,,,,,,,,,,,,,,,,
