Table 5-2:  Emissions from Agriculture (kt),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,CH4,"8,587","8,658","8,798","8,989","9,092","9,411","9,309","9,213","9,389","9,382","9,410","9,364","9,553","9,428","9,248","9,537","9,563","9,868","9,763","9,756","9,776","9,702","9,705","9,562","9,506"
,Enteric Fermentation,"6,566","6,576","6,767","6,864","6,989","7,146","7,100","6,965","6,891","6,897","6,824","6,784","6,794","6,801","6,674","6,755","6,863","6,979","6,954","6,920","6,853","6,757","6,670","6,619","6,572"
,Manure Management,"1,486","1,555","1,500","1,569","1,679","1,731","1,704","1,786","1,949","1,972","2,001","2,088","2,141","2,175","2,122","2,254","2,278","2,480","2,440","2,386","2,437","2,460","2,548","2,455","2,447"
,Rice Cultivation,525,519,520,545,416,525,496,451,539,503,576,482,607,440,441,521,411,398,358,439,474,474,476,477,476
,Field Burning of Agricultural Residues,10,9,10,10,9,9,10,10,10,10,11,10,10,11,10,8,11,11,12,11,11,11,11,11,11
,N2O,"1,065","1,026","1,048","1,089","1,020","1,064","1,086","1,049","1,135","1,037","1,038","1,054","1,060","1,069","1,166","1,053","1,097","1,125","1,091","1,112","1,134","1,143","1,143","1,128","1,127"
,Agricultural Soil Management,"1,018",978,"1,000","1,042",970,"1,013","1,035",998,"1,083",983,982,999,"1,004","1,012","1,111",997,"1,039","1,067","1,034","1,055","1,076","1,084","1,084","1,069","1,068"
,Manure Management,47,48,48,47,50,51,51,51,52,54,55,55,56,57,54,55,58,58,58,57,58,58,59,59,59
,Field Burning of Agricultural Residues,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,+ Does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
