Table 5-6:  CH4 and N2O Emissions from Manure Management (MMT CO2 Eq.) ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Animal Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,CH4a,37.2,38.9,37.5,39.2,42.0,43.3,42.6,44.7,48.7,49.3,50.0,52.2,53.5,54.4,53.1,56.3,57.0,62.0,61.0,59.6,60.9,61.5,63.7,61.4,61.2
,Dairy Cattle,14.7,15.2,14.8,15.4,16.4,17.1,17.4,18.1,19.3,21.0,22.2,23.8,24.6,25.9,24.7,26.4,27.3,30.3,30.8,30.4,30.4,31.1,32.6,31.8,32.2
,Beef Cattle,3.1,3.2,3.2,3.2,3.4,3.5,3.4,3.3,3.4,3.4,3.3,3.3,3.3,3.3,3.2,3.3,3.4,3.3,3.2,3.2,3.3,3.3,3.2,3,3
,Swine,15.6,16.8,15.9,17.0,18.5,19.1,18.2,19.6,22.3,21.2,20.9,21.4,21.9,21.5,21.5,22.9,22.6,24.6,23.4,22.4,23.6,23.6,24.3,23,22.4
,Sheep,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Goats,+,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+,+ ,+ ,+ ,+ ,+,+,+,+,+
,Poultry,3.3,3.3,3.2,3.3,3.3,3.2,3.1,3.2,3.3,3.1,3.2,3.3,3.2,3.3,3.2,3.2,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.2
,Horses,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2
,American Bison,+,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+,+ ,+ ,+ ,+ ,+,+,+,+,+
,Mules and Asses,+,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+,+ ,+ ,+ ,+ ,+,+,+,+,+
,N2Ob,14,14.2,14.2,14.0,14.8,15.1,15.1,15.3,15.5,16.1,16.5,16.4,16.7,16.9,16.2,16.5,17.3,17.4,17.2,17.1,17.2,17.4,17.5,17.5,17.5
,Dairy Cattle,5.3,5.3,5.3,5.3,5.4,5.4,5.5,5.5,5.5,5.4,5.5,5.6,5.6,5.7,5.4,5.6,5.7,5.8,5.7,5.7,5.7,5.8,5.9,5.9,5.9
,Beef Cattle,5.9,6.0,6.0,5.7,6.2,6.5,6.4,6.4,6.5,7.2,7.4,7.2,7.4,7.5,7.0,7.2,7.7,7.6,7.5,7.5,7.6,7.7,7.7,7.7,7.8
,Swine,1.2,1.2,1.3,1.3,1.4,1.4,1.3,1.4,1.5,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8
,Sheep,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3
,Goats,+,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+,+ ,+ ,+ ,+ ,+,+,+,+,+
,Poultry,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.6,1.6,1.6
,Horses,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,American Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Mules and Asses,+,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+,+ ,+ ,+ ,+ ,+,+,+,+,+
,Total,51.1,53.1,51.7,53.3,56.7,58.4,57.7,59.9,64.2,65.4,66.5,68.6,70.3,71.2,69.3,72.9,74.2,79.4,78.2,76.8,78.1,78.9,81.2,78.9,78.7
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,
,NA - Not available,,,,,,,,,,,,,,,,,,,,,,,,,
,a Accounts for CH4 reductions due to capture and destruction of CH4 at facilities using anaerobic digesters.,,,,,,,,,,,,,,,,,,,,,,,,,
,b Includes both direct and indirect N2O emissions.,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Totals may not sum due to independent rounding.  American bison are maintained entirely on unmanaged WMS; there are no American bison N2O emissions from managed systems.,,,,,,,,,,,,,,,,,,,,,,,,,
