Table 5-7:  CH4 and N2O Emissions from Manure Management (kt),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Animal Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,CH4a,"1,486","1,555","1,500","1,569","1,679","1,731","1,704","1,786","1,949","1,972","2,001","2,088","2,141","2,175","2,122","2,254","2,278","2,480","2,440","2,386","2,437","2,460","2,548","2,455","2,447"
,Dairy Cattle,590,607,591,614,656,685,695,725,771,841,889,951,985,"1,036",988,"1,057","1,091","1,212","1,230","1,218","1,217","1,245","1,306","1,271","1,289"
,Beef Cattle,126,126,129,130,135,139,136,134,137,137,131,134,131,131,129,133,137,134,130,130,132,131,128,121,120
,Swine,622,674,637,678,740,763,729,782,891,849,835,854,877,859,858,916,902,984,936,896,945,942,972,920,896
,Sheep,7,7,7,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3
,Goats,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Poultry,131,131,127,131,131,128,125,128,130,126,127,131,129,130,129,129,131,134,129,128,129,127,128,128,130
,Horses,9,9,9,9,10,11,11,12,13,13,13,13,13,13,12,12,12,11,10,10,10,10,10,9,9
,American Bison,+,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+,+ ,+ ,+ ,+ ,+,+,+,+,+
,Mules and Asses,+,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+,+ ,+ ,+ ,+ ,+,+,+,+,+
,N2Ob,47,48,48,47,50,51,51,51,52,54,55,55,56,57,54,55,58,58,58,57,58,58,59,59,59
,Dairy Cattle,18,18,18,18,18,18,18,18,19,18,18,19,19,19,18,19,19,19,19,19,19,19,20,20,20
,Beef Cattle,20,20,20,19,21,22,21,21,22,24,25,24,25,25,24,24,26,26,25,25,25,26,26,26,26
,Swine,4,4,4,4,5,5,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6
,Sheep,+,+ ,+ ,+ ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Goats,+,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+,+ ,+ ,+ ,+ ,+,+,+,+,+
,Poultry,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,Horses,+,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+,+ ,+ ,+ ,+ ,+,+,+,+,+
,American Bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Mules and Asses,+,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+,+ ,+ ,+ ,+ ,+,+,+,+,+
,+ Does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,
,NA - Not available,,,,,,,,,,,,,,,,,,,,,,,,,
,a Accounts for CH4 reductions due to capture and destruction of CH4 at facilities using anaerobic digesters.,,,,,,,,,,,,,,,,,,,,,,,,,
,b Includes both direct and indirect N2O emissions.,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Totals may not sum due to independent rounding.  American bison are maintained entirely on unmanaged WMS; there are no American bison N2O emissions from managed systems.,,,,,,,,,,,,,,,,,,,,,,,,,
