Table 6-11:  Net C Flux from Forest Pools in Forest Land Remaining Forest Land and Harvested Wood Pools (MMT C),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carbon Pool,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Forest,-163.3,-165.1,-165.0,-165.0,-163.3,-162.0,-157.1,-156.1,-154.8,-156.4,-153.7,-152.9,-153.9,-155.1,-155.6,-159.3,-162.5,-165.1,-167.2,-169.1,-176.5,-173.9,-172.5,-172.2,-171.8
,Aboveground Biomass,-85.2,-85.2,-85.1,-85.1,-83.9,-84.9,-78.1,-77.0,-75.9,-76.2,-70.7,-72.1,-72.8,-73.5,-74.2,-84.6,-84.7,-86.3,-87.5,-88.5,-90.3,-89.8,-88.5,-88.2,-88
,Belowground Biomass,-18.2,-18.2,-18.1,-18.1,-17.9,-18.1,-16.6,-16.3,-16.1,-16.1,-14.8,-15.2,-15.3,-15.4,-15.6,-17.9,-17.8,-18.2,-18.4,-18.6,-19,-18.9,-18.6,-18.5,-18.4
,Dead Wood,-9.5,-9.9,-10.0,-10.1,-10.2,-10.9,-13.5,-13.6,-13.6,-13.9,-13.1,-10.3,-10.4,-10.5,-10.2,-12,-12.6,-12.7,-12.9,-13.1,-13.7,-14.4,-14.6,-14.7,-14.8
,Litter,-9.8,-9.6,-9.6,-9.6,-9.5,-9.4,-7.9,-7.9,-7.8,-7.9,-6.7,-7.2,-7.2,-7.3,-7.4,-7.8,-7.6,-7.8,-8.0,-7.9,-9.4,-9.3,-9,-9,-8.9
,Soil Organic C,-40.7,-42.2,-42.1,-42.2,-41.9,-38.8,-41.0,-41.4,-41.5,-42.3,-48.5,-48.2,-48.2,-48.3,-48.2,-37,-39.8,-40.1,-40.4,-40.9,-44.1,-41.6,-41.7,-41.7,-41.7
,Harvested Wood,-34,-33.8,-33.0,-33.5,-32.6,-30.9,-32.2,-31.2,-32.6,-30.9,-25.7,-26.8,-25.6,-28.3,-28.0,-29.3,-28.0,-20.9,-14.8,-25.2,-25.9,-27,-28.2,-29.4,-30.6
,Products in Use,-15.2,-16.4,-15.1,-16.0,-15.4,-14.3,-14.9,-13.5,-14.2,-12.9,-8.9,-9.5,-9.4,-12.0,-11.7,-12.1,-10.6,-3.8,1.9,-8.0,-8.3,-9,-9.9,-10.8,-11.7
,SWDS,-18.8,-17.4,-18.0,-17.5,-17.3,-16.6,-17.3,-17.8,-18.4,-18.0,-16.8,-17.2,-16.2,-16.3,-16.3,-17.3,-17.4,-17.1,-16.7,-17.2,-17.6,-17.9,-18.3,-18.6,-19
,Total Net Flux,-197.3,-198.9,-198.0,-198.5,-196.0,-192.9,-189.3,-187.3,-187.3,-187.3,-179.4,-179.7,-179.5,-183.4,-183.6,-188.7,-190.5,-186.1,-182.0,-194.3,-202.4,-200.9,-200.7,-201.6,-202.5
,"Note: Forest C stocks do not include forest stocks in U.S. Territories, Hawaii, a portion of managed lands in Alaska, or trees on non-forest land (e.g., urban trees, agroforestry systems). Parentheses indicate net C sequestration (i.e., a net removal of C from the atmosphere). Total net flux is an estimate of the actual net flux between the total forest C pool and the atmosphere. Harvested wood estimates are based on results from annual surveys and models. Totals may not sum due to independent rounding.",,,,,,,,,,,,,,,,,,,,,,,,,
