"Table 6-2:  Emissions from Land Use, Land-Use Change, and Forestry by Gas (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Land-Use Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,CO2,8.1,8.3,7.8,7.4,7.8,8.1,7.9,8,8.8,8.7,8.8,9,9.6,9.3,8.7,9,8.8,9.3,9.6,8.2,9.6,8.9,11,9,9.5
,Cropland Remaining Cropland: CO2 Emissions from Urea Fertilization,2.4,2.3,2.4,2.6,2.7,2.7,2.6,2.7,2.9,3,3.2,3.4,3.6,3.7,3.7,3.5,3.7,3.8,3.6,3.6,3.8,4.1,4.2,4.3,4.5
,Cropland Remaining Cropland: CO2 Emissions from Liming,4.7,5,4.4,3.8,4.1,4.4,4.4,4.3,4.7,4.5,4.3,4.4,5,4.6,3.9,4.3,4.2,4.5,5,3.7,4.8,3.9,6,3.9,4.1
,Wetlands Remaining Wetlands: Peatlands Remaining Peatlands,1.1,1,0.9,1,0.9,1.1,0.9,1.1,1.1,1.2,1.3,1.2,1,1,1.2,1.1,0.9,1,1,1,1,0.9,0.8,0.8,0.8
,CH4,3.3,3.7,1.7,0.9,5.8,0.8,3.8,0.5,2.1,5,8.3,4.4,12,6.6,12,9.9,8.4,12.3,8,7.1,3.3,6.6,11.1,7.3,7.4
,Forest Land Remaining Forest Land: Non-CO2 Emissions from Forest Fires,3.3,3.7,1.6,0.9,5.8,0.8,3.8,0.5,2.1,5,8.3,4.4,12,6.6,12,9.9,8.4,12.3,8,7.1,3.3,6.6,11.1,7.3,7.3
,Wetlands Remaining Wetlands: Peatlands Remaining Peatlands,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,N2O,3.6,3.9,2.7,2.5,5.9,2.5,4.6,2.5,3.4,5.6,8,5.7,10.7,7.3,10.8,9.3,8.3,11,8.1,7.3,5,7.3,10.3,7.7,7.7
,Forest Land Remaining Forest Land: Non-CO2 Emissions from Forest Fires,2.2,2.4,1.1,0.6,3.8,0.5,2.5,0.3,1.4,3.3,5.5,2.9,7.8,4.4,7.9,6.5,5.5,8.1,5.3,4.6,2.2,4.4,7.3,4.8,4.8
,Settlements Remaining Settlements: N2O Fluxes from Settlement Soilsa,1.4,1.4,1.5,1.7,1.9,1.7,1.8,1.8,1.6,1.7,2,2.3,2.3,2.4,2.4,2.3,2.4,2.5,2.3,2.2,2.4,2.5,2.5,2.4,2.4
,Forest Land Remaining Forest Land: N2O Fluxes from Forest Soilsb,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.6,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
,Wetlands Remaining Wetlands: Peatlands Remaining Peatlands,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,LULUCF Emissions,15,15.9,12.2,10.9,19.5,11.4,16.3,11.1,14.3,19.3,25.2,19,32.3,23.2,31.5,28.2,25.5,32.6,25.7,22.6,17.8,22.9,32.3,24.1,24.6
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,
,a Estimates include emissions from N fertilizer additions on both Settlements Remaining Settlements and Land Converted to Settlements.,,,,,,,,,,,,,,,,,,,,,,,,,
,b Estimates include emissions from N fertilizer additions on both Forest Land Remaining Forest Land and Land Converted to Forest Land.,,,,,,,,,,,,,,,,,,,,,,,,,
,Note:  Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
