Table 6-20:  Net CO2 Flux from Soil C Stock Changes in Land Converted to Forest Land by Land Use Change Category (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Soil Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Cropland Converted to Forest Land,,,,,,,,,,,,,,,,,,,,,,,,,
,Mineral Soil,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
,Grassland Converted to Forest Land,,,,,,,,,,,,,,,,,,,,,,,,,
,Mineral Soil,-0.4,-0.5,-0.4,-0.5,-0.6,-0.6,-0.6,-0.6,-0.6,-0.7,-0.6,-0.6,-0.6,-0.6,-0.5,-0.5,-0.3,-0.3,-0.3,-0.2,-0.3,-0.2,-0.2,-0.2,-0.2
,Other Land Converted to Forest Land,,,,,,,,,,,,,,,,,,,,,,,,,
,Mineral Soil,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,+,+,+,+,+,+,+,+,+
,Settlements Converted to Forest Land,,,,,,,,,,,,,,,,,,,,,,,,,
,Mineral Soil,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Wetlands Converted to Forest Land,,,,,,,,,,,,,,,,,,,,,,,,,
,Mineral Soil,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Total Mineral Soil Flux,-0.7,-0.7,-0.7,-0.8,-0.9,-1,-0.9,-1,-1,-1.1,-1,-1,-0.9,-0.9,-0.8,-0.8,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.3,-0.3
,Total Soil Flux,-0.7,-0.7,-0.7,-0.8,-0.9,-1,-0.9,-1,-1,-1.1,-1,-1,-0.9,-0.9,-0.8,-0.8,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.3,-0.3
,+ Absolute value does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Totals may not sum due to independent rounding. Parentheses indicate net sequestration. ,,,,,,,,,,,,,,,,,,,,,,,,,
