"Table 6-3:  Emissions and Removals (Net Flux) from Land Use, Land-Use Change, and Forestry by Land Use and Land-Use Change Category (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Land-Use Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Forest Land Remaining Forest Land,-718,-723.3,-723.3,-726.3,-708.7,-705.8,-687.3,-685.7,-682.9,-678,-643.5,-651.2,-637.9,-661,-652.9,-675,-684.4,-661.4,-653.7,-700.1,-736.2,-725.2,-717.1,-726.5,-729.7
,Changes in Forest Carbon Stocka,-723.5,-729.4,-726.1,-728,-718.5,-707.4,-693.9,-686.9,-686.9,-686.9,-657.8,-658.9,-658.3,-672.5,-673.3,-691.9,-698.7,-682.2,-667.4,-712.3,-742,-736.7,-735.8,-739.1,-742.3
,Non-CO2 Emissions from Forest Fires,5.4,6.1,2.7,1.5,9.6,1.3,6.3,0.8,3.5,8.3,13.8,7.2,19.8,11,19.9,16.5,13.9,20.4,13.3,11.7,5.4,11,18.3,12.2,12.2
,N2O Fluxes from Forest Soilsb,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.6,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
,Land Converted to Forest Land,-0.7,-0.7,-0.7,-0.8,-0.9,-1,-0.9,-1,-1,-1.1,-1,-1,-0.9,-0.9,-0.8,-0.8,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.3,-0.3
,Changes in Forest Carbon Stock,-0.7,-0.7,-0.7,-0.8,-0.9,-1,-0.9,-1,-1,-1.1,-1,-1,-0.9,-0.9,-0.8,-0.8,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.3,-0.3
,Cropland Remaining Cropland,-27.2,-28.9,-31.3,-10.6,-21.5,-15.3,-22.8,-21,-6.1,-19.3,-24.2,-22.8,-13.1,-3.3,-7.3,-6.3,-5.9,-6.5,2.1,8.7,10.3,-4.5,-1,-1,0.2
,Changes in Agricultural Carbon Stockc,-34.3,-36.2,-38.2,-17,-28.3,-22.3,-29.7,-27.9,-13.7,-26.8,-31.8,-30.6,-21.6,-11.5,-14.8,-14.1,-13.8,-14.7,-6.5,1.5,1.8,-12.5,-11.2,-9.3,-8.4
,CO2 Emissions from Liming,4.7,5,4.4,3.8,4.1,4.4,4.4,4.3,4.7,4.5,4.3,4.4,5,4.6,3.9,4.3,4.2,4.5,5,3.7,4.8,3.9,6,3.9,4.1
,CO2 Emissions from Urea Fertilization,2.4,2.3,2.4,2.6,2.7,2.7,2.6,2.7,2.9,3,3.2,3.4,3.6,3.7,3.7,3.5,3.7,3.8,3.6,3.6,3.8,4.1,4.2,4.3,4.5
,Land Converted to Cropland,65.7,64,63.2,59.6,53.8,63.4,59.4,59.7,51.7,49.4,44.2,42.6,40.7,37.4,33.1,32.2,31.4,24.8,24.9,22.9,23.7,21.6,22,22.1,22.1
,Changes in Agricultural Carbon Stockc,65.7,64,63.2,59.6,53.8,63.4,59.4,59.7,51.7,49.4,44.2,42.6,40.7,37.4,33.1,32.2,31.4,24.8,24.9,22.9,23.7,21.6,22,22.1,22.1
,Grassland Remaining Grassland,-12.9,-3.7,-5.1,-5,-20.9,-4.2,-12.8,-6.3,-10.3,-0.9,-16.6,-6.2,-5.7,-4.2,-5.2,-3.3,-12.5,3,-6.8,-8.9,-7.3,3.1,3.6,3.8,3.8
,Changes in Agricultural Carbon Stockc,-12.9,-3.7,-5.1,-5,-20.9,-4.2,-12.8,-6.3,-10.3,-0.9,-16.6,-6.2,-5.7,-4.2,-5.2,-3.3,-12.5,3,-6.8,-8.9,-7.3,3.1,3.6,3.8,3.8
,Land Converted to Grassland,39.1,37.2,36.5,36.8,36.9,40.8,39.3,37.3,47.2,46.8,43,42,41.4,41.2,40.5,43.1,42.1,39.4,38.2,38.5,39.3,39.9,40.4,40.4,40.4
,Changes in Agricultural Carbon Stockc,39.1,37.2,36.5,36.8,36.9,40.8,39.3,37.3,47.2,46.8,43,42,41.4,41.2,40.5,43.1,42.1,39.4,38.2,38.5,39.3,39.9,40.4,40.4,40.4
,Wetlands Remaining Wetlands,1.1,1,0.9,1,0.9,1.1,0.9,1.1,1.1,1.2,1.3,1.2,1,1,1.2,1.1,0.9,1,1,1,1,0.9,0.8,0.8,0.8
,Peatlands Remaining Peatlands,1.1,1,0.9,1,0.9,1.1,0.9,1.1,1.1,1.2,1.3,1.2,1,1,1.2,1.1,0.9,1,1,1,1,0.9,0.8,0.8,0.8
,Settlements Remaining Settlements,-59,-60.5,-61.8,-63,-64.3,-65.9,-67.3,-68.7,-70.4,-71.8,-72.9,-73.8,-74.8,-75.9,-77,-78.2,-79.3,-80.3,-81.5,-82.8,-83.8,-84.8,-85.8,-87.1,-88.2
,Changes in Carbon Stocks in Urban Trees,-60.4,-61.9,-63.3,-64.7,-66.2,-67.6,-69.1,-70.5,-72,-73.4,-74.9,-76,-77.2,-78.3,-79.4,-80.5,-81.6,-82.8,-83.9,-85,-86.1,-87.3,-88.4,-89.5,-90.6
,N2O Fluxes from Settlement Soilsd,1.4,1.4,1.5,1.7,1.9,1.7,1.8,1.8,1.6,1.7,2,2.3,2.3,2.4,2.4,2.3,2.4,2.5,2.3,2.2,2.4,2.5,2.5,2.4,2.4
,Other,-26,-24.4,-23.9,-21,-18.6,-15.4,-13.4,-12.9,-11.7,-12.1,-13.3,-13.3,-13.5,-11.7,-11.2,-11.4,-11.3,-10.7,-10.7,-12.5,-13.2,-12.7,-12.2,-11.7,-11.6
,Landfilled Yard Trimmings and Food Scraps,-26,-24.4,-23.9,-21,-18.6,-15.4,-13.4,-12.9,-11.7,-12.1,-13.3,-13.3,-13.5,-11.7,-11.2,-11.4,-11.3,-10.7,-10.7,-12.5,-13.2,-12.7,-12.2,-11.7,-11.6
,LULUCF Emissionse,15,15.9,12.2,10.9,19.5,11.4,16.3,11.1,14.3,19.3,25.2,19,32.3,23.2,31.5,28.2,25.5,32.6,25.7,22.6,17.8,22.9,32.3,24.1,24.6
,LULUCF Total Net Fluxf,-753,-755.2,-757.7,-740.1,-762.6,-713.8,-721.2,-708.6,-696.7,-705,-708.2,-701.5,-695.1,-700.6,-711.2,-726.7,-744.9,-723.7,-712.4,-756.2,-784.3,-784.9,-782,-783.7,-787
,LULUCF Sector Totalg,-738,-739.3,-745.5,-729.2,-743.1,-702.4,-704.9,-697.5,-682.3,-685.7,-683,-682.4,-662.8,-677.4,-679.7,-698.5,-719.4,-691.1,-686.7,-733.6,-766.4,-762,-749.7,-759.6,-762.5
,a Includes the effects of net additions to stocks of carbon stored in forest ecosystem pools and harvested wood products.,,,,,,,,,,,,,,,,,,,,,,,,,
,b Estimates include emissions from N fertilizer additions on both Forest Land Remaining Forest Land and Land Converted to Forest Land.,,,,,,,,,,,,,,,,,,,,,,,,,
,c Estimates include C stock changes in all pools.,,,,,,,,,,,,,,,,,,,,,,,,,
,d Estimates include emissions from N fertilizer additions on both Settlements Remaining Settlements and Land Converted to Settlements.,,,,,,,,,,,,,,,,,,,,,,,,,
,"e LULUCF emissions include the CO2, CH4, and N2O emissions reported for Non-CO2 Emissions from Forest Fires, N2O Fluxes from Forest Soils, CO2 Emissions from Liming, CO2 Emissions from Urea Fertilization, Peatlands Remaining Peatlands, and N2O Fluxes from Settlement Soils.",,,,,,,,,,,,,,,,,,,,,,,,,
,f LULUCF Total Net Flux includes any C sequestration gains and losses from all land use and land use conversion categories.,,,,,,,,,,,,,,,,,,,,,,,,,
,"g The LULUCF Sector Total is the net sum of all emissions (i.e., sources) of greenhouse gases to the atmosphere plus removals of CO2 (i.e., sinks or negative emissions) from the atmosphere.",,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:  Totals may not sum due to independent rounding. Parentheses indicate net sequestration.,,,,,,,,,,,,,,,,,,,,,,,,,
