Table 6-34:  Net CO2 Flux from Soil C Stock Changes in Land Converted to Cropland by Land Use Change Category (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Grassland Converted to Cropland,,,,,,,,,,,,,,,, ,,,,, , , ,,
,Mineral Soils,14.2,14.1,14.9,13.1,7.9,15.2,12.9,14.6,9.2,10.1,9.9,9.5,9.8,8.7,8.1,9.1,9.3,7.3,8.2,7.1,7.9,5.8,5.8,5.9,5.9
,Organic Soils,3.2,3.2,3.2,3.1,3.4,3.7,3.7,3.8,4.3,4.4,4.1,5.4,5.3,5.1,4.2,4.2,4.2,4,3.9,3.7,3.8,3.8,3.8,3.8,3.8
,Forest Converted to Cropland,,,,,,,,,,,,,,,,,,,,,,,,,
,Biomass,46.9,45.4,43.8,41.9,40.9,42.8,40.9,39.7,36.4,33.2,28.7,26.1,24.3,22.3,19.7,17.9,16.8,12.4,11.9,11.3,11,11,11.5,11.5,11.5
,Mineral Soils,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Organic Soils,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Other Lands Converted Cropland,,,,,,,,,,,,,,,,,,,,,,,,,
,Mineral Soils,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,Organic Soils,0.1,0.1,+ ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0
,Settlements Converted Cropland,,,,,,,,,,,,,,,,,,,,,,,,,
,Mineral Soils,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Organic Soils,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1,0.1,+ ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Wetlands Converted Cropland,,,,,,,,,,,,,,,,,,,,,,,,,
,Mineral Soils,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Organic Soils,0.6,0.6,0.6,0.7,0.9,0.9,0.9,0.9,1,0.9,0.8,0.8,0.7,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4
,Total Biomass Flux,46.9,45.4,43.8,41.9,40.9,42.8,40.9,39.7,36.4,33.2,28.7,26.1,24.3,22.3,19.7,17.9,16.8,12.4,11.9,11.3,11,11,11.5,11.5,11.5
,Total Mineral Soil Flux,14.7,14.5,15.5,13.6,8.5,15.8,13.6,15.1,9.8,10.7,10.4,10.1,10.2,9.2,8.6,9.5,9.8,7.7,8.7,7.5,8.4,6.3,6.3,6.3,6.3
,Total Organic Soil Flux,4,4,4,4.1,4.5,4.8,4.9,4.9,5.4,5.5,5,6.4,6.2,5.9,4.8,4.8,4.8,4.6,4.4,4.2,4.3,4.3,4.3,4.3,4.3
,Total Net Flux,65.7,64,63.2,59.6,53.8,63.4,59.4,59.7,51.7,49.4,44.2,42.6,40.7,37.4,33.1,32.2,31.4,24.8,24.9,22.9,23.7,21.6,22,22.1,22.1
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Estimates after 2010 are based on NRI data from 2010 and therefore may not fully reflect changes occurring in the latter part of the time series. Totals may not sum due to independent rounding. ,,,,,,,,,,,,,,,,,,,,,,,,,
