Table 6-35:  Net CO2 Flux from Soil C Stock Changes in Land Converted to Cropland (MMT C),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Grassland Converted to Cropland,,,,,,,,,,,,,,,,,,,,,,, ,,
,Mineral Soils,3.9,3.8,4.1,3.6,2.2,4.1,3.5,4,2.5,2.7,2.7,2.6,2.7,2.4,2.2,2.5,2.5,2,2.2,1.9,2.2,1.6,1.6,1.6,1.6
,Organic Soils,0.9,0.9,0.9,0.9,0.9,1,1,1,1.2,1.2,1.1,1.5,1.4,1.4,1.2,1.1,1.1,1.1,1.1,1,1,1,1,1,1
,Forest Converted to Cropland,,,,,,,,,,,,,,,,,,,,,,,,,
,Biomass,12.8,12.4,11.9,11.4,11.1,11.7,11.2,10.8,9.9,9.1,7.8,7.1,6.6,6.1,5.4,4.9,4.6,3.4,3.2,3.1,3,3,3.1,3.1,3.1
,Mineral Soils,0.1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Organic Soils,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Other Lands Converted Cropland,,,,,,,,,,,,,,,,,,,,,,,,,
,Mineral Soils,+ ,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+ ,+ ,+ ,+ ,0.1,0.1,0.1,+ ,+ ,0.1,0.1,0.1,0.1
,Organic Soils,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0,0,0,0,0,0,0,0,0,0,0
,Settlements Converted Cropland,,,,,,,,,,,,,,,,,,,,,,,,,
,Mineral Soils,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Organic Soils,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Wetlands Converted Cropland,,,,,,,,,,,,,,,,,,,,,,,,,
,Mineral Soils,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Organic Soils,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Total Biomass Flux,12.8,12.4,11.9,11.4,11.1,11.7,11.2,10.8,9.9,9.1,7.8,7.1,6.6,6.1,5.4,4.9,4.6,3.4,3.2,3.1,3,3,3.1,3.1,3.1
,Total Mineral Soil Flux,4,4,4.2,3.7,2.3,4.3,3.7,4.1,2.7,2.9,2.8,2.7,2.8,2.5,2.3,2.6,2.7,2.1,2.4,2,2.3,1.7,1.7,1.7,1.7
,Total Organic Soil Flux,1.1,1.1,1.1,1.1,1.2,1.3,1.3,1.3,1.5,1.5,1.4,1.7,1.7,1.6,1.3,1.3,1.3,1.3,1.2,1.1,1.2,1.2,1.2,1.2,1.2
,Total Net Flux,17.9,17.5,17.2,16.3,14.7,17.3,16.2,16.3,14.1,13.5,12,11.6,11.1,10.2,9,8.8,8.6,6.8,6.8,6.2,6.5,5.9,6,6,6
,+ Does not exceed 0.05 MMT C,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Estimates after 2010 are based on NRI data from 2010 and therefore may not fully reflect changes occurring in the latter part of the time series. Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
