Table 6-36:  Approach 2 Quantitative Uncertainty Estimates for Soil C Stock Changes occurring within Land Converted to Cropland (MMT CO2 Eq. and Percent),,,,,,
,,,,,,
,Source,2014 Flux Estimate,Uncertainty Range Relative to Flux Estimatea,,,
,,(MMT CO2 Eq.),(MMT CO2 Eq.),,(%),
,,,Lower,Upper,Lower,Upper
,,,Bound,Bound,Bound,Bound
,Grassland Converted to Cropland,9.7,-2.2,20.3,-123%,110%
,Mineral Soil C Stocks: Tier 3,4.5,-5.3,14.4,-218%,218%
,Mineral Soil C Stocks: Tier 2,1.3,-0.1,2.2,-108%,69%
,Organic Soil C Stocks: Tier 2,3.8,10.2,+,-168%,99%
,Forests Converted to Cropland,11.5,9.2,13.9,-21%,21%
,Biomass C Stocks,11.5,10,12.9,-13%,13%
,Mineral Soil C Stocks: Tier 2,+ ,+,0.1,-111%,71%
,Organic Soil C Stocks: Tier 2,+ ,0.1,0,-154%,100%
,Other Lands Converted to Cropland,0.2,(+),0.3,-112%,83%
,Mineral Soil C Stocks: Tier 2,0.2,(+),0.3,-112%,72%
,Organic Soil C Stocks: Tier 2,0,0,0.1,0%,0%
,Settlements Converted to Cropland,0.1,+,0.5,-71%,255%
,Mineral Soil C Stocks: Tier 2,0.1,(+),0.1,-112%,72%
,Organic Soil C Stocks: Tier 2,0.1,0.1,0.4,-91%,454%
,Wetlands Converted to Croplands,0.6,0.3,4.5,-53%,694%
,Mineral Soil C Stocks: Tier 2,0.1,+,0.2,-75%,50%
,Organic Soil C Stocks: Tier 2,0.4,0.7,4.3,-65%,908%
,Total: Land Converted to Cropland,22.1,10.1,33.5,-54%,52%
,Biomass C Stocks,11.5,10,12.9,-13%,13%
,Mineral Soil C Stocks: Tier 3,4.5,-5.3,14.4,-218%,218%
,Mineral Soil C Stocks: Tier 2,1.7,0.3,2.7,-83%,53%
,Organic Soil C Stocks: Tier 2,4.3,-2.1,9.8,-148%,126%
,+ Absolute value does not exceed 0.05 MMT CO2 Eq.,,,,,
,a Range of C stock change estimates predicted by Monte Carlo Stochastic Simulation for a 95 percent confidence interval.,,,,,
,Notes: Totals may not sum due to independent rounding. Parentheses indicate negative values or net sequestration.,,,,,
