Table 6-40:  Net CO2 Flux from Soil and Biomass C Stock Changes for Land Converted to Grassland (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Cropland Converted to Grassland,,,,,,,,,,,,,,,,,,,,,,,,,
,Mineral Soils,-6.9,-7.8,-7.6,-8.4,-8.8,-8.9,-9,-9.5,-10,-9.8,-10.2,-10.5,-10.8,-9.7,-10.7,-9.7,-10,-9.6,-9.7,-9.5,-9.1,-8.6,-8.6,-8.6,-8.6
,Organic Soils,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,1,0.9,1,1,1,1,1,1.2,1.1,1.2,1.2,1.2,1.2
,Forest Converted to Grassland,,,,,,,,,,,,,,,,,,,,,,,,,
,Biomass,47,46.1,45.3,46.4,46.9,50.9,49.5,48.1,59.2,58.6,55.3,54.5,53.9,52.6,52.8,54.3,53.4,50.1,48.9,48.6,49,49,49.5,49.5,49.5
,Mineral Soils,-0.5,-0.5,-0.4,-0.5,-0.4,-0.5,-0.4,-0.4,-1.1,-1.1,-1.1,-1,-1,-1,-1,-1,-1,-0.9,-0.9,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8
,Organic Soils,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Other Lands Converted Grassland,,,,,,,,,,,,,,,,,,,,,,,,,
,Mineral Soils,-0.6,-0.6,-0.7,-0.8,-1,-1,-0.9,-1,-1.1,-1.1,-1.2,-1.2,-1.2,-1.1,-1.1,-1.1,-1,-0.9,-0.9,-0.9,-0.8,-0.8,-0.8,-0.8,-0.8
,Organic Soils,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0,0,0,0,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Settlements Converted Grassland,,,,,,,,,,,,,,,,,,,,,,,,,
,Mineral Soils,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.1,-0.2,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
,Organic Soils,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,Wetlands Converted Grassland,,,,,,,,,,,,,,,,,,,,,,,,,
,Mineral Soils,-0.5,-0.6,-0.6,-0.6,-0.7,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.5,-0.5,-0.4,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2
,Organic Soils,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
,Total Biomass Flux,47,46.1,45.3,46.4,46.9,50.9,49.5,48.1,59.2,58.6,55.3,54.5,53.9,52.6,52.8,54.3,53.4,50.1,48.9,48.6,49,49,49.5,49.5,49.5
,Total Mineral Soil Flux,-8.6,-9.6,-9.5,-10.5,-11,-11.1,-11.1,-11.7,-13,-12.8,-13.3,-13.6,-13.8,-12.5,-13.5,-12.5,-12.6,-12,-11.9,-11.6,-11.2,-10.6,-10.6,-10.6,-10.6
,Total Organic Soil Flux,0.7,0.7,0.6,0.8,0.9,1,0.9,0.9,1.1,1,1,1.1,1.2,1.1,1.2,1.2,1.2,1.3,1.2,1.5,1.5,1.5,1.5,1.5,1.5
,Total Net Flux,39.1,37.2,36.5,36.8,36.9,40.8,39.3,37.3,47.2,46.8,43,42,41.4,41.2,40.5,43.1,42.1,39.4,38.2,38.5,39.3,39.9,40.4,40.4,40.4
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Estimates after 2010 are based on NRI data from 2010 and therefore may not fully reflect changes occurring in the latter part of the time series. Totals may not sum due to independent rounding. Parentheses indicate net sequestration. ,,,,,,,,,,,,,,,,,,,,,,,,,
